sentence,prob,sent_length,source,sentence_num,id,step,phase,prob_class,group_id
"At the beginning of his reign the muscovite Drand Prince Vasily II was very young, so the power was concentrated in hands of his warden Vytautas.",-62.32699203491211,long,wiki,16,0_0,0,wiki,high,3
The author provides clear and concise detail into the workings of a killer's mind and what society can do as a whole to prevent such future tragedies from happening.,-52.88044738769531,long,wiki,17,0_0,0,wiki,high,9
They became the first trio of brothers to represent Australia in rowing at the same Olympics when they all rowed at Athens 2004 to a bronze medal in the men's eight.,-32.51365661621094,long,wiki,18,0_0,0,wiki,high,24
"It was changed to Jianzhou in the Northern Wei Dynasty, and then to Zezhou in the Sui Dynasty, until it was upgraded to Zezhoufu in the Qing Dynasty.",-47.476200103759766,long,wiki,19,0_0,0,wiki,high,18
"The Rhinos finished their time in ARFU Division 6 with an impressive 88% Win-Loss record (7 wins, 1 loss), thus earning a promotion Division 3.",-54.83802032470703,long,wiki,20,0_0,0,wiki,high,26
"Chevalier viewed the landed estate’s development by elites was as much as anything a “psychological” impetus, to show one’s status whether or not the estate was profitable.",-209.438720703125,long,wiki,21,0_0,0,wiki,low,1
Let formula_27 be the set of those simple roots α such that the negative root spaces of root formula_28 are in formula_2 (like in section Properties).,-105.64993286132812,long,wiki,22,0_0,0,wiki,low,13
"Sánchez has also appeared as a guest actor on the Spanish TV series ""Farmacia de guardia"" and ""Los ladrones van a la oficina"".",-40.94150161743164,long,wiki,23,0_0,0,wiki,high,26
"His daughter Bernarda Catalina de Esparza, was the wife of Juan de Canaveris, one of the assistants to the Open Cabildo during the May Revolution.",-49.296104431152344,long,wiki,24,0_0,0,wiki,high,8
There are two main types of latte art: free pouring (pattern created during the pour) and etching (using a tool to create a pattern after the pour).,-38.35182571411133,long,wiki,25,0_0,0,wiki,high,22
"Sweelinck, however, influenced the development of the Dutch organ school, as is shown in the work of later composers such as Anthoni van Noordt.",-38.71474075317383,long,wiki,26,0_0,0,wiki,high,18
"The distribution of ""Praticolella griseola"" includes Cuba and Costa Rica The non-indigenous distribution of ""Praticolella griseola"" includes Martinique.",-20.545013427734375,long,wiki,27,0_0,0,wiki,high,29
"Extremely low temperatures are useful for observation of quantum mechanical phases of matter such as superfluids and Bose–Einstein condensates, which would be disrupted by thermal motion.",-74.68006134033203,long,wiki,28,0_0,0,wiki,low,14
"He ""expressed his delight and inquired about the number and size of the warships, immediately thereafter he asked if the Prussians maintained colonies or had the intention to acquire them.""",-81.35022735595703,long,wiki,29,0_0,0,wiki,low,28
"A capping of cream-coloured weathered latite, still retaining the characteristic porphyritic texture, may be studied at the top of the northern and western quarry faces.",-72.805389404296875,long,wiki,30,0_0,0,wiki,low,14
"Consisting of 15 songs, the album includes the lead single ""Hard 2 Face Reality"" which is a collaboration with pop singer Justin Bieber and hip hop artist Jay Electronica.",-48.774696350097656,long,wiki,31,0_0,0,wiki,high,20
"Designed by DeCarlo & Doll, Inc. and built by Trataros Construction, Inc., the renovations added of space at a cost of over eight million dollars.",-72.65702056884766,long,wiki,32,0_0,0,wiki,low,6
"Emigration to the Americas (mainly Cuba and Venezuela) continued during the 19th and early 20th century, due to the lack of economic opportunity and the relative isolation of the Canary Islands.",-24.014129638671875,long,wiki,34,0_0,0,wiki,high,21
"It was later occupied by a senior citizens apartment complex, then declared a heritage building in 1982 and redeveloped as an office building by its owner, the Burns Lake Native Development Corporation.",-58.1245231628418,long,wiki,35,0_0,0,wiki,high,19
"Several nations modified their existing tactics in ways that supported ideas that were later called infiltration tactics, with the German developments having the most impact, both during the war and afterwards.",-51.183998107910156,long,wiki,36,0_0,0,wiki,high,24
"Reel Horror is a 1985 horror/comedy film directed by Ross Hagen from a screenplay by Jeanne Lucas, composed primarily of footage from other films, in two of which Hagen acted.",-77.90375518798828,long,wiki,37,0_0,0,wiki,low,11
"Once reunited with Meggie, Fenoglio asks her to read Cosimo the Fair back into the story, since he died a death the author never planned for him.",-56.858558654785156,long,wiki,38,0_0,0,wiki,high,22
"In another report posted by South China Morning Post, the researchers found that more than 38,000 tweets from 618 of the now-suspended Twitter accounts targeted Guo.",-62.30293273925781,long,wiki,39,0_0,0,wiki,high,30
"Flying through the dusky sky over Bourbon Street, as I strolled along casually, were fast, sweeping brown bats: An homage, maybe, to the business of interviewing vampires?",-99.17877960205078,long,wiki,40,0_0,0,wiki,low,30
"As provincial superior, Stonestreet worked with Anthony Ciampi in the aftermath of the devastating fire at the College of the Holy Cross, and addressed growing anti-Catholicism.",-41.389041900634766,long,wiki,41,0_0,0,wiki,high,9
"In modern times, cutting down a tree which houses a kodama is thought to bring misfortune and such trees are often marked with ""shimenawa"" rope.",-56.787567138671875,long,wiki,42,0_0,0,wiki,high,13
The England national cricket team toured the West Indies from January to April 1974 and played a five-match Test series against the West Indies cricket team which was drawn 1–1.,-52.98918914794922,long,wiki,43,0_0,0,wiki,high,15
"Hispanics were counted as whites in 1940, but for the first time ever, the U.S. made an attempt to measure the size of the Hispanic population that year.",-22.05521583557129,long,wiki,44,0_0,0,wiki,high,14
"Sarpaniran Rural District is a rural district (""dehestan"") in the Central District of Pasargad County, Fars Province, Iran.",-17.413217544555664,long,wiki,45,0_0,0,wiki,high,27
"Beginning in 1904, the Deering Coal Mine Company took Franklin County and West Frankfort from no coal production in 1900 to being the #1 coal producer in Illinois by 1917.",-63.546234130859375,long,wiki,46,0_0,0,wiki,high,19
"The shallow water of the Vik Inlet is protected as the Vik Inlet Nature Reserve, particularly because of its importance as an area for the pink-footed goose during spring.",-43.16616439819336,long,wiki,47,0_0,0,wiki,high,24
"During a meeting to discuss the screenplay, Ray Bradbury informed John Huston that regarding Melville's novel, he had ""never been able to read the damned thing"".",-35.39849853515625,long,wiki,48,0_0,0,wiki,high,19
Axel Lennart Wenner-Gren (5 June 1881 – 24 November 1961) was a Swedish entrepreneur and one of the wealthiest men in the world during the 1930s.,-72.15765380859375,long,wiki,49,0_0,0,wiki,low,9
"The about 1,000 traditional craft villages of the Red River Delta near and around Hanoi represented throughout more than 2,000 years of Vietnamese history the national industrial and economic backbone.",-67.73167419433594,long,wiki,50,0_0,0,wiki,low,10
Their contribution in premierships between 2008 and 2010 was among others than due to the general recurrence of election profiteering by the conservatives and liberal Democrats during the general election.,-55.966187,long,bert,0,0_1490,52184,late,low,21
"Honored by the Japanese Olympic Committee, Tan came fourth in the 2004 summer olympics in Sendai-Ku, Japan, and has won two Olympic swimming titles in swimming and diving.",-39.05242,long,bert,0,1_1485,52009,late,low,19
"Aunt Morgan twirls her hands slowly, in the way my father would shine with an unchained hand and a twigbone any ever placid Christmas.",-75.65698,long,bert,0,2_1480,51834,late,low,14
"The R3 (also called Colpo A1 and Colpo Q2) is a suspended production and rehabilitated trolleybus, operated in Marseille for at least 20 years.",-53.51231,long,bert,0,4_1490,52184,late,low,9
Israel's aggressive policy on Cuba had banned Arab congregants to arrive and Cuba had hosted a hostel for Arab nationalism (Arab crescent) after the 1982 Lebanon war.,-83.04644,long,bert,0,7_1995,69859,late,low,29
"Formed within of the body of the crykrii, the subcentrum is officially considered a flowering species but adults experience rudimentary canopy and attached on fovea.",-116.646324,long,bert,0,8_985,34509,late,low,14
"""Are you mad at me?"" Lyla takes off across the room and starts to pack his bag, and it takes cuz time cuz Henry's mumble.",-41.950005,long,bert,0,9_1870,65484,late,low,28
"All that night, even as I lay awake, my head on his chest, worried that he was stealing kisses for me, I knew I wasn't taking any chances.",-28.096249,long,bert,1,1_1455,50959,late,low,13
"Sunday I feel the moment right, and I wonder if I'm so euphoric that you can only ask for a soothing dormer made from sturdy Kevlar.",-70.47477,long,bert,1,2_1970,68984,late,low,2
"Her biggest hit of 2005 or 2006 at Interscope was the 1983 hit ""jazz vincennes"", and she has also worked with crossovers, notably Dolly Parton.",-40.794968,long,bert,1,3_995,34859,late,low,17
"In this end Stegosaurus is thus referred to as ""the cuckoo whale"" but neither is catapulted to the peri-abode of the sun constantly.",-70.281425,long,bert,1,5_1995,69859,late,low,15
"Winters landed uncredited her roles in MGM's Over The Border (1952), The Return of the King (1954), and The First Movement (1956) among others.",-58.17974,long,bert,1,6_1995,69859,late,low,1
"Fabrice Bonjour of Slant magazine called it ""thoroughly fantastic"", while Jon Pareles of Entertainment Weekly praised it as a ""precocious macabre"".",-14.43003,long,bert,1,7_1495,52359,late,low,27
"I'd slide the air conditioner back into his hands and I'd wonder until I put it on, what other reaction would he have when I put it on.",-22.833044,long,bert,1,8_980,34334,late,low,6
"""None of your business,"" Melissa interjected, as Moloch began to snore poises and wondered if the ghola had enduring tribulations.",-38.448242,long,bert,1,9_1990,69684,late,low,12
The Catechism of Heilmuth also placed Catholicism in a position close to both the Christology criteria of the Christian faith and the four gospels of mother and son.,-42.53741,long,bert,2,0_1995,69859,late,low,22
"She knows that speaker is sending his thoughts to Sissy, Sissy's faking thoughts are mainly a desperation effort to calm her anger, if she chooses Butler alone.",-84.525085,long,bert,2,1_1930,67584,late,low,29
"When Martin returned to the United States for World War II [1943 - 47], McClintock flew the Douglas B-25 Mitchell (""the Corvette leader"").",-33.876984,long,bert,2,2_1995,69859,late,low,20
"Had she lost her grip? Had she fallen into her original startup position? She spotted the hatch at the back of the plane, crouching in it nose to nose.",-42.924553,long,bert,2,4_1995,69859,late,low,26
"Glutamine and Glutamate, during acid build-up, undergo progressive thermogenetic degeneration mediated by hydrogen sulfide and triphosphate.",-15.026737,long,bert,2,5_1390,48684,late,low,19
"These two collections included ""kiss button killing"", and ""project upside down"" (""the shadow of steve the beagle"" and ""ghost fan"", respectively).",-76.821526,long,bert,2,6_1995,69859,late,low,28
B1 - Chhaya Chhaya B2 - Chhaya Chhaya C3 - Chhaya C4 is made by irradiation (fusing) of G cells.,-20.736956,long,bert,2,7_1990,69684,late,low,19
"The school's mascot, the cockroach (""cockroach boy""), is known in english as ""cockroach"" in American English.",-5.500064,long,bert,2,8_995,34859,late,low,8
"He saw it, just as he saw the way her ni**les tightened, her eyes large and unconcerned, almost as if she was about to orgasm.",-16.371243,long,bert,2,9_995,34859,late,low,30
Remove the lipoprotein - dependent metabolites of diphosphophosphate dehydrogenase 1 and dehydrogenase 3 : 6 from the muscle.,-24.04638,long,bert,3,0_1995,69859,late,low,5
Each of these teams was preceded by USNS Boston and USNS Cracroft-class minelayers who were operated by the imperial German navy during World War II.,-33.16381,long,bert,3,1_1495,52359,late,low,15
"Guess we're driving from Cayuga to Bam until the seeker discovers where I grew up, my living in New York, my work as a motorcyclist.",-55.21293,long,bert,3,2_1995,69859,late,low,25
"Commonly referred to as secular theology (Sahityam theology), Brahman theology and Andhra shaivism, Andhra theology comes in many different (or conflating) classes.",-39.53383,long,bert,3,3_1995,69859,late,low,5
"They may sue for every pence sequestration, but is it out of necessity that they settle the matter? I do not think we should ever coerce a lawyer.",-30.33096,long,bert,3,4_1920,67234,late,low,10
"While him away, they are heartbroken, and when Rahul turns to Sonees, he ferrets out Sonees' true identity upon learning who Rahul is.",-29.195675,long,bert,3,5_1920,67234,late,low,30
"She has also lent her work to several books and journals, including ""meeting for fifty deans"" (to review her book for showcase) and ""Leading Thinking"" magazine.",-74.72261,long,bert,3,6_1490,52184,late,low,21
"Melusine told them, ""we need to rejoice in their torment! thank the gods! I will kill them!"" Harmonia hated them - hated them.",-25.64579,long,bert,3,7_1890,66184,late,low,4
"Leamington Spa Society; Swinton Chelmsford ; and Hempstead County Board of Health donate Swinton Hospital is the only Swinton voluntary hospital in Swinton.",-49.861557,long,bert,3,8_995,34859,late,low,14
"In allergy, the binding of one barley protein to another ribosome causes production of small parasites in which case the c-arm of the barley protein crops out.",-45.551895,long,bert,3,9_995,34859,late,low,28
"'What would their gorging army do?'' they would take every city at once, and they would liberate every entire temple and tear down every temple.",-21.423733,long,bert,4,0_995,34859,late,low,8
Antioxidant reagent synthase (antioxidant reagent phosphatase) is a eukaryotic enzyme specific for proteases.,-1.0053438,long,bert,4,1_995,34859,late,low,21
"Millwall Carlisle Rangers Maine Road Wedgwood St Johnstone Brechin City boardman joined Leyton Orient from Meadowbank for an undisclosed fee, subsequently leaving after one year.",-31.963766,long,bert,4,2_1495,52359,late,low,17
"Then, all her thoughts inspired by the mention of Seth popped into her head : the two men doing this course together had done something wrong - had to screw up their lives.",-54.25097,long,bert,4,3_1920,67234,late,low,10
"It is composed of iron (II) oxides, NaD+, phosphorphatases, n-hydroxyphosphates and NaDP+⁺.",-10.252815,long,bert,4,4_1995,69859,late,low,24
He was also a pioneer of electrical wire engineering who invented an apparatus that could cache all the data imaginable by bridging or skimming through exposed DC line conductors.,-47.24971,long,bert,4,5_1995,69859,late,low,27
"""I asked them to come and snuggle with us!"" ""They did!"" His mother smiled and Jayden picked up his food just as his father left.",-30.461592,long,bert,4,6_1920,67234,late,low,3
"They ""infatuate"" rather than everyone else, stressing that (with the weapon absent) people do not have any relevant materials that may to infatuate them.",-60.08511,long,bert,4,7_1995,69859,late,low,5
"He conceived of two ""rare species"" (the ""demon snakes"" and the ""death snakes"") and used these with funds to support his seldom done clean up work.",-67.031815,long,bert,4,8_1995,69859,late,low,12
"Jean-Louis H Baker (1964) proposed quantification observancy because it raises somewhat anomalous interpretability of unstructured, sample-specific observations.",-61.512222,long,bert,4,9_995,34859,late,low,27
"Wide bottom dop ([wide bottom dop]), a common meaning for letting people live, is a term used to describe monosyllables in private dwellings.",-28.182869,long,bert,5,1_875,30659,late,high,20
"He was an aggressive anti-white supremacist, and was excommunicated months later after he argued that his racial crimes were vindicated by Coca-Cola.",-21.19557,long,bert,5,2_995,34859,late,high,2
"For example, a line-to-terminus tubule is activated in the respiratory muscle diaphragm, in order to gauge homologies (time) for different nuclei.",-74.42435,long,bert,5,3_1495,52359,late,high,16
"""Forty six days,"" Chyna said at last. ""You hailey ASAP?"" Forty six days? Chyna? ""How about forty-six days?""",-30.53846,long,bert,5,4_1985,69509,late,high,13
"He gives us no panoramic interpretation of metamorphosis of responsibility, the egoism of unfaithful menstruation emanating from mohanlal.",-39.99381,long,bert,5,6_1995,69859,late,high,27
The site of the Abbey of Kennington Abbey (at Huckralfield) lies on the boundary between Essex (near Basildon) and Buckinghamshire (at Manorbury).,-59.136993,long,bert,5,8_1460,51134,late,high,9
Mannose Mannose (Mannose Mannose) is produced from Mannose Mannose Mannose + sulfide-sulfide dehydrogenase (Mannomerase).,-14.522652,long,bert,5,9_1960,68634,late,high,7
"However, itinerant British foreign policy such as Winston Churchill courted intoxicated nationalist separatists on the more impersonal (occasionally subversive) side.",-17.025438,long,bert,6,0_1995,69859,late,high,17
"""Go home, Riordan,"" Riordan commanded, and then he gave up the fight and let go of my arms following the fall of Riordan into the air.",-28.449951,long,bert,6,2_1645,57609,late,high,18
"The second floor of the interior straight leads off the kerb and beneath atypical, large stairs linked by a catwalk, supported on the outside by a hinge.",-55.733303,long,bert,6,4_225,7909,late,high,25
"Cellar caves of soft-margin-plentiful and heterogeneous newt tativara purpura are found in Burkina Faso, Burkina Faso and Guinea Bissau.",-71.17881,long,bert,6,5_1995,69859,late,high,26
"During the steep conditions and non-stop meetings, a well-known motorcyclist rides Beau and his friends as the race is called ""the untouchable"".",-56.839127,long,bert,6,6_1495,52359,late,high,14
"It contains two homologous synaptic binding proteins known as MP and MMC (attributable to a short, serrated occipital plate).",-25.59577,long,bert,6,7_420,14734,late,high,30
"Peter Davis, Elaine Pearson, and Walt Rigon were members in the new riding of Sturgeon, at one time as junior MLA, before becoming an independent in the 1998 election.",-88.312195,long,bert,6,8_995,34859,late,high,2
"This encapsulated ribosome is a recombinational ribosome containing three isoforms, beta-I, beta-II, and beta-V.",-12.133676,long,bert,6,9_1995,69859,late,high,29
The company was the first Abcha company operated by dial and established in 1879 which had an airstrip attached and flew to poitiers by aeroplane magnifique.,-68.30409,long,bert,7,1_995,34859,late,high,7
"The catholic schism focuses predominately on rudimentary evangelization (irreparable or divisive), as opposed to the traditional baptist position.",-20.856924,long,bert,7,2_940,32934,late,high,23
"If both, and are cosmologically uniquely determined, then we have two mutual reductive components : the (I) component and the (II) component.",-23.635712,long,bert,7,3_1995,69859,late,high,29
"""It's possible there would have to be something important about her and Geoffrey so she could affect Sibyl so Henry and I could have more power over them both.",-46.586533,long,bert,7,4_1985,69509,late,high,7
"Her eyes focused solely on her children as she stooped to run into Mariana who instantly fell over on impact. ""Guabazo! Para dama! Guabazo!""",-56.210175,long,bert,7,6_1920,67234,late,high,24
"There, the device was teleported to the escatrophagus where Bond successfully landed (just in case) himself on a capsule, replacing pants with pallets.",-81.67925,long,bert,7,7_1935,67759,late,high,21
"General William Creighton and others pursued some training at fine arts colleges, including West Virginia college of Frederick William (now Virginia Tech) and the University of California, Davis.",-50.51641,long,bert,7,8_990,34684,late,high,20
"and ""in (mame) Ida"" (""in the world"") sung by voice actor Koji Matsumoto and featured at episode ""oh so cute"".",-49.287178,long,bert,7,9_1805,63209,late,high,5
"He competed at the 2016 summer olympics in Rio winning a silver medal in place of Aty Ibanesi, Ibanesi also won the bronze medal in the individual competition.",-27.717438,long,bert,8,0_1970,68984,late,high,21
"Ellen is unable (although she holds back tears as a result of puking) to ever devour the food, and her house receives a ""first-degree"" emission.",-54.69398,long,bert,8,1_805,28209,late,high,22
"Albert's essay on chicken and pasta (""unexplained rumination on the George 13th"") discouraged Fairbairn from engaging in his practise.",-61.152298,long,bert,8,2_1480,51834,late,high,3
By contrast Lorentz curvature in Lorentz characteristic and Lorentz scale divergence are used for the test of chiral scale estimates that can also be expressed as the scale density.,-62.246956,long,bert,8,3_995,34859,late,high,27
"It also made Montoya capable of killing everyone, including Gwen with her magic and Gwendolyn retrieving her servant, Falco, who is solely at her mercy.",-32.780785,long,bert,8,4_1960,68634,late,high,24
"""No. Haruki has let himself into the truck, so once he found the keys, his heart would start beating up again-how did you know that?""",-50.148956,long,bert,8,5_1820,63734,late,high,12
I watched Mandorallen wrinkle and scribble and deftly scribble billions of crumbly figurines flying through the air and almost hitting us.,-18.793312,long,bert,8,6_1495,52359,late,high,1
"He has also written and recorded renditions of ""Peter Rabbit"" (the opening theme), ""School Daze"" and ""Sprinkle Like a Light"" as well.",-21.087658,long,bert,8,7_1995,69859,late,high,28
"Thompson Williams with the Guelph Express ""I love you"" ""Jojo Mankellada"" ""Are you there?"" is popular in northeastern Ontario and northern Manitoba.",-78.19006,long,bert,8,8_1930,67584,late,high,18
The lord knight demands Elizabeth to excommunicate for the betrayal but Elizabeth refuses to excommunicate the knight and is snogged to meet princess Evangeline.,-44.867554,long,bert,8,9_1980,69334,late,high,6
(XAP1) cytostructural agonists (XAP3) and (XAP4) pentahydroprotein have been identified.,-6.869126,long,bert,9,0_1995,69859,late,high,18
"Not because he was devouring her, because she needed him desperately, but because of what he had done, even now, in some forlornly, inexperienced manner.",-27.315224,long,bert,9,1_1975,69159,late,high,23
"""Hmmm, but I did sleep when I was a kid!"" ""bam bam bam bam!"" her green eyes quizzed him, asking him a million questions.",-21.113817,long,bert,9,3_1705,59709,late,high,19
"In a documentary called Sixth Cell Drive (Lipschitz and Worsley, 2006) in 3D on July 1979, spartacus actor/producer Nicholas Stapleinson interviewed.",-109.80608,long,bert,9,4_1440,50434,late,high,8
"Encroachment of group B (krystele - le mans) and group C (corsica) did not start until March, following the successful Gregory Granqvist.",-64.57349,long,bert,9,5_1995,69859,late,high,4
"Among the Romani archives online there are four volumes of the great Jacobite chronicle, from 1925 to 1930 edited by ""Sigmund Zoltan"" and Hans Klaver.",-68.25162,long,bert,9,6_1985,69509,late,high,18
"Papa, Papa Papa, Papa, Papa, Papa, Papa is a 1972 - 1973 Italian film directed by Marcello Azzi and Rosita D'Agostino.",-9.261128,long,bert,9,7_995,34859,late,high,26
"Embryo, rather than procreation in plasma (gastrocytosis) Hungarian in recent times, the United States has implemented a national program to prevent babies from eating food.",-62.71577,long,bert,9,8_1990,69684,late,high,15
"It is now in the collections of the ""national galleries"" (formerly the Albert Hall gallery), the prime minister's gallery, and the New York City art museum.",-17.479946,long,bert,9,9_1995,69859,late,high,6
"By the 1940s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of narrow, uniform cross section lattice mast, which had a common radiation pattern.",-92.67466,long,bert,0,4_0,0,early,low,13
"By the 1940s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of light, uniform cross section lattice mast, which had a tall radiation pattern.",-103.91441,long,bert,0,1_0,1,early,low,8
"By the 1940s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of light, uniform cross section lattice masts which had a tall radiation pattern.",-106.781815,long,bert,0,1_0,2,early,low,6
"By the 1940s the ammo industry had abandoned the Blaw-Knox design for the modern type of tall, rectangular cross section lattice masts which had a diagonal radiation pattern.",-80.449326,long,bert,0,6_0,4,early,low,6
"By the 1940s the AM conversion industry had abandoned the Blaw-Knox design for a modern type, spherical, shaped cross section survey mast, which had a ring radiation pattern.",-122.32341,long,bert,0,0_0,8,early,low,30
"By the 1940s the AM broadcasting industry had adopted the Wardley-Parsons design for their new type yard CFL, two cross rotating airborne masts which had a different radiation pattern.",-118.386536,long,bert,0,9_0,16,early,low,30
"By the 1940s the electromagnetics industry had adopted the Warde-Smith arrangement, a new type of long and narrow cross sectional broadcasting antenna, which had a common radiated tariff.",-61.7303,long,bert,0,4_0,32,early,low,3
"By the 1990s the nanotech industry had abandoned the traditional half-hourly intervals for the higher value, shorter, smaller self-poweredhesis, which allows for fewer accidents induced.",-90.77167,long,bert,0,7_1,64,early,low,3
"In the 1970s, Ford Motor Corporation also introduced triple hoof ornament onto its new line of direct drive, double barreled SUVs that used their godfather form factor.",-55.499496,long,bert,0,1_3,128,early,low,11
"During the 1980s, the electronic label company launched a popular Petersoni IC model with ""ring collar with 3 Db/s key logic,"" which was its last reissued feature.",-129.60052,long,bert,0,5_7,256,early,low,28
"By lunchtime the cobbled landscape was largely cleared, save for the remnants of a crumbling pair of bridges crossing over its sheer stone cliff, which was a long way down.",-39.475536,long,bert,0,3_14,512,early,low,12
"Pak features some of the most iconic and memorable styles in the Korean industry, ranging from her signature tail lilt eye make-up, to her bold hair styles and clothing.",-100.55286,long,bert,1,0_0,0,early,low,15
"Lee features some of the most iconic and memorable styles in the Korean industry, ranging from her signature tail lil'eye make-up, to her bold hair styles and clothing.",-86.346985,long,bert,1,1_0,1,early,low,28
"She features some of the most iconic and memorable styles in the film industry, ranging from her signature tail lil'eye make-up, to her bold hair styles and clothing.",-78.04971,long,bert,1,4_0,2,early,low,23
"She features some of the most iconic and memorable styles in the music industry, ranging from her signature tail lil-eye make-up, to her signature hair styles and clothing.",-69.071365,long,bert,1,9_0,4,early,low,4
"Pak features some of the most iconic and memorable styles in the music industry, ranging from her signature tail o'eye get-up, to her distinctive hair styles and clothing.",-75.0878,long,bert,1,0_0,8,early,low,23
"She features one of her most prominent and memorable styles in the music video, running from her signature tail fin-eye make-up, to her signature hair styles and clothing.",-61.07814,long,bert,1,9_0,16,early,low,22
"She practicing some of the most traditional and memorable elements in the entertainment industry, ranging from her native Asian tinting and make-up, to her signature hair style and makeup.",-63.7714,long,bert,1,8_0,32,early,low,13
She makes many of the most accessible and exclusive designs in Hindi fashion industry spanning everything from her daughter Chakra's make-up treatment to her unique fashion style and style.,-65.679535,long,bert,1,3_1,64,early,low,4
"She wore some of the most swirl and expensive makeup in the historic district, ranging from a Marc Chagall-style make-up, to her signature fashion boots and hair.",-60.38015,long,bert,1,1_3,128,early,low,11
"She wears some of the most daring, daring outfits on the television series, ranging from icy 'plummy', layered-beige dresses to the apron doughnut jewelry line.",-83.35104,long,bert,1,4_7,256,early,low,7
"She wore some of the most daringly constructed outfits of the entire year, ranging from a soaring red gown to a stand-up comedy to an excellent stage roast by Elijah.",-72.79463,long,bert,1,0_14,512,early,low,1
"As suggested by the name of their competitions, the primary metrics used for the formula teams are design, acceleration and lap time with cost and business presentation as other important events.",-109.95135,long,bert,2,0_0,0,early,low,17
"As suggested by the name of their competitions, the primary metrics used for the formula teams are design, acceleration and lap time with cost and business presentation as other important events.",-109.95135,long,bert,2,0_0,1,early,low,25
"As suggested by the name of their competitions, the primary metrics used for the formula teams are design, acceleration and lap time with cost and business presentation as other competitive events.",-105.94307,long,bert,2,1_0,2,early,low,23
"As suggested by the name of their competitions, the primary metrics used for the formula teams are design, acceleration and lap time withique with business presentation as other competitive events.",-130.40826,long,bert,2,1_0,4,early,low,4
"As suggested by the name of their competitions, the primary metrics provided for the race teams are design, acceleration and manufacturing time with investment or business presentation as other specific events.",-126.31885,long,bert,2,0_0,8,early,low,23
"As reflected by the name of their competitions, the typical metrics used by the winning teams were distance, acceleration and provided time with moral and business presentation as a key events.",-123.667015,long,bert,2,8_0,16,early,low,24
"As indicated by the name of the manufacturer, the main metrics used by professional racing teams are pace, acceleration and lead categories with technical and skill prize content in sponsored sports.",-85.3018,long,bert,2,9_0,32,early,low,18
"Initially shown in the case of evolution vehicles, the first technical techniques used by the NM team were curve, stokes curves and excellent clingy visual surfaces unseen in climatic environments.",-148.35788,long,bert,2,1_1,64,early,low,7
