sample_id,sent_id,sentence,prob_1
93,2547287,"Indiana's population continued to grow after the war, exceeding five million by the 1970 census.",-18.0024471282959
94,1710924,Temperatures in summer frequently exceed and make cropping without irrigation risky without sophisticated meteorological forecasting techniques.,-46.21436309814453
95,3422215,"Weil, influenced by her mother's beliefs, joined the Daughters of Zion in 1912.",-33.605384826660156
96,836165,The park also contains the regional headquarters for Matanuska-Susitna Valley area parks.,-27.312538146972656
97,2079370,"By 2000, however, the station was struggling to make the top ten in 12+ ratings.",-34.05704116821289
98,1401377,"Hot rolled parts are usually dark and dull, their surface oxidized from being hot worked.",-55.43285369873047
99,3496191,He was also Federal Commissioner (South South) in National Assembly Service Commission from 2003 to 2005.,-62.28724670410156
100,298172,"Budoff died in her home on December 6, 2008, in Delray Beach, Florida.",-35.33037185668945
101,2452677,The largest class of electric locomotives are the Sr1 locomotives that were taken into use in 1973.,-50.235252380371094
102,2703015,"The church and well are of great antiquity, being mentioned in a royal charter of 939.",-35.202945709228516
103,1088613,She immediately sailed towards them and after a two-hour running fight was able to capture one.,-34.23362350463867
104,2956968,The population density was 14.0 people per square mile (5.4/km²).,-4.745061874389648
105,3433291,A secretory gland nourishes the contained spermatozoa in the vagina.,-16.88846778869629
106,1652706,"Between 1977 and 2002, their division rivals were Denver, San Diego, Kansas City and Oakland.",-26.184749603271484
108,2335551,"The word ""blin"" is also often used as a soft curse word, expressing frustration.",-32.69927215576172
109,2949521,"Males had a median income of $22,152 versus $18,583 for females.",-16.803939819335938
110,1005534,Jack does not believe that the relationship is serious since Carol never stays at Liz's apartment.,-40.458152770996094
111,78894,"Finally, there would be a new chairman position to be split off of the existing CEO position.",-31.962890625
112,1837914,"At the hospital, Wallace and Chantry run into Wallace's ex-girlfriend, Megan.",-24.766889572143555
113,1157045,"It was played from March 7 to 10, in Kansas City, Missouri at the Sprint Center.",-14.453957557678223
114,1247093,"In 1998, St. Jerome's changed its name to St. Jerome's University.",-6.513306140899658
115,3483934,"He was a committed Christian, adhering to the Catholic Apostolic Church and later the Anglican Church.",-18.143661499023438
116,1632263,"Males had a median income of $31,149 versus $20,573 for females.",-16.71195411682129
117,704967,She competed in both the 1983 and 1987 World Championships in Athletics - Women's high jump.,-9.347434043884277
118,3112313,"Also, Jan Berry himself and his parents appear in the audience at the end of the movie.",-45.78434371948242
119,3480160,William Harris was one of seven children born to William and Madelaine Harris in Western Australia.,-12.081893920898438
120,1981659,"However, the last three years have had a rebound that stabilized the period between 1992 and 2005.",-45.661659240722656
121,1704900,This country is in an undeclared and unexplained war in Vietnam.,-22.017675399780273
122,3385695,"The rector purchased a lot on Elm Street that year, and began construction of a temporary chapel.",-25.773347854614258
123,1341998,"He has the ability to gather natural materials into his body, affecting his strength and maneuverability.",-27.641334533691406
124,3300575,"Since its inaugural meeting in, the IAFSS has grown to more than four hundred members.",-40.974693298339844
125,2989353,"In Ghent (capital of East Flanders), the incumbent mayor Daniël Termont is very popular.",-30.61640167236328
126,2924032,"His funeral was attended at his suburban residence ""Smitholm"" on August 4, 1905.",-58.68622589111328
127,2247035,The cavalrymen fended off a PVA attack from the northeast that lasted into the afternoon.,-22.4981689453125
128,1975555,"In 1984, Shikaoi began a sister town relationship with Stony Plain, Alberta, Canada.",-44.123741149902344
129,1038893,"Messrs. T. Murdoch, James and Barker joined the squad from the match against Australia.",-41.982547760009766
130,104477,The concept of nullification of federal law by the states was not discussed at the Constitutional Convention.,-26.912160873413086
131,2356986,McIlwraith made 33 appearances for Motherwell from 1973 to 1975 and scored seven goals.,-12.400018692016602
132,424054,"He came from an Irish Catholic background, and was also a member of the Irish Nationalist League.",-17.709726333618164
133,164449,"Albers, in the sole remaining Spyker, retired on lap nine with a gearbox fire.",-34.1718864440918
134,3021221,"""The Secret of Moonacre"" was met with a mixed to negative reception from critics.",-16.327726364135742
135,3199596,"Directed by Anton Corbijn, the video itself features alternating depictions of vocalist Henry Rollins.",-26.423019409179688
136,2089664,"In 1961, she was the second inductee of the North Dakota Roughrider Award.",-26.699371337890625
137,67415,"Heyden was the son of the ""Baumeister"" Johann Christian Heyden the elder.",-6.42659330368042
138,1155811,"She replaced Sakhi Gokhale in the famous play, Amar Photo Studio in 2018.",-65.08406066894531
139,987852,Percy Goodman scored 34* but otherwise the wickets fell rapidly and the score eventually reached only 328.,-51.550262451171875
140,1369480,James Vlasto was managing editor and spokesman for the family when the newspaper closed in 1973.,-41.74284362792969
141,2050610,"As of June 2012, PUSD's at-large board districts became geographic subdistricts.",-38.06195831298828
142,1472874,"1,253 people are employed in the secondary sector and there are 72 businesses in this sector.",-12.10147476196289
143,2593255,"McRae was born in Carron, Falkirk, where his father was an electrician.",-13.024598121643066
144,3087866,"They are raised as brother and sister, and Ja'far pays for Hamid's education.",-10.783734321594238
145,2343971,The film score and the soundtrack were composed by film composer G. Sathya Prasath.,-24.11800193786621
146,3526769,For a number of years film exhibitors voted Johnson among the most popular stars in the country:,-38.782806396484375
147,201182,"The original building was constructed in 1901 and expanded in 1929, 1953, 1964, and 1974.",-28.629959106445312
148,3205232,There was also a sandpit where dredger deposited sand used for constructions around the city.,-34.73750305175781
149,2807887,Seven academicians of the RA NAS perform scientific and pedagogical work at the University.,-40.861854553222656
150,2625736,Abad Santos was appointed Secretary (later Minister) of Justice by President Ferdinand Marcos in 1970.,-26.03893280029297
151,143527,The association was created by Louise Otto-Peters and Auguste Schmidt in Leipzig on 18 October 1865.,-68.66666412353516
152,109593,Evans was one of the torch bearers during the torch relay prior to the 2012 Summer Olympics.,-17.547584533691406
153,570590,"He added that he had been covering for Profumo, whose Commons statement was substantially false.",-35.33605194091797
154,1948033,"Reflecting its much larger size, in 1978 the parish council declared itself thenceforth a town council.",-22.537734985351562
155,1042520,"During World War II, he commanded the USS Sheboygan (PF-57).",-7.212535858154297
156,1570151,None of the bombers returned to base—only three 18 Squadron and one 614 crew survived.,-78.18826293945312
157,1067059,She received her Masters of Community Medicine from in 1987 also from the University of Khartoum.,-39.74152755737305
158,3523688,He is blindfolded while a captor reads a speech for two minutes and ten seconds.,-34.656837463378906
159,2718807,"Merger negotiations failed in 2014, as did an takeover bid by CA Immo in spring 2015.",-67.74900817871094
161,3077045,Aaron ben Isaac Sason was an Ottoman author and Talmudist; born in Constantinople in 1629.,-50.98924255371094
162,3317308,"Jan Oxenberg (1950) is an American film producer, director, editor, and screenwriter.",-21.049232482910156
163,417512,"If person wants to transport a bike in a Prague train, ticket for oversized luggage is needed.",-68.75541687011719
164,1195803,"Jake Hancock wrote in 1989: ""Dennis Curry's work is marked by its extraordinary breadth.",-53.83497619628906
165,3128875,"Thanks to direct contact with contemporaries, he conveys the unique spirit and energy of his heroes.",-41.642822265625
166,2370978,The film also revealed that he was charged for drug trafficking in 1993 by the United States Government.,-24.012807846069336
167,1536239,"The Takeda main body held firm, despite fierce rotating attacks by the Uesugi.",-32.165348052978516
168,38942,The share price growth added more than $5 billion to Match Group's market capitalization.,-33.06293869018555
169,266065,"""Jennings County"" departed San Diego on 11 September, arriving at Chu Lai on 11 November.",-35.82243347167969
170,3240316,"By the time Jefferson County began their mandatory evacuation, local roads were already full of Houstonians.",-29.53250503540039
171,1932185,"He was one of 362 ""foreign specialists"" at the plant when he started working there.",-26.99299430847168
172,3343369,Pretiosa agrees only if Don John consents to live as a gypsy for two years.,-41.04014587402344
173,1101179,Edwards returned for the third test which was won 23–4 by Australia at Elland Road.,-57.69920349121094
174,595107,"She had always dreamed of writing plays, and she began writing and acting in her teenage years.",-7.5777974128723145
175,1027078,"Born in Germany to Jewish parents, he studied graphic design at the Reimann School in Berlin.",-14.440128326416016
176,535968,The attack on Clery was one of 38 violent crimes recorded at the university in three years.,-39.16128158569336
177,1252739,"It shakes the branches with its feet, hands, or a combination while hanging from its tail.",-37.46646499633789
178,3308900,She is a member of the Polish feminist punk group which combines lyrical ballads with contemporary protest songs.,-42.84531021118164
179,896225,Part of the game's development was outsourced to American middleware provider Phantom Reality.,-36.29890823364258
180,463999,"His strong, raucous sound on the trombone and wild outbreaks on stage were characteristic.",-59.01487731933594
181,1824998,"The song ""Fighting for You"" is a duet, featuring guest vocals from Carroll Sue Hill.",-39.95454406738281
182,3160821,A search for the lost airframe by the National Underwater and Marine Agency Australia has been proposed.,-32.54979705810547
183,2024187,The road winds north through forests and forms the eastern border of Nolde Forest Environmental Education Center.,-40.21044158935547
184,1699449,"According to INRIX, Windermere is the first real estate company to offer this feature.",-26.613542556762695
185,347554,The two are primarily used by sellers to determine the auction type that maximizes the expected price.,-43.25224304199219
186,1548581,The 1850–1990 MHz PCS band is divided into six frequency blocks (A through F).,-78.94790649414062
187,1635608,The community was named for Boston financer and railroad promoter H. H. Hunnewell.,-40.627357482910156
188,2843064,The administrative offices of the theatre and the box office on Rampart Street suffered extensive water damage.,-25.74899673461914
189,2488895,Her self-taught ability to read music was an added bonus as this saved valuable studio time.,-36.23583984375
190,3115998,"According to the 2004 census (INE), the municipality has a population of 82 inhabitants.",-6.19983434677124
191,679627,In late 2007 the company announced its intention to make RPR training and material more widely available.,-41.86988830566406
192,1210627,Liverpool's opening Premier League fixture was at Anfield against West Ham United on 12 August.,-16.34832000732422
193,1399976,The evacuated fort of Itakhuli was then occupied by the Chetia Borphukan.,-59.94731903076172
194,2633861,"After the ""World"" folded, he became a foreign correspondent for the ""Toronto Star"".",-12.989216804504395
195,2437896,"The Kirk Franklin show attracting such amount of audience that exceeded the 14,000-capacity dome.",-59.41223907470703
196,438461,Ritva Salonen (28 February 1936 – 28 March 1996) was a Finnish gymnast.,-56.72050857543945
197,958980,Jimmy's attempts to promote goodwill and community spirit amongst his relatives and neighbours are frequently frustrated.,-41.53037643432617
198,1017832,"They are hardy to USDA zones 11, above 4.5 °C (40 °F).",-22.931028366088867
199,2542375,"SDH is found widely in nature, but its structural and chemical properties vary greatly among species.",-21.263473510742188
200,516993,"In addition, the exhibit contains 50 pairs of civilian shoes representing the Iraqi civilians killed during occupation.",-35.35171890258789
201,356507,Unredeemed pledges may be sold at any time after the loan expires.,-16.729982376098633
202,2847533,"Helensburgh railway station is on the South Coast railway line, linking Sydney to Wollongong.",-9.311528205871582
203,2255176,"John de Vere, 13th, Earl of Oxford, was Henry's principal military commander.",-27.620559692382812
204,115286,He was a Member (MP) of the Parliament of England for Ripon in 1559.,-6.185616493225098
205,1423557,The regional studio for Vienna is located on the Argentinierstaße 30a in Vienna.,-58.27777862548828
206,2750699,"For the next six years, the Battalion aided the Nicaraguan government until peace was finally restored.",-21.575130462646484
207,317721,"His son Mitch Acker is President of Martinaire Partner, LLC, of Dallas, Texas.",-40.12308883666992
208,2547744,the match between Dickie Laws and Stanley Newman was played at Thurston's Hall.,-29.354820251464844
209,954206,"Tibet is nicknamed ""the roof of the world"" or ""the land of snows"".",-29.774158477783203
210,1178478,Argentina throughout its history has always depended on foreign trade to achieve a solid economic and social growth.,-28.412185668945312
211,1787061,Lindh had to choose between standing up for human rights and supporting trade relations with the US.,-30.108684539794922
212,3107309,"On 11 June 2019, Jajalo signed a three-year deal with Udinese.",-39.556697845458984
213,1393160,"""Do Right Woman, Do Right Man"" was written by Chips Moman and Dan Penn.",-26.76190757751465
214,1552255,"He then served as assistant editorial page editor and in 2004, he became its deputy foreign editor.",-29.76456069946289
215,1414820,The Venezuela men's national softball team is the men's national softball team of Venezuela.,-0.02994251623749733
216,95134,These loans bound the labourer to the estate who was not charged with interest on the loan.,-43.46102523803711
217,2703561,"Under most circumstances, relative nonlinearity will help one species to invade, and hurt the other.",-55.40300750732422
218,2353044,However the MRF was able to return to their base by 02:20 on 1 February.,-30.095117568969727
219,3328899,"On the other hand, Alexander Sceresse attacked the University, calling for law and order.",-47.77299499511719
220,3136882,The passive and gentle expression on her face is also denoted with an air of approachability according.,-59.50261688232422
221,3428865,The small white flowers grow in a fairly showy panicles from the top of the stem.,-27.403173446655273
222,3318257,Rabold and Morales rehearsed at Center Staging in Burbank with the band alone.,-52.75566864013672
223,1305577,"In the meantime, the Soviet Union was dissolved, and with its dissolution the Cold War ended.",-9.810894966125488
224,2531027,"At Lord Cherwell's recommendation, Butt did an analysis of the effectiveness of Bomber Command.",-37.274593353271484
225,83653,"A seventh 25 MW unit was brought into use in September 1937, expanding capacity to 175 MW.",-42.700439453125
226,2222623,He then transferred to Princeton University and played for the Princeton Tigers football team from 1913 to 1915.,-15.936694145202637
227,2227912,Its first chairman was John Vassos and its first president was Henry Dreyfuss.,-23.845260620117188
228,889952,"Very tightly coupled computer clusters are designed for work that may approach ""supercomputing"".",-30.858583450317383
229,2343314,"They only last until 1937, when they closed the quarry and auctioned off the remaining equipment.",-37.83094024658203
230,3457705,"Alkire was born in Fay, Nevada in 1903 to Chester and Henrietta Alkire.",-40.03984451293945
231,276365,Its construction is similar to that of the Aeolian harp or Appalachian dulcimer.,-13.954363822937012
232,2270684,"Fjell was the 43rd most populous municipality in Norway with a population of 25,204.",-23.015474319458008
233,3217307,Jonni and Doll are shown to have started a relationship of sorts along with their working relationship.,-40.053714752197266
234,1945004,"Winter went 22–13 with 121 strikeouts in 1947, leading her team again to the playoffs.",-93.42666625976562
235,2961607,"During the lengthy period of ancient Rome, the Capitoline Hill was the geographical and ceremonial center.",-28.58924674987793
236,938404,"Two teenagers were found dead, evidently killed by shapeshifter agents from the parallel universe.",-25.001218795776367
237,1494850,"Original Soundtrack is the debut album by English dance music act S'Express, released in 1989.",-41.58940124511719
238,2488325,"As a result of her tendency to pitch severely, a ballast was permanently installed in the bow.",-34.61246871948242
239,2808712,"Sudoeste de Goiás Microregion is a region in southwest Goiás state, Brazil.",-10.386979103088379
240,433057,"Naturally, as everyone already knows, superheroes who have superpowers prevail here.",-14.041662216186523
241,1219709,Their occupation of the area is thought to have been intermittent due to the scarcity of water.,-14.071127891540527
242,3396281,"She said: ""I think they just sort of felt like, 'Why not?'""",-18.87874412536621
243,1235461,Khotons and Chantuu are Mongolized people with Turkic origin and speak in Mongolian.,-57.65607452392578
244,772762,"The property passed to his son, followed by Lord North, his eldest daughter's son.",-27.077754974365234
245,338902,"However, he never knew that the one book would be able to turn into so many volumes.",-33.29012680053711
247,453063,"In June 2005 the 17th Aviation Brigade in Korea was inactivated, along with its pathfinder detachment.",-32.920860290527344
248,1426881,Lahariya has been referred as one of the most influential Indians under 35 years of age.,-30.02109146118164
249,2818587,The town became part of the emirate of Cordoba in 756 and further fortifications were constructed.,-18.335865020751953
250,2058285,It is notable for its experimental and complex employment of multiple perspectives in a non-linear fashion.,-34.520294189453125
251,3049154,Above the belfry is a smaller square lantern stage with louvered openings and corner pilasters.,-21.96413230895996
252,2027335,"In mid-2008, it began running on The WB's online network in the US.",-27.267866134643555
253,3485215,She had been one of his students at Alexandra College in Dublin where he had once taught Classics.,-25.591381072998047
254,696824,"The channel is a part of the StarLightMedia broadcasting group, created by Viktor Pinchuk.",-44.35796356201172
255,2494034,"From there he undertook several expeditions in the Gran Chaco, which led him into southeast Bolivia.",-23.95052719116211
256,755721,The tribute concert included the same setlist as Dylan's 1963 concert at The Town Hall.,-21.575077056884766
257,350923,"The name ""New Spain"" had been suggested by Cortés and was later confirmed officially by Mendoza.",-19.779644012451172
258,2504699,"On 26 October, Lawes received his first call-up to the England Rugby Elite Squad.",-38.64871597290039
259,1611606,"Males had a median income of $29,861 versus $17,250 for females.",-14.18204116821289
261,1057077,The direct arm attaches to the posterior and lateral aspect of the fibular styloid.,-33.75674057006836
262,1085537,Binaca is an oral hygiene brand that is marketed in India and owned by Dabur.,-31.841651916503906
263,3081138,"The fencing at the church was created in 1903-1907, following Parland's designs.",-67.30747985839844
264,692875,Lila Rae Alcazar is the daughter of Lorenzo Alcazar and Skye Quartermaine.,-35.02637481689453
265,1630977,"Males had a median income of $28,125 versus $21,771 for females.",-13.924298286437988
266,3144110,"Ventspils University College is a higher education establishment in Ventspils, Latvia.",-7.704229354858398
267,1942186,"The general also sailed for Havana on January 8, barely one week after the siege was lifted.",-37.614532470703125
268,2602702,The Courier's leadership disallowed Schuyler's title of associate editor.,-22.266408920288086
269,485382,"Also, the company announced that it will have a multimedia campaign in South Korea involving the series.",-31.917932510375977
270,2763271,"Coleman was very gracious in defeat, and appeared on the ""Jimmy Kimmel Live!""",-22.482547760009766
271,2964772,"In the United States, the use of contractionary monetary policy has increased women’s unemployment.",-58.3560905456543
272,1041420,"The products of MUV have consistently identified God using the Buddhist term ""Burhan"".",-59.671356201171875
273,2786413,"Prices of the Jinbei X30 ranges from 35,000 yuan to 46,800 yuan.",-43.27271270751953
274,915547,The concrete element to the left bears a plaque with the names of the fallen and a dedication.,-43.472747802734375
275,2450666,"He also published intimate portraits of John Dewey, John Masefield, and George Santayana.",-22.5308895111084
276,2052702,"Fryerning is a small village situated approximately north of Ingatestone in Essex, England.",-27.327537536621094
277,3296149,"On 1 May 1909, passenger services commenced and the station was renamed Kami-Arita.",-19.72308921813965
278,954355,"They learn the whereabouts of him, by strategic publicizing of a generated photograph of the man.",-59.440940856933594
279,2793689,"514A explains the situation, and Selina tells him he is more normal than Bruce.",-37.83248519897461
280,12901,"Sporcle opened a sports bar in Ann Arbor, Michigan, called Haymaker Public House.",-46.002586364746094
281,1605116,Inglewood is moving its City Council elections to March 2020 to coincide with the California Primary election.,-23.56061363220215
282,2933492,"It was at this point, however, that the resort industry began to flourish in Forestburgh.",-35.876129150390625
283,1128982,"After the end of the Second World War, the study of Crusader castles experienced a lull.",-24.966249465942383
284,2712696,This placement earned them an invitation to the Intel Extreme Masters Season IX – World Championship in March.,-64.69329833984375
285,76315,"The program is presented by Don Francisco, who previously worked at ""Don Francisco Presenta"".",-24.776296615600586
286,829654,"For the opening game of the 2009 season, Rodgers recorded his first win in a comeback situation.",-41.58526611328125
287,3077450,"Later that year, he participated in the 2011 FIFA U-17 World Cup held in Mexico.",-9.3881254196167
288,2076031,"Lincoln also received mail that called him ""a negro"" and a ""mulatto"".",-17.588958740234375
289,725123,"In these bottom and deep layers of the gyre, it is completed by a southward movement.",-54.537757873535156
290,326935,"For examples, the United States completed its transition on 12 June 2009 and auctioned the spectrum.",-40.466041564941406
291,2188071,"Wong resigned as an MP on 17 January 2011, resulting in the 2011 Botany by-election.",-29.95884132385254
292,1463706,"SCR also produced his adaptation of Alexander Buravsky’s ""The Russian Teacher"".",-90.30381774902344
293,1572439,He received the Zee Cine Award Best Actor in a Supporting Role- Male for his performance.,-7.818359851837158
294,2923992,"For the 1961 Vuelta a España, the field consisted of 100 riders; 50 finished the race.",-20.233816146850586
295,3124012,The fight breaks Terry's probation and he is imprisoned while Mickey taunts him relentlessly.,-34.06381607055664
296,70712,"Secure Energy Services Inc. is a Canadian public energy services company, based in Calgary, Alberta.",-18.45357322692871
297,1390247,"William Codrington (died 1728), a descendant of Nathaniel Still, lived at Hutton Court.",-46.58009338378906
298,53023,"She has earned international acclaim for her experimental, documentary, animation, and cross-genre productions.",-27.740917205810547
299,1940570,Also had several PT-17 Stearmans and a few P-40 Warhawks assigned.,-22.236553192138672
300,660627,The New Mexico Storm are a former team in the American Indoor Soccer League (AISL).,-20.647409439086914
301,2180965,Many Swedish groups of the 1990s began to play a combination of D-beat with crust punk.,-49.43074035644531
