sample_id,folder_id,sent_id,sentence,prob_1
60,FH,9971,The population was 394 as of 2010.,-9.22061538696289
61,FH,1480,The incident was filmed by a local resident;,-21.62844467163086
62,FH,845,"He had at least four children, including:",-15.625720024108887
63,DB,12229,IAVC also launched on 24-3.,-59.15758514404297
64,DB,7089,"However, historians are divided on this issue.",-6.393514156341553
65,DB,7361,"He lived in Rehovot, Israel.",-4.484610080718994
66,DB,1738,Franciszek and his wife had eleven children:,-28.679821014404297
67,DB,4560,The Magic slumped late and missed the playoffs.,-30.12332534790039
68,DB,8254,Pirjevec was married twice.,-6.110320091247559
69,DB,8844,"An investigation by Donta et al.,",-29.698389053344727
70,DB,4055,Only five counties voted Democratic in the east.,-17.134822845458984
71,DB,3646,The film won two awards at the festival:,-15.731430053710938
72,DB,9074,"In 1923 he published ""The American Revolution:",-31.29995346069336
73,DB,13202,It was his first release in the 1970s.,-14.858686447143555
74,DB,6462,The dominant occupation in the village is farming.,-10.860837936401367
75,DB,2459,The fort and estate were separated in 1786.,-39.5908203125
76,BX,3557,Devlin has also worked as a television commentator.,-16.04253578186035
77,BX,2377,manifesting in the three chief physical functions:,-42.53696060180664
78,BX,11637,Singleton's execution was scheduled five times.,-23.946239471435547
79,BX,6256,There are many closed sections at East Broadway.,-32.1520881652832
80,BX,5558,The factory reopened in the summer of 2012;,-14.649534225463867
81,BX,371,Season 4 posted its highest rating to date.,-11.443814277648926
82,BX,2784,A video for the single was also released.,-3.3370323181152344
83,BX,6288,You succeed in three of the four cases:,-29.000905990600586
84,BQ,1811,is one of Rwanda's five provinces.,-11.096782684326172
85,BQ,7732,The remainder of Project Alberta began packing up.,-24.76218032836914
86,BQ,9366,"However, World War II disrupted usual work.",-22.63701820373535
87,BQ,10817,The concentration of troops was disguised as maneuvers;,-29.043899536132812
88,BQ,9580,Until that point Belfast had been overwhelmingly Protestant.,-19.091033935546875
89,BQ,10006,Candidates supply the correct term for each definition.,-37.60078430175781
90,BQ,31,Salem sent seven fire trucks to the scene;,-25.212562561035156
91,BQ,358,"The Memoirs of Elleanor Eldridge"".",-50.90253829956055
92,BQ,5104,The main purpose is to create environmental professionals.,-30.83533477783203
93,BQ,9315,Ala ultimately resigned his post as prime minister.,-29.406448364257812
94,DM,2028,He became a regular player as defensive midfielder.,-7.953688144683838
95,DM,7685,Encyclopaedia Iranica:,-16.745859146118164
96,DM,11954,He is a former Italy U21 international.,-4.594204425811768
97,DM,3608,Debts for child support have special moral force.,-55.064876556396484
98,DM,6867,Red Sun Rising  Pearl Harbor Trilogy – 1941:,-75.69236755371094
99,DM,11207,"""Improvised Electronic Device"" spawned two singles.",-24.83121109008789
100,DM,472,His TV show has been airing since 1996.,-18.809553146362305
101,DM,3319,Leber was arrested a few days later.,-11.679266929626465
102,DM,9321,It is currently used mostly for football matches.,-0.02745623141527176
103,DM,9513,Some survive and some are still in service.,-6.900177001953125
104,EO,3712,"Her most recent publication, Sarah Crowner:",-37.636043548583984
105,EO,11089,It was extensively renovated and enlarged in 1889.,-21.01481056213379
106,EO,9361,Andriy Artemenko is married.,-14.79184627532959
107,EO,6994,"Profile written by Paul J Lane, himself.",-41.117679595947266
108,EO,4025,"""Bittersweet"" debuted at No.",-2.9110801219940186
109,EO,8644,when they reached the enemy's trenches.,-13.282296180725098
110,EO,590,the ascent route largely following the marked path.,-50.149200439453125
111,BI,9640,Funding issues have delayed establishment of the center.,-14.06714916229248
112,BI,4182,Wolves became extinct in Zürich in 1684.,-34.664215087890625
113,BI,11933,The organization's CEO is Aria Finger.,-30.82789421081543
114,BI,8383,MK Larada also designed the album art.,-44.614871978759766
115,BI,12886,In its most extreme form it sometimes includes:,-23.29197883605957
116,BI,2162,Work started on the last day of 1847.,-28.421072006225586
117,BI,11032,"She ""softened"" him about her husband;",-29.347166061401367
118,BI,10632,"In 2010, the seventh grade ranked 15th.",-16.835756301879883
119,BI,10085,This dialect is actively promoted by the municipality.,-16.704959869384766
120,BI,11843,Hmong Churches tend to be Renewal churches.,-17.256065368652344
121,DC,6982,Uruguay's main exports to France includes:,-31.995813369750977
122,DC,8640,There isn't a west Irvington.,-30.614910125732422
123,DC,2336,Traditional security measures are not always foolproof.,-11.834333419799805
124,DC,655,New Lebanon Central School District to the south;,-17.282119750976562
125,DC,10321,"76 on the ""Billboard"" Hot 100.",-11.924457550048828
126,CS,4072,She won medals at Olympic and world championships.,-5.000715255737305
127,CS,13281,The district includes four other Stephenville schools.,-19.71146011352539
128,CS,3809,He spent his days listening to classical music.,-4.130321502685547
129,CS,6241,"The station began broadcasting January 1, 1980.",-19.645469665527344
130,CS,6357,members of the Sisters of the Holy Cross;,-13.018956184387207
131,CS,10884,The other involves a large Chinese service company.,-35.52759552001953
132,CS,10541,The other box contains a hotel room key.,-21.10535430908203
133,CS,151,Macaque brain development timeline   Dates in days,-40.13254928588867
134,CS,5934,Both unions were childless and ended in divorce.,-9.800793647766113
135,AQ,3782,"However, severe outcomes are much less frequent:",-33.7108039855957
136,AQ,12104,I'm frustrated at the whole situation.,-10.751608848571777
137,AQ,4959,Christianity is the majority religion in Chatteris.,-14.053003311157227
138,AQ,11230,It has held this status since 1954. ',-16.47780418395996
139,AQ,8327,"Succession, , is the most basic operation;",-36.40755081176758
140,AQ,2145,His last episode aired on 25 April 2014.,-19.523792266845703
141,AQ,6289,The attackers killed 10 people and injured three.,-20.464683532714844
142,BK,12506,Oil was discovered with Shaybah Well No.,-48.81138610839844
143,BK,1207,He represented Scotland six times throughout his career.,-9.3667631149292
144,ES,1630,The community is west-southwest of Indiana.,-13.693901062011719
145,ES,2337,"The best way is ""instant frozen"".",-28.452421188354492
146,ES,8480,A video about creating the album was filmed.,-13.589107513427734
147,ES,13379,Kilo Marines killed or captured 137 insurgents;,-33.00422668457031
148,ES,8515,It is a tributary of Brandywine Creek.,-0.09157953411340714
149,ES,3277,"Its dedication was on June 26, 1909.",-23.194177627563477
150,ES,13854,"While some contained adults, most held children.",-18.501041412353516
151,ES,8993,Mine Run Campaign November 26 – December 2.,-51.567893981933594
152,ES,7010,Qualifying took place in dry and warm weather.,-14.483047485351562
153,EQ,10444,She is the recipient of three Grammy awards.,-5.288381099700928
154,EQ,8962,All of his children have been home educated.,-16.41244888305664
155,EQ,8551,2015 ALDS (3–2):,-70.34132385253906
156,EQ,2522,Brown died at St Leonards in 1889.,-21.163978576660156
157,EQ,115,Subtitle is taken from haiku.,-4.845373630523682
158,EQ,8894,There may have been others written pseudonymously.,-6.441445350646973
159,EQ,9659,Acting and dance have always been his passion.,-18.25145149230957
160,EQ,10581,Katembo had also worked in feature films.,-38.119049072265625
161,EQ,9633,"He was a small horse, standing only .",-28.681964874267578
162,AN,2659,Sky launched HDTV services in May 2006.,-26.154926300048828
163,AN,19,"From birth, Beatrice became a favoured child.",-27.840618133544922
164,AN,11239,"Chief of Staff, Brigadier General William Robertson;",-13.498806953430176
165,AN,8046,"Novice, Standard, Expert, and Master.",-24.895307540893555
166,AN,10936,Naturally the dishes served will reflect the seasons.,-24.771286010742188
167,AN,6788,"they live in the Tulsa, Oklahoma area.",-1.495880126953125
168,AN,9382,There are twelve aspects divided into four categories.,-15.634252548217773
169,AN,11673,The settlements are depending of the commune are:,-44.99580764770508
170,CE,9295,This film was re-released in 1950.,-17.851951599121094
171,CE,2747,It has a population of about 263 people.,-7.208047389984131
172,DQ,3541,"When completed in 1947, the field measured .",-25.39739990234375
173,DQ,7755,No one but Moore can see Jake Ellis.,-34.431800842285156
174,DQ,11608,He was named President of Epic in 2004.,-23.943756103515625
175,DQ,1367,"1870), corn crib (ca.",-14.417435646057129
176,DQ,432,3 running back in the class of 2010.,-34.79612350463867
177,DQ,10314,It may represent a Foraminifera.,-9.376441955566406
178,DQ,520,He has also been active in other media:,-20.21412467956543
179,DQ,5945,"In 1962, he joined the Foreign Service.",-8.058713912963867
180,AS,4696,Obsession about the human body was in vogue.,-19.411884307861328
181,AS,9156,Total initial mass (fully fueled) was .,-29.913503646850586
182,AS,9427,"however, records only started from 1957 onwards.",-26.270030975341797
183,AS,11066,Stevens reached a career high ranking of No.,-10.277338027954102
184,AS,2067,It has also hosted over 130 all Americans.,-21.72681999206543
185,AS,8485,"Ramie  Ramie (pronounced: , ;",-44.579036712646484
186,AS,9523,Tizard's chosen problem became aeronautics.,-42.46833801269531
187,DV,6096,"23,909 (2010 Census);",-12.75473403930664
188,DV,206,he insists that the doctor be truthful.,-11.514446258544922
189,DV,15333,It was opened to free settlement in 1842.,-33.81406784057617
190,DV,1972,That match ended as a scoreless draw.,-13.313228607177734
191,DV,5828,"8,955 (2002 Census);",-11.004262924194336
192,DV,4808,Type variables are admitted as monotypes.,-35.139251708984375
193,DV,3275,The lead vocals harmonize above the melody.,-16.089229583740234
194,BZ,8094,"Population 4,605 (2011).",-10.81330680847168
195,BZ,3558,"Modern Art Oxford in Oxford, United Kingdom;",-20.985130310058594
196,BZ,8212,A village charter was first written in 1736.,-36.743690490722656
197,BZ,9195,"Daphne currently resides in Los Angeles, California.",-14.238311767578125
198,BZ,9119,There are 43 rural municipalities in this division.,-18.413190841674805
199,BZ,11783,Niño Early Childhood Learning Center campus was inaugurated.,-35.4133186340332
200,BZ,12386,"Like his father, he was a composer.",-8.97889232635498
201,FE,8721,It's a well-rounded album.,-15.646769523620605
202,FE,6580,We're working on the cover now.,-17.532699584960938
203,FE,11173,The consensus nonetheless remains in favour of 235.,-38.17543411254883
204,FE,13588,The Knitting Needles  The Knitting Needles (German:,-27.09765625
205,FE,9128,It is now part of BLS AG.,-16.70380401611328
206,FE,6843,METI also searches for life beyond Earth.,-31.678495407104492
207,FE,5913,"two-man show in Delhi, 1961;",-32.646453857421875
208,FE,3027,The antique music boxes are in Hall 2.,-29.39472770690918
209,FE,12862,The government was composed by the following parties:,-11.860361099243164
210,FE,6132,The Emu River forms the western boundary.,-7.032478332519531
211,FE,10891,"colspan=""3""| !",-31.577587127685547
212,EW,4526,"three birds, floral pattern, and clouds.",-31.94182777404785
213,EW,3381,The top four boats advanced to the final;,-14.045855522155762
214,EW,359,It was founded by John Immyns.,-31.356876373291016
215,EW,12525,He also had a radio and a camera.,-8.247321128845215
216,EW,15513,Laurence assembled a book manuscript from his lectures.,-45.7402458190918
217,EW,12088,They have two kids namely Alyssa and Gabby.,-34.06536865234375
218,EW,6042,"and ""Ranunculus bullatus subsp.",-31.48134994506836
219,EW,15194,"In 1937, Xing returned to China.",-10.674575805664062
220,EW,5475,"Bundesliga, the second tier of German football.",-6.367184638977051
221,EW,2894,It was compiled by the Yuan dynasty figure .,-28.211589813232422
222,EW,1209,The two ended their relationship in early 2019.,-21.707225799560547
223,EW,3018,"A History of the Idea of Communication"".",-30.178302764892578
224,EW,14401,They have adopted unique Hindu culture and rituals.,-28.73488998413086
225,BT,10140,It is listed on the London Stock Exchange.,-1.565690040588379
226,BT,7435,and significant moments for him of some races.,-54.98048400878906
227,BT,2879,They played in the Ontario Junior Hockey League.,-6.120522499084473
228,BT,9247,She had been sketching interiors for years.,-17.35509490966797
229,BT,11400,Seeing it as not much of a challenge;,-22.539216995239258
230,BT,5796,Jan Wojciech Kiwerski.,-19.388063430786133
231,BT,8036,It shows extended footage of all five stories.,-26.393068313598633
232,BT,2015,The new top division is the Scottish Premiership.,-10.480758666992188
233,BT,254,TimeSignature \override Score.,-40.906707763671875
234,AG,15219,The population was 26 at the 2010 census.,-5.96793794631958
235,AG,3787,This was founded by former Governor George Wallace.,-21.678285598754883
236,AG,16993,The population was 230 at the 2010 census.,-6.124935150146484
237,AG,17515,The population was 187 at the 2000 census.,-8.113191604614258
238,DE,6823,"The cause can be almost any bacterium. """,-26.728092193603516
239,DE,6806,This species grows to a length of SL.,-10.429624557495117
240,DE,6442,There is a bus station outside the station.,-10.549434661865234
241,DE,2012,Before 1945 the area was part of Germany.,-0.003054589033126831
242,DE,13587,It is most common in Mie prefecture.,-1.9003710746765137
243,DE,8655,"Lastly, the organism can show insulation adjustments;",-51.6539306640625
244,DE,10490,"Over time, the wanted behavior should increase.",-26.525867462158203
245,DE,13273,Please see news reports for the latest developments.,-19.505050659179688
246,DE,5028,They have toured across the UK and Europe.,-5.374732494354248
247,DE,10474,All platforms have a length of 140 metres.,-14.145757675170898
248,DE,3830,"Currently, administrative activity of the Museum includes:",-28.111801147460938
249,DE,12573,Price played for Dudley Town and Wolverhampton Wanderers.,-17.806865692138672
250,DE,2469,Before 1945 the area was part of Germany.,-0.0030553038232028484
251,DE,10445,The flower is under a centimeter long.,-8.808192253112793
252,DE,43,It contains seven genera and nearly 100 species.,-10.221983909606934
253,DE,1887,Before 1945 the area was part of Germany.,-0.0030553038232028484
254,BC,6025,Hampton then withdrew towards Gettysburg to rejoin Stuart.,-29.74251365661621
255,BC,2401,It is located in the South West Region.,-9.726371765136719
256,BC,3802,Leading many to believe the collision was intentional.,-12.08770751953125
257,BC,4727,Modern shophouses are made of reinforced concrete.,-15.993888854980469
258,BC,4215,Keating's ambassadorship was high profile;,-15.474991798400879
259,DF,10896,The statue is a national Important Cultural Asset.,-17.780895233154297
260,DF,9312,"Beaver Creek, Floyd County, June 27.",-27.064708709716797
261,DF,6882,"We came back and recorded a vocal.""",-21.161985397338867
262,CC,11366,The capital of the county is Taybad.,-15.866326332092285
263,CC,7239,He was the successor of Ahmad Majid.,-14.01809024810791
264,CC,11198,The capital of the county is Maku.,-8.789392471313477
265,CC,6419,"That is, it is not generally invariant.",-19.96546745300293
266,CC,9770,Elsewhere in the woods a trio of hunters;,-21.253999710083008
267,DY,4015,"In 1978, the stage technology was improved.",-22.419252395629883
268,DY,106,oceanic Islands are considered separately at the end.,-35.582618713378906
269,DY,4047,"In the process, he loses his job.",-8.688871383666992
270,DY,2836,The rest stayed in Dobruja.,-9.44675350189209
271,DY,13583,The nearest station is in Pasir Mas.,-20.461318969726562
272,DY,10658,The temple is equally famous in India abroad.,-19.285337448120117
273,DY,1677,"However, it hardly effected the county.",-20.74665069580078
274,DY,2249,"It is a stand-alone novel. """,-12.288854598999023
275,DY,6628,the son of Elizabeth Ward and Joseph Morrow.,-27.91171646118164
276,ER,13963,Fairfax and Hicks usually rode in the truck.,-35.338802337646484
277,ER,5445,"He was born in Suffolk County, Massachusetts.",-6.876997470855713
278,ER,1411,Eleven Americans advance to the round of 16.,-34.779693603515625
279,ER,11682,"The Plight of Book Reviewing in America"".",-41.34647750854492
280,ER,14099,No planes were shot down in either instance.,-9.879676818847656
281,ER,3483,Mature larvae overwinter in the mine.,-9.818166732788086
282,ER,1044,She could steam for at a speed of .,-33.989925384521484
283,EM,4753,It closed back up and we made contact.,-22.322574615478516
284,EM,12595,Intra-division opponents are in bold text.,-1.279491662979126
285,EM,2216,Ida began her career when she was 18.,-22.201492309570312
286,EM,11572,Half skins were sewn around each side.,-27.221216201782227
287,EM,12149,"The episode aired on November 21, 1975.",-17.800952911376953
288,EM,14840,It was described by George Hampson in 1912.,-1.8688414096832275
289,EM,4432,It was described by Friese in 1921.,-7.390254020690918
290,BF,4267,"mechanical, carpentry and electricity workshop;",-14.33118724822998
291,BF,8677,Ossoliński  Ossoliński (plural:,-28.05347442626953
292,BF,158,Shabazz was released after four years.,-4.034844398498535
293,BF,11390,The other fins are distinctly rounded in shape.,-23.512813568115234
294,BF,6699,"However, they caught fire in the playoffs.",-15.319719314575195
295,BF,5829,The Danish army only visited the province occasionally.,-26.627290725708008
296,DU,7293,Her coach is Csaba Kuttor.,-27.699840545654297
297,DU,13786,"They both live in Los Angeles, California:",-23.15103530883789
298,DU,10191,he received his release in the following September.,-14.61305046081543
299,DU,4673,"I was like, “What the fuck?",-30.58301544189453
300,DU,4905,Joasaph was born in Thrace.,-4.6413421630859375
301,DU,13782,"It was entitled ""The Sacred Warr.",-40.95125198364258
302,DU,6940,The tower has a high pyramidal roof.,-6.524460315704346
303,DU,3570,Boman is married and has three children.,-13.013239860534668
304,DU,8541,Both are adaptations of plays by William Shakespeare.,-4.034893035888672
305,DU,11999,"Barnett hailed the ""Aquilon"";",-35.377113342285156
306,CF,684,all other words are reduced to low tone.,-19.4724178314209
307,CF,9688,The actual director is Arnaud Palu.,-34.36002731323242
308,CF,7024,The river has strong currents and no traffic.,-18.448829650878906
309,CF,11520,She will receive income from future TV commercials.,-17.598630905151367
310,CF,8628,He then lived as a translator and educator.,-24.590673446655273
311,CF,3564,Bones does this on Angela's advice.,-26.41374969482422
312,CF,4623,there are no existing copies of the film.,-12.313007354736328
313,CF,12621,The NFL had only four game officials in ;,-28.248104095458984
314,CF,12524,It connected Trenton to areas to its southeast.,-31.087482452392578
315,CF,1294,The reaction is named after Karl Kindler.,-17.116962432861328
316,CF,588,"We will go to the winning side.""",-29.72947120666504
317,CF,3429,His parents were elite track and field athletes.,-9.758321762084961
318,BJ,12072,Brunswick's first English settler was Capt.,-25.178035736083984
319,BJ,11355,In 2010 Walsh announced he filed for divorce.,-12.084306716918945
320,BJ,12849,Fruit liquors are produced and consumed here.,-17.945280075073242
321,BJ,12428,"18, its only week on the chart.",-13.295031547546387
322,BM,2445,Bear married novelist Scott Lynch in October 2016.,-39.88410949707031
323,BM,6303,"To the south lies Uttar Pradesh, India;",-7.065251350402832
324,BM,5428,He was defeated in the election of 1882.,-17.24443244934082
325,BM,6054,Taylor entered training camp slated as the No.,-18.429290771484375
326,BM,11603,The film was a box-office hit.,-4.603818893432617
327,BM,6622,The Madeira firecrest is monogamous.,-16.82146644592285
328,BM,12577,Important events during annual Rathotsava are,-34.538578033447266
329,BN,12886,Jordan was also cited with underage drinking.,-27.554492950439453
330,BN,5504,Municipal Council  Mayor of Valenciennes :,-19.731508255004883
331,BN,4197,It was amended by Executive Order 13355:,-31.878000259399414
332,BN,3752,"Essentially, the upgrades increased maximum takeoff weight.",-22.445755004882812
333,BN,2961,The 2015 list was divided into nine categories;,-20.839075088500977
334,BN,10028,Two riders on horseback casually approach one another;,-18.24686622619629
335,BN,679,Brookfield Properties owns and operates the centre.,-17.969802856445312
336,DS,5633,"Reflecting on the season, Jin observed: """,-38.64963150024414
337,DS,4041,"He surprised you, surprised all critics.""",-38.639427185058594
338,DS,11074,"They are taking care of their place.""",-24.32828712463379
339,DS,6156,The Religious Sciences Section was added in 1886.,-33.934486389160156
340,DS,5894,"It all came really quickly after that.""",-25.566757202148438
341,DS,7881,"head, heart, hands, and health.",-28.722122192382812
342,DS,357,It was hinted that he had committed suicide.,-8.346309661865234
343,DS,10306,Brigadier Hugh Bellamy died on 27 November 1972.,-36.57692337036133
344,DS,1416,"Mickey Wright won the most tournaments, 13.",-25.71337890625
345,DS,6747,"Rimland died on October 12, 2017.",-28.861948013305664
346,DS,7135,"This species occurs in numerous locations, including:",-12.820781707763672
347,DS,13282,A typical performance lasts for about 19 minutes.,-7.443467140197754
348,DP,4781,"How did you know I was here?""",-16.371723175048828
349,DP,11039,The wettest month in Hyderabad is July.,-11.594621658325195
350,DP,971,Each gun was constructed of steel and weighed .,-25.875205993652344
351,DP,838,He has left Vijaya pictures in 1955.,-33.12687683105469
352,DP,11788,They could reach on the surface and underwater.,-29.840091705322266
353,DP,3429,The park was designated on 9 November 1983.,-28.68029022216797
354,DP,11870,"Pérez was born in Ponce, Puerto Rico.",-3.8965508937835693
355,DP,12210,They arrived in nearby Botany Bay in 1770.,-32.33945083618164
356,BW,5062,"He was running 20th, one lap down.",-21.026168823242188
357,BW,3063,"Dear sweet Leota, beloved by all.",-21.939172744750977
358,BW,7640,The station has off-street parking available.,-5.90980339050293
359,BW,11058,The Games Workshop version of the game includes:,-18.472152709960938
360,BW,6809,"The 1972 live album ""Slade Alive!""",-22.100669860839844
361,BW,1806,"Didacus Colladus""; *",-57.675270080566406
362,BW,8836,Reba escapes just before the house explodes.,-15.52726936340332
363,BW,8703,Fossils have been discovered in Spitsbergen.,-8.325716972351074
364,BW,838,Thus in each case monotonicity holds.,-8.601515769958496
365,BW,530,Richard M. Daley retired in 2011.,-22.49172592163086
366,BW,1929,PeopleCode supports the following types of functions:,-30.817928314208984
367,DK,9176,He was the 13th safety selected in 2010.,-24.79468536376953
368,DK,1686,Many of these maps were advisory in nature:,-36.16864776611328
369,DK,4725,It is the original number of SR 380.,-39.48789978027344
370,DK,2787,She scored three goals and provided two assists.,-8.142255783081055
371,DK,7579,Russian Premier League teams started at this stage.,-18.008808135986328
372,DK,2909,Coordinate the academic activities on teacher education. -,-38.602413177490234
373,DK,3615,"Melinda, Firekeeper, and Grateful Peace.",-48.686134338378906
374,DK,13280,It is two stories and built of limestone.,-4.818629264831543
375,EN,9727,The surviving ships were disposed of in 1923.,-20.764404296875
376,EN,4483,Buich played for the Eastern Illinois Panthers.,-28.379322052001953
377,EN,11103,It is 78.5  km in diameter.,-15.944009780883789
378,EN,8633,It is found in China (Sichuan).,-0.8890854716300964
379,EN,15227,He relinquished his hotel licence in December 1851;,-27.987545013427734
380,EN,6035,It was described by George Hampson in 1913.,-3.092141628265381
381,EN,8836,"Boychuk died on February 18, 2018.",-22.2086181640625
382,EN,12145,It was acquired by Magnolia and Participant Media.,-27.729080200195312
383,EN,11748,"A year later, she started modelling work.",-12.527233123779297
384,EN,6457,It was described by George Hampson in 1917.,-2.9718291759490967
385,EN,9275,He was the son of a farmers family.,-7.413870811462402
386,EN,3777,It is part of the Bahadurpura constituency.,-18.999652862548828
387,EN,1026,It was described by George Hampson in 1898.,-4.530760765075684
388,EN,3132,Passing years changed the appearance of the building.,-15.939547538757324
389,EN,58,The soundtrack was provided by Louis Febre.,-25.861587524414062
390,CA,4956,He made three Pro Bowls with the Eagles.,-7.5632734298706055
391,CA,5573,"Lotz was born in Oakland, California.",-7.331050872802734
392,CA,9556,That same year he was made a baronet.,-6.129903793334961
393,CA,11743,The city is known for its coffee exports.,-10.55546760559082
394,CA,2263,Quill Corporation is an office supply retailer.,-23.56952667236328
395,CA,10715,Some of his still lifes include insects.,-15.471100807189941
396,CA,3732,"his list includes ""Black Mirror""; """,-36.976585388183594
397,CA,4714,He also used the relief-line technique.,-20.897537231445312
398,CA,7933,An Excerpt from the will of Mary Cummings:,-36.57657241821289
399,CA,6974,The film was directed by Robert Altman.,-0.7488837242126465
400,CA,1228,"He died in Homburg, Germany.",-0.5080960392951965
401,AU,6838,The inspections were not performed for three decades.,-23.08761978149414
402,AU,11608,He lived there until his death in 1907.,-12.496930122375488
403,AU,7608,The entire route had been paved by 1935.,-17.673385620117188
404,AU,8050,"the second verse, the Kingdom of Heaven.",-21.987550735473633
405,AU,10420,Posterior vaginal wall is rare complication.,-23.0643310546875
406,AU,7600,The concept of an integral element is different.,-16.473098754882812
407,AU,2475,New Zealand Cricket involves the following domestic teams:,-19.15403175354004
408,AU,1450,"The EP included the songs ""Stop!""",-14.835454940795898
409,CO,1793,CuculiformesFamily:,-46.62615966796875
410,CO,606,It favors sandy flats and seagrass beds.,-15.395645141601562
411,CO,7606,and to operate the mouse cursor.,-17.365211486816406
412,CO,2109,A lung biopsy may also be indicated.,-9.664474487304688
413,CO,10794,"Shelly Glover  James Bezan, incumbent MP.",-54.45994186401367
414,CO,5504,"Since 2013, the eight international regions are:",-26.480426788330078
415,CO,11599,He was initially given the number 10 shirt.,-8.264265060424805
416,CO,4282,The park also have a children play area.,-14.199373245239258
417,BH,11203,camels are especially susceptible to these effects.,-13.1468505859375
418,BH,2583,"In 2010, the average was also 1858.",-40.55469512939453
419,BH,3371,8s ever to have played the game.,-32.68878173828125
420,BH,12159,Visual Science were hired to make the game.,-31.16077423095703
421,BH,2245,The fastest route to Meridian was through Philadelphia.,-29.394176483154297
422,BH,3986,A typical C&TSRR train includes:,-35.12186050415039
423,EK,7900,"It was released on December 12, 1992.",-19.68814468383789
424,EK,13162,It was released on DVD in October 2011.,-9.335301399230957
425,EK,13450,The former track is now a residential area.,-10.711841583251953
