sample_id,sent_id,sentence,prob_1
68,1538247,"The tournament was contested in Romanshorn, Switzerland.",-16.873119354248047
69,871180,It lies on the west side of Lake Manitoba.,-9.71038818359375
70,946276,It is in the Weimar tradition of Enlightenment films.,-27.637331008911133
71,203713,Kamui uses a Nova Grappler deck.,-35.76326370239258
72,1173951,He was educated at the Collège de Juilly.,-18.6481876373291
73,1002183,The larvae are pale green with multiple white dots.,-22.650930404663086
75,236293,The nearest primary school is in Boynewood.,-14.607658386230469
76,1546996,The Advanced Mathematics in NPEE includes many editions.,-58.44664764404297
78,1436889,"Along the coast was the ""red zone"".",-15.706536293029785
79,1538467,He played for the one season with the team.,-16.40506935119629
80,1622252,He has won the title thrice at Mumbai.,-14.058093070983887
81,500577,In 2007 Whitney hosted 'Last Chance Learners'.,-41.79855728149414
82,409143,In total there are 59 lifts serving the resort.,-23.367938995361328
83,1487174,The climbs were ranked in first and second categories.,-19.010639190673828
84,790667,Camps received the 2015 Catalan of the Year Award.,-30.381011962890625
85,1367427,Ali Marpet's mother is Joy Rose.,-44.2984619140625
86,456715,In 1961 the battalion was expanded to a regiment.,-15.683452606201172
87,793819,The video was produced in a low-budget.,-14.221680641174316
88,663561,"The Southern Delegates are vastly fond of him.""",-41.704959869384766
89,511475,It is known from the Federal District of Brazil.,-1.4469372034072876
90,112359,It was also released on 8 July in Mexico.,-12.795831680297852
91,1106494,Non-family members with shares included Maurice J.,-31.190261840820312
92,358655,Backing vocals were by David Glen Eisley.,-20.609569549560547
94,612444,He sent Zhang Cheng to meet Cao Cao instead.,-16.529338836669922
95,796589,He was then dismissed and went into early retirement.,-9.805458068847656
96,1710119,The whole is a masterpiece of stereotomy.,-20.607219696044922
97,496873,"They split into two halves, each one seeded.",-20.105499267578125
98,1327414,Thus the majestic nickname is also a humorous one.,-33.458770751953125
99,120550,He founded the Mitsuaki Corporation in 1946.,-31.914846420288086
100,1208647,He was Vice President of the College Student Council.,-11.542415618896484
101,567064,Among the three she had the best overall grades.,-29.733943939208984
102,1604035,Restrooms and a gift shop are located here.,-4.448111534118652
104,1825331,"In the NBA, Palmer wore uniform number 12.",-23.129257202148438
105,1488376,Four face sizes are used for the various distances.,-37.54112243652344
107,837534,All versions displayed the blade facing to the left.,-28.046533584594727
108,124749,He finished that event in just over four hours.,-21.347232818603516
109,10099,"The second episode aired on July 1, 2008.",-19.067928314208984
110,763430,The firm manufactured motorcycles from 1960 through to 1975.,-25.80690574645996
111,1315600,The body whorl is shorter than the spire.,-3.756765365600586
112,579657,Buchanan represents Australia in BMX and mountain biking.,-11.968478202819824
113,212271,The German school association opened on 12 November 1932.,-46.061058044433594
114,576266,In 1943 he married Mary Campbell Macgregor.,-15.576239585876465
116,78962,The altar is now kept in the National Museum.,-13.817330360412598
117,849408,The vote to become a city was tried twice.,-28.031898498535156
118,591768,Its International Tartan Index number is 662.,-33.98781204223633
119,336295,The flash lock operated between 1892 and the 1960s.,-26.15658187866211
120,594348,Plant hormones are used to initiate callus growth.,-15.648042678833008
121,41431,"As a student, he draws caricatures.",-13.870688438415527
122,1805500,37.9% of eligible voters have voted.,-13.734856605529785
123,74750,"Wounded he returned to England, marrying in 1844.",-41.90831756591797
124,1705742,He had managed the stagecoach station in North Powder.,-38.03528594970703
125,1098334,The Liberal-Country Coalition was defending four seats.,-9.040090560913086
126,622092,13 species of Catfish species found throughout this river.,-47.48870849609375
127,1182661,This is done mainly through interaction with other actors.,-12.414209365844727
128,1581405,He was also chairman of the Saskatchewan Cancer Commission.,-20.44847869873047
129,1780130,A small chapel was built subsequently to commemorate him.,-13.798041343688965
130,1274788,Karadžić was found not to be immune.,-10.886836051940918
131,1621245,"She also has a son, Benjamin Lipson.",-16.696773529052734
132,1469938,The ad hoc nature of the game was controversial.,-8.16698169708252
133,1516431,The community was incorporated into a borough in 1905.,-28.043987274169922
134,449670,Protective walls were built around the place of residence.,-10.795510292053223
135,511052,Matthew Ramón Barela is an American professional wrestler.,-32.051170349121094
136,1642160,He also supported equal suffrage for men and women.,-7.088104724884033
137,75205,Credits adapted from the album's liner notes.,-0.125395730137825
138,1618163,Machines with multiple gantries can achieve faster speed.,-15.207695007324219
139,693338,They live mainly in the Mwanza city area.,-9.744377136230469
140,1710687,"Initially, Church leaders avoided the topic of slavery.",-16.54962921142578
141,401448,Méliès appears in the film as the priest.,-16.92694854736328
142,1527540,The Director of Science is Professor Alexandre Antonelli.,-21.41314125061035
145,1188047,It was agreed that they would remain in 1.,-26.52206039428711
146,1677047,"Wilf said: ""My eyes were bulging.""",-25.22604751586914
147,76607,There are five main elements of the underlying theory.,-17.108354568481445
149,656652,This geological layer is part of the evolutionary chain.,-23.464435577392578
150,1147318,The hindwings are uniform white with a brown border.,-12.68594741821289
151,1416376,He was born in Lahore on 3 January 1940.,-21.048076629638672
152,1588787,His style ranges from abstract expressionism to figurative.,-7.486182689666748
153,1584441,A&E was transferred on 19 May 2014.,-30.537609100341797
154,616392,The race started and finished in Harelbeke.,-0.2532387375831604
155,129361,The name was dropped soon after the English conquered.,-22.942970275878906
156,1222754,He liked singing in the church as a kid.,-14.086116790771484
157,36188,She failed to qualify to 2010 and 2014 Olympics.,-10.805988311767578
158,1226843,Recessed into the far wall is a stage.,-16.75072479248047
159,795702,"""This article incorporates text translated from French Wikipedia""",-42.670536041259766
160,1627067,No Sunday passenger service ever ran over the line.,-14.1301851272583
161,1039,"Apart from teaching, he used to write poems.",-13.017936706542969
162,155879,The median area is pale yellow or cream white.,-15.780717849731445
164,730279,ARCHS currently supports 45 after-school locations.,-42.158145904541016
165,1161063,The almond is native to Iran and surrounding countries.,-26.636850357055664
166,861249,Many of the illustrations were engraved by William Blake.,-12.559720993041992
167,360437,The civil parish includes the district of Park Farm.,-29.593393325805664
168,57155,This included the New Zealand leg of the tour.,-8.407200813293457
169,668802,Perfect after both were drafted to the Raw brand.,-37.02827835083008
170,252930,It was described by Stephan von Breuning in 1954.,-3.789370059967041
171,1805061,These quarterbacks have started for the Oregon Ducks.,-20.734251022338867
172,1161375,"""On Providence"" survives in two Arabic versions.",-37.27408981323242
173,228999,She won't mind stepping up in trip.,-45.93402099609375
174,1695207,The ARA array had five stations as of 2018.,-42.13738250732422
175,1205432,As of 2019 the website hosted over 200 biographies.,-32.62702560424805
176,55518,He was a longtime marathon runner in his youth.,-10.341477394104004
177,90073,Cromwell was now made general of the entire army.,-28.18990707397461
178,1727930,Bridge's enthusiasms were many and varied.,-23.69106674194336
179,1695774,Jon then doesn't want to play anymore.,-23.534942626953125
180,1346002,Dolly Varden are found in three distinct forms.,-23.270030975341797
181,1291292,Then-Chairman Alan Greenspan disputes this interpretation.,-12.40742301940918
182,615813,It is activated in response to amino acid starvation.,-9.635220527648926
183,54754,He moved from Sussex to Hampshire in this time.,-17.379968643188477
184,887403,Eventually they settled in the United States and Paris.,-13.151880264282227
185,1490727,Vinnie Van Go-Go or OASTEM!,-68.74452209472656
186,1512749,"The town was first called ""Cecilius"".",-24.090755462646484
187,1268743,"O Canada, We stand on guard for thee.",-29.567014694213867
188,874107,Fitzsimons describes a detailed itinerary.,-10.507822036743164
189,680616,There is one Theological College in Matupi.,-21.998435974121094
190,491644,President Calderon was a part of the PAN party.,-25.818248748779297
191,1229228,"""I’m hoping that honesty will translate.""",-64.05713653564453
192,541372,These experiences helped him develop his own extraordinary style.,-17.778621673583984
193,57980,This often leads to harmful impact on the host.,-19.05282211303711
195,773371,The resulting succession battle caused the federation to collapse.,-24.6494140625
196,673567,The CCP would await input from the user.,-25.544710159301758
197,36490,Mosaad () is an Egyptian surname.,-25.867353439331055
198,1024774,One of the Catalinas then crashed in 1962.,-28.2017879486084
200,1175028,Traffic increased rapidly in the first years SAS operated.,-25.048852920532227
201,1487422,"In her career, she made over 60 films.",-8.281661987304688
202,1377273,"Milton Township, Ohio may refer to several places:",-25.241065979003906
203,1666777,Some laws allowed the civil government to employ punishment.,-39.120460510253906
204,992099,They marry but face problems due to his mother.,-17.307720184326172
205,1076450,"""That's the end of my story.""",-11.85128402709961
206,1280203,Sibi Railway Station is a junction railway station.,-14.632777214050293
207,262587,His involvement in the project was approximately five years.,-16.36920738220215
208,362176,The fuel economy was 6.5 mpg.,-8.441783905029297
209,247808,They calmly burn entire planets if they show resistance.,-34.35187911987305
210,192243,From these primary colors are obtained the secondary colors.,-10.550691604614258
211,1511527,He won the Nobel Prize for Economics in 2017.,-17.600341796875
212,1043659,"McCarthy was born and raised in Glasgow, Scotland.",-8.627632141113281
213,362679,In 1930 he worked at the Nanjing Aeronautics Department.,-25.70701789855957
214,434537,On 21 September 1815 it became a British protectorate.,-16.386964797973633
215,367387,Houser signed to Universal South Records in 2008.,-36.25220489501953
217,754116,Staten Island Light serves as the rearrange.,-27.70063591003418
218,951186,He also played rugby for Oxford University and Barbarians.,-7.563261032104492
219,927964,"On 12 June 1912, he died in Paris.",-13.474428176879883
220,1641799,The quarry was in operation from 1863 to 1868.,-24.40432357788086
221,77347,"""Forever Becoming"" personnel according to liner notes.",-20.837732315063477
222,1660499,Drabble left the restaurant later that year.,-12.998002052307129
223,1416326,This is a list of newspapers in American Samoa.,-4.9327850341796875
224,503593,Following land reforms land ownership pattern has undergone transformation.,-8.894070625305176
225,226187,Eternity is the third studio album by Tina Guo.,-29.478641510009766
226,675698,"This is termed a ""blastic process"".",-25.450326919555664
227,948760,Its type strain is ATCC 700397.,-15.598362922668457
228,1202352,"Sailor was born in Brisbane, Queensland, Australia.",-11.399421691894531
229,780981,All but 10 of the 114 defendants were acquitted.,-11.014505386352539
230,246666,The show was seen weekends on Retro Television Network.,-22.17919921875
231,1237820,Mary Ann Goodnight taught children in the bunkhouse.,-27.8250675201416
232,406112,The production of Latvian euros began in July 2013.,-40.59741973876953
233,1176423,The province has been inhabited since the Stone Age.,-11.816061973571777
234,1648999,Eisenhower's chair sold for £480.,-24.516010284423828
235,407049,She wastes no time punishing the informant.,-21.251293182373047
236,1425254,Her parents emigrated to England to escape the Nazis.,-10.040226936340332
237,888986,The school was affiliated with the Assemblies of God.,-9.27641487121582
238,852212,The population was 939 at the 2010 census.,-7.802995681762695
239,84219,"The DVD release was on July 7, 2015.",-18.71562385559082
240,1291993,The incumbent president is Academician M.I.,-20.265090942382812
241,781198,World Publications was renamed Bonnier Corporation in 2007.,-40.03321075439453
242,1644375,It supplements its diet with occasional insects and fruit.,-11.840860366821289
243,1447275,It was a relative of the extant bush dog.,-25.033843994140625
244,160408,Whelan was born in Airdrie.,-0.05657920241355896
245,1156137,Vishnu decides to help them and be their choreographer.,-32.22728729248047
246,536374,Rule #2 Each column must contain different numbers.,-21.653043746948242
247,1798975,He runs away from prison to avenge his mother.,-15.178523063659668
248,543816,He received a PhD from the University of Boston.,-12.535374641418457
249,1136033,The film has musical score by Jaya Vijaya.,-13.842565536499023
250,999738,"Lansing, another early settler, arrived in 1792.",-34.31475067138672
251,666739,A Canadian wing commander then became a lieutenant colonel.,-22.918514251708984
252,1779873,Moyles Court is now Moyles Court School.,-6.585177898406982
254,214203,It has Baongla Georges Gilbert as President.,-56.49353790283203
255,1424904,"In 1988, he earned a B.A.",-8.633111000061035
256,216478,"The tour will kick off at Jamestown, NC.",-19.417482376098633
257,1782766,The wingspan is 8.5–10 mm.,-35.51530075073242
259,269894,The bargemen would pay to use the stables.,-29.77708625793457
260,202581,"Portrayed by Michael de Mesa, the main antagonist.",-15.416210174560547
261,1275846,The Social Democrats were heavily weakened by corruption scandals.,-16.168617248535156
262,493521,They were stoned to death in their sleep.,-3.7611260414123535
263,1070862,She declares that love will pass the Queen by.,-29.736942291259766
264,782645,"Did he stick to everything, or just walls?",-27.764366149902344
266,815990,During this period Torquay also encountered political developments.,-24.204334259033203
267,286930,Bach first performed the cantata on 24 September 1724.,-17.47247886657715
269,1111863,Replication follows the positive stranded RNA virus replication model.,-0.46512168645858765
271,184034,Sweetland however did return for the 1919 season.,-16.992340087890625
272,259397,The house is named after a village in England.,-14.631073951721191
273,14158,Three further species were later transferred to this genus.,-10.306217193603516
274,81735,"In 2000, the group opened the Strand Hotel.",-17.380599975585938
275,193536,The production was directed by Moni Yakim.,-26.612239837646484
276,1789879,Includes a discussion of her techniques and early influences.,-26.912620544433594
277,577528,Nearly all of the buildings had sod roofs.,-11.060710906982422
278,536608,Hume was no theorist of an unwritten constitution.,-33.50007247924805
279,596578,The MSP is headed by Colonel Christopher Mason.,-25.099782943725586
280,248614,Antiochus III captured Patara in 196 BC.,-21.061063766479492
281,452986,The Olympic Selection Time is 25.51 seconds.,-28.52433204650879
282,908617,"In June 2016, Shay Banks-Young died.",-30.17503547668457
283,1241736,Moran often broke with his party on economic issues.,-29.2679443359375
285,281334,In 1963 he repeatedly acted as C.J.,-31.886632919311523
286,855491,The city of Duluth sold the depot in 2012.,-31.99520492553711
287,919905,Arkansas completed its first ever free public school system.,-24.114343643188477
288,1615734,"They call their music ""saltwater style"".",-11.737991333007812
290,829839,The broadcast was titled Spice Girls In Concert Wild!,-42.61017608642578
291,901013,The Augustinian Rule was adopted in 1429.,-21.81005096435547
293,1752852,His term in parliament ended on 6 January 2017.,-16.313220977783203
294,101019,He is interred in the Woodland Cemetery and Arboretum.,-15.602681159973145
295,15768,Gary was not drafted during the 2014 NFL Draft.,-21.033123016357422
296,1073271,A petition has been launched to reverse this ruling.,-13.957557678222656
297,1826860,Three such manifolds are shown in the picture.,-17.092872619628906
298,300074,"This change became official on June 1, 1792.",-33.731258392333984
300,772218,"""Entertainment Weekly"" gave the game an A.",-4.943005561828613
301,241782,The line opened to traffic on 2 August 1880.,-25.139299392700195
302,1774484,The village has one inn called The Elm Tree.,-22.013389587402344
303,73203,There are a lot of myths regarding its origin.,-14.314716339111328
304,427420,Playnet filed for Chapter 11 bankruptcy in 1998.,-29.51201057434082
305,679254,Livorno was usually called Leghorn in English.,-20.503040313720703
307,781016,The official model number of the instrument is 336.,-25.23013687133789
308,50937,Chailly now has the title of Conductor Laureate.,-19.682878494262695
309,639757,It is found in Central America and North America.,-0.006978470366448164
310,582141,This is confirmed by an inscription engraved on it.,-8.262655258178711
311,1519788,The population was 598 at the 2000 census.,-7.952465534210205
312,1772251,The series was picked up internationally by Cartoon Network.,-4.347196578979492
313,552373,Production took four years and was financed by individuals.,-17.857101440429688
314,666023,Another variation of foot braking is a sit braking.,-32.16817092895508
315,253583,It was White's first appearance in England.,-18.161724090576172
316,173449,This process puts the credentials in an environment variable.,-34.10316848754883
317,964589,The official colors of Kraków are white and blue.,-11.779709815979004
318,23276,"Experimental definitive hosts are: mice, and dogs.",-36.40939712524414
319,813491,It features a musical score by Bruce Cockburn.,-4.324813365936279
320,1220706,St. Joseph's began play in 1973.,-25.58382797241211
321,1679235,"The result, however, was more than this.",-14.079456329345703
322,1776177,"Gnatt was born in Baden, Austria.",-21.87841796875
323,1601175,The station has one island platform serving two tracks.,-2.279191493988037
325,240570,The new version was available only with five doors.,-19.43718147277832
326,554332,"Government House was designed for 5,500 people.",-19.71595573425293
327,1248727,Education up to grade 9 is mandatory in Latvia.,-13.402048110961914
328,450268,(1) He died on 21 August 1942.,-17.319490432739258
329,1823788,The city is planted with over 50 different species.,-20.67428970336914
330,932629,His chorus identity is sometimes named Quaxo.,-53.03567123413086
331,1565169,The Dodgers concluded the home stand on April 18.,-50.95013427734375
332,984728,Ambiguous wage agreements led to many of these disputes.,-22.06945037841797
333,501107,The series was casual and irreverent.,-21.38062286376953
334,119918,This represented an enormous threat to air defense operations.,-19.380943298339844
335,1691139,They are a member government of the tribal council.,-15.681373596191406
336,802510,"Ott was born in Titusville, Pennsylvania.",-12.639742851257324
337,1797774,"Conversely, sun avoidance is associated with increased mortality.",-27.383773803710938
338,1725997,Addis was shot by the thief and died.,-23.835702896118164
339,1442818,"Gray was born and raised in Philadelphia, Pennsylvania.",-7.318221092224121
340,1018176,Evans eventually dies and is buried under the snow.,-20.199426651000977
341,1653877,The eyelight fish has little interaction with humans.,-31.85523796081543
342,1613864,It was described by Giesbert in 1998.,-1.8024263381958008
343,1354855,Through traffic should use SR 138 and SR 18.,-29.899456024169922
345,1311765,He served as Chief Judge from 1973 to 1981.,-21.827899932861328
346,386559,"The small town in question is Quincy, Washington.",-22.454374313354492
347,1521672,The population was 714 at the 2010 census.,-6.494202613830566
348,509394,A new government was formed on 17 January 2011.,-23.099533081054688
349,250517,Remains include a rectangular concrete pad with metal framing.,-29.482906341552734
350,1231466,The hindwings are pale slaty-grey.,-2.728266716003418
351,1676185,Nobles and wealthy freemen would have had swords.,-26.64813804626465
352,1722682,The municipality had 18 primary classes and 309 students.,-12.846248626708984
353,782288,In the time trial she finished disappointingly seventh.,-9.112420082092285
355,643799,Here she worked as the Director for VIP clients.,-33.00344467163086
356,1364982,Basai Dhankot railway station is away.,-32.745506286621094
357,272074,"""They didn't take cover or dodge"".",-39.15674591064453
358,1396548,She worked on behalf of Jewish and Basque refugees.,-17.591093063354492
359,1181625,Shabari was a woman from a tribal village.,-25.480253219604492
361,8084,These became quite popular and generated thousands of responses.,-19.03101348876953
362,609018,The advance began on 15 October 2017.,-65.75868225097656
363,630208,They are known for their skill at basketry.,-13.040535926818848
364,1211013,Marotti was reunited with Meyer during this stint.,-33.04933166503906
365,1682307,The main shaft was built using climbing formwork.,-30.16728973388672
366,1221172,The association carried out more than 5700 projects.,-18.576520919799805
367,136051,The president appoints the members of the Cabinet.,-4.518251419067383
369,968965,He was a French international from 2004 until 2012.,-23.179365158081055
370,1085784,This was her first title on clay since 2005.,-18.041072845458984
371,4368,"The game was released on October 6, 2009.",-19.527433395385742
372,2115,The consumption of primary energy can be reduced seriously.,-29.0389404296875
373,568008,At least three people were killed and dozens injured.,-7.127542018890381
374,1355811,Portions of the show were filmed at the resort.,-9.415696144104004
375,1386970,There were a total number of sixteen participating athletes.,-8.196235656738281
376,505859,Testing of the MiG-15 lasted 11 days.,-14.53214168548584
377,870140,It had a population of around 780 in 2017.,-12.747635841369629
378,822557,Inso Corporation later developed Quick View Plus products.,-54.6441535949707
379,1151157,The Glenn Shale is a geologic formation in Alaska.,-16.33567237854004
380,1657555,The bright white calypteres stand out.,-24.439882278442383
381,1800388,Twenty-five species have been recorded in Washington.,-15.78414535522461
383,904045,Services provide employment for 5% of the population.,-3.8209359645843506
384,1043035,He used to participate in mushairas.,-15.41070556640625
385,850633,The population was 584 at the 2000 census.,-7.4011311531066895
386,914783,Staines has been active in the Libertarian Alliance.,-20.519861221313477
387,160513,The local planning authority is Three Rivers District Council.,-5.662071704864502
388,1326496,"The system will ""learn"" year by year.",-17.434123992919922
389,409104,After the battle Hoditz withdrew towards Lublin.,-19.900177001953125
390,1381106,Mainstream Seventh-day Adventists denounced the advertisements.,-18.396076202392578
391,32246,Besaril was born in Savaneta.,-33.78288269042969
392,1064182,He had a fatal accident during a demo flight.,-15.972518920898438
393,459245,Millar attended high school at Woodstock Collegiate Institute.,-10.878656387329102
394,1086497,The United States and Ireland have denied these allegations.,-13.094682693481445
395,779259,"After 1933, Karl Mayr emigrated to France.",-22.776580810546875
396,1214610,Her mother helped found the Elman Peace Center.,-25.40776252746582
397,1483864,This reconciliation with Charles was due to private agreement.,-27.01601791381836
398,567668,There were 1020 women for every 1000 men.,-8.259804725646973
400,385014,Today Bouck's island is still inhabited.,-18.95663833618164
401,772007,"Barrett died in 2006, and Wright in 2008.",-28.61404800415039
402,1674530,"He lived in Charlottesville, Virginia, US.",-4.72785758972168
404,1268428,"I mean they, had a tough decision.""",-39.401123046875
405,1249169,It is affiliated to Vidyasagar University.,-0.32520607113838196
406,233001,In January 1989 the population was 5303 people.,-27.437034606933594
407,1502991,His next publications with Epling followed in 1942.,-50.998680114746094
408,395323,She is a 2011 recipient of the Alex Awards.,-21.501718521118164
409,514331,He is Second in Rank in the Episcopal Dignity.,-28.2143497467041
410,296583,"""We are going to talk about something else.""",-11.274428367614746
412,1102711,The house was extended again in 1932–33.,-65.72854614257812
414,100044,The couple married by proxy on 15 April 1819.,-27.85035514831543
415,1714687,The following were selected in the 1989 NFL Draft.,-7.568111896514893
416,1742306,The station was later owned by Michael Corley.,-21.358810424804688
417,1506094,The upstream piers all have stone cutwaters.,-28.148530960083008
419,770919,It featured thirteen high circular arches and massive windows.,-30.706653594970703
420,59473,He was waived from injured reserve on September 24.,-13.237730026245117
421,700001,"Katz was born in Jersey City, New Jersey.",-8.262421607971191
422,1483280,"Among test cases, we need to establish priorities.",-27.71748161315918
423,1032380,It's time to get another record out.,-21.77086639404297
424,784776,The song uses a modified drop-B tuning.,-21.483394622802734
425,1306459,The work is composed in traditional three movement form.,-13.647073745727539
426,316024,Eventually she would become the chair of the board.,-6.216025352478027
428,817036,The Tobacco Workers International Union was founded in 1895.,-26.011037826538086
429,1779712,Koester also lived in the residential space above.,-25.68181800842285
430,703535,Sugarcane was originally from tropical South and Southeast Asia.,-29.595849990844727
432,1547993,Desloge began to focus on lead mining.,-22.234962463378906
433,1499431,It has two layout modes—classic and newspaper.,-65.05059051513672
434,1182318,"Currently, she resides in West Hollywood, California.",-5.375306129455566
435,656522,This system closely resembles the French Armed forces model.,-15.381423950195312
436,1378651,This road connects Mount Road to Turn Bulls Signal.,-65.49053955078125
437,364402,He throws a cushion and chases off other guests.,-33.84431076049805
438,1640660,Imhasly died 17 June 2017 from cancer.,-48.88721466064453
439,782396,"Lynn Toler was born in Columbus, Ohio.",-16.942575454711914
440,1667336,The regiment remained this way until World War II.,-9.111006736755371
441,431439,They originated in Bolan district Balochistan.,-24.498428344726562
443,1269157,Transient nausea and vomiting are also common side effects.,-10.812555313110352
444,1203900,The principal center of tourism is Plyos.,-30.54167938232422
445,812952,See time domain: origin of term for details.,-32.29105758666992
446,1520457,These homesteads were settled predominantly by Polish immigrants.,-17.25283432006836
447,677766,Numerous arches were built elsewhere in the Roman Empire.,-20.129337310791016
448,789581,It was published by L'Harmattan.,-1.307511329650879
449,1317894,"Ecolo is defeated, and everyone returns home.",-22.606586456298828
450,1745169,"At home, however, things went less well.",-11.61376953125
451,658789,After 1826 neither house of the federal Congress met.,-22.188579559326172
452,426702,From Apr 17 To Sep 18 Mobilization Asst.,-33.25886535644531
453,401083,Scrivener labelled it as 749.,-19.810665130615234
454,631628,Students learn American sign language basics beginning in kindergarten.,-12.374690055847168
455,1779031,He was granted the MB BCh in 1987.,-29.355587005615234
456,768287,It is alleged that it was filled with rifles.,-24.734901428222656
457,322085,It was described by Henry Walter Bates in 1885.,-2.3533267974853516
458,806090,Ruggles' reviews are characteristically brash.,-7.729367256164551
459,1490031,He died in Nottingham three years later aged 51.,-17.5155029296875
460,802008,The Sultan returned to Kano after one month.,-16.882192611694336
461,204256,"RAE Systems is located in San Jose, California.",-21.495752334594727
462,950532,"However the decree was ignored, and nobody enlisted.",-29.372886657714844
463,946248,Lau is a reserve major in the Intelligence Corps.,-27.265216827392578
464,1428825,"""Saman"" won the Prince Claus Award.",-19.257282257080078
465,1762466,This cold temperature is critical for these species survival.,-26.043771743774414
466,1566797,"The licence plate reads ""OKT42"".",-26.962421417236328
467,373025,Lappi is the name for several geographical areas.,-25.015281677246094
468,586520,The route numbers generally increase moving north to south.,-39.4202995300293
469,1255048,It is a common and popular dish in Jamaica.,-10.415670394897461
470,1257059,SB1 also imposed a vehicle registration fee increase.,-27.060029983520508
472,1022994,There were over 100 cars in the final show.,-24.10492515563965
474,1441442,The Tigers were picked to finish in third place.,-10.109329223632812
475,1477316,Festival took place from July 26 to July 28.,-22.72317886352539
476,926453,Others believe that would have been against his nature.,-26.51746368408203
477,1027689,There is no requirement to amend domestic Irish legislation.,-24.306678771972656
478,386177,Country singer Charlie Rich covered the song in 1973.,-18.19141387939453
479,268809,Previously Animal Health was known as State Veterinary Service.,-33.734336853027344
480,1173289,"He died at Milton, near Dorking.",-7.543123722076416
481,1042317,"Like Robertson, Gilbert demanded discipline in his actors.",-38.42655563354492
483,1041886,There are currently six recognized species in this genus:,-15.863819122314453
