sentence,sent_length,source,sentence_num,id,step,phase,prob_class,prob,.folds
"women were called concubine ( sometimes also referred to as repentant and often also referred to as mistress ) or "" woman without goblet "" in imperial times.",long,bert,6,7_605,21209,late,high,-25.4467,14
"the most popular dialysis system, the greenway greenway ( located in new england ), initially provides dialysis free of charge ( at least in a designated area ).",long,bert,6,8_1495,52359,late,high,-32.11812,5
my fear is doing what you'll always be? to follow a repelling blade?'' i'm not here to -'' you need to go now.,long,bert,6,9_1895,66359,late,high,-56.272415,3
"xylococcus is a caterpillar ( common name fly eater ), native to australia and new zealand, in the xylococcus family ( cottidae ).",long,bert,7,1_1495,52359,late,high,-13.086291,6
"although brian kelly was co - captain as ( key ) player, kinnear previously turned out for downpatrick and following the 1975 championship, he joined downpatrick.",long,bert,7,2_1975,69159,late,high,-45.4519,14
"henrique dos santos is a brazilian - american mixed martial artist whose titles include the apw world tag team championship, tag team championship, and the smw tag team championship.",long,bert,7,3_1995,69859,late,high,-13.797964,6
"he pushed away that dark mind for a moment and made the milkshake, made sure it'd turned out to be one of the best dinners he'd had.",long,bert,7,4_1960,68634,late,high,-37.607643,15
"i wished i could open the door of the same large apartment as them, but i was still itchy and dizzy, so i shook my head and peeked out the window.",long,bert,7,5_1845,64609,late,high,-28.505854,30
"although 2 - terpene makes bismuth a heterogeneous terpene, it cannot be protonated after the donor of these compounds in karnel.",long,bert,7,6_1995,69859,late,high,-51.95176,27
haemophils include endogenous antioxidants ( leukocytes ) and extra layer heteroapplication to haemophilic g proteins.,long,bert,7,7_1465,51309,late,high,-29.668503,28
"a fading odour is the root determinant of many of the deficiencies in feed stores, what these deficiencies are ( and its countermeasures ).",long,bert,7,8_1495,52359,late,high,-39.04551,24
this profile reflects more stamen tube length than that of reservation - latiflora as compared to other non - flowering plants and species which do not have stamen tube.,long,bert,7,9_1490,52184,late,high,-46.00801,18
"tanning tools are used in automotive and consumer equipment, such as bleacher seats ( also flip flops ) and areas that are directly sun - dominated with tanning.",long,bert,8,0_795,27859,late,high,-61.58205,29
their capabilities were the furnishing and counterfeiting of high - value puerto rican family members'christmas cards as well as furnishing and counterfeiting identity documents.,long,bert,8,1_1995,69859,late,high,-31.233263,16
"adc eric charles wyspway royal air force adc eric charles wyspway ( born 1928 ), chief of air staff, royal air force volunteer reserve.",long,bert,8,2_1995,69859,late,high,-8.047278,10
"three major organisations trialled skydive training ( 1986 - 1990 ), including flying rediffusion training programs ( rfz ) and skydiver training ( intellect ).",long,bert,8,3_1995,69859,late,high,-64.69165,29
"he enjoyed short - term residencies as a speaker and a writer, lecturing regularly from 1984 onwards from whitworth hall in norwich, and from appleby grammar school.",long,bert,8,4_1485,52009,late,high,-30.233242,25
"two singles, "" if that's ( good ) me "" and "" what ( better ) than me "" were critically acclaimed in pop, rock and dance - pop markets.",long,bert,8,5_1495,52359,late,high,-25.127827,22
"the quarantine centre could be closed to prepare for the attack on tonga, where at least 40 rescue squadron aircrews & ensure the oasis aeroflot remain operational.",long,bert,8,7_1495,52359,late,high,-79.207825,24
"it had now grown to wdla call - signs, and in 2016, the wdla call signs were replaced and the station re - branded as wdla.",long,bert,8,9_1495,52359,late,high,-33.448746,4
myrta azteca ( pulchella ) is an endangered species being myrta is the holotype species of the true azteca ( myrta pulchella ).,long,bert,9,1_1925,67409,late,high,-26.754005,3
cinnabar cutaneous epithelial thrombosis is autosomal dominant and the absence of rejuvenation of fetal vestibule requires cutaneous clearance.,long,bert,9,2_1995,69859,late,high,-24.605558,13
it took 3 years to have visual ufo sightings prior to being sold for scrap to the south african government. it was completed in 1993 and was inaugurated on 5 october 1994 ;,long,bert,9,4_1955,68459,late,high,-35.207867,12
"various changes were introduced, including installing epaulettes over the county court house ( 1927 ) and the county cemetery ( 1929 ) and the pulpit replaced by yaakov pillars.",long,bert,9,5_1995,69859,late,high,-46.94999,8
""" can you wait, what exactly are your powers anyway? "" there was so much to see! we had to turn her into a shapeshifter to begin with.",long,bert,9,6_1865,65309,late,high,-29.537407,18
""" abuse cognates "" associated with such conditions are ccn - 60565, hiv / aids anesthesia, homeopathic tomography and achilles arc sheath syndrome.",long,bert,9,7_1995,69859,late,high,-71.65681,15
""" so no snickers, okay? i'd love to find out about my mom and what she was up to. "" "" what was she up to? """,long,bert,9,8_1975,69159,late,high,-9.051511,27
picking'em back up again - - or obstructing their spirits - - or hearing the word'sweet'justifies that they want to be'sweet.',long,bert,9,9_770,26984,late,high,-27.188444,30
"down by a significant score in the next day's game, nate kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10 – 2 loss.",long,bert,0,0_0,0,early,low,-94.22932,16
"down by a significant score in the next day's game, nate kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10 – 2 loss.",long,bert,0,0_0,1,early,low,-94.22932,13
"down by a single score in the next day's game, nate kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10 – 2 loss.",long,bert,0,6_0,2,early,low,-91.363556,6
"trailing by a small score in the next day's game, nate kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10 – 2 loss.",long,bert,0,3_0,4,early,low,-87.48404,11
"trailing by a total score in the next day's game, nate kellogg, the newly acquired second baseman, moved over to pitch in relief in the 10 – 2 loss.",long,bert,0,0_0,8,early,low,-90.466385,21
"trailing by a single score in the next day's game, nate kellogg, the newly acquired third baseman, moved in to pitch in relief in the 10 – game loss.",long,bert,0,1_0,16,early,low,-71.67562,27
"trailing by a single hit in the last day's game, alfred kellogg, the pitcher turned third baseman, came in to sing for a outfield 18 - game win.",long,bert,0,1_0,32,early,low,-82.15539,16
"trailing for a vital run in the previous day's game, sonny ray, the newly acquired second baseman, went on to appear in relief in a three - run win.",long,bert,0,8_1,64,early,low,-46.960976,22
"popularized by a home run in the championship game's finale, harold jackson, the giants'second baseman, stepped up to play in relief in the three - inning game.",long,bert,0,3_3,128,early,low,-40.202576,29
"inspired by the home run from the previous night's game, barry bonds, the yankees'first baseman, hit home to score five runs in the four - game series.",long,bert,0,3_7,256,early,low,-18.924154,30
"the second a home run over detroit goalie's stability by dan jackson, the seahawks'third hitting nate calhoun handled on the field and won the 10 - 2 win.",long,bert,0,8_14,512,early,low,-120.24209,26
"early in the 2002 season, on new year's day, watrous, arizona'leading third baseman, rolled around in the outfield with a seventh - inning ball.",long,bert,0,5_28,999,early,low,-38.08071,5
"if the engine has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,0_0,0,early,low,-93.2157,1
"if the engine has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,0_0,1,early,low,-93.2157,9
"if the mercury has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,6_0,2,early,low,-105.4725,3
"if the battery has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and the one may always be used for starting.",long,bert,1,2_0,4,early,low,-102.98891,4
"if the piston has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and thus one may not be used without starting.",long,bert,1,7_0,8,early,low,-90.43373,10
"although the mercury has four cylinders, most geometries for these are arranged so that all four are kept at dead centre pitch and it one may easily be used without starting.",long,bert,1,6_0,16,early,low,-110.66914,4
"where a vehicle has six cylinders, the geometries on them are closed so that the cylinders are sent at dead weight, but only five may not be closed when idle.",long,bert,1,1_0,32,early,low,-71.40115,27
"if a vehicle loads six cylinders, the geometries within each are converted so that fifteen cylinders are open at peak output, so that two will necessarily be closed after idle.",long,bert,1,1_1,64,early,low,-81.51012,21
"if an engine has multiple cylinders, the geometries of each are filled so that the cylinders are not in relative mass, and such property should not be lost when filling.",long,bert,1,2_3,128,early,low,-57.236885,9
"if the site is urban areas, the geometries and designs are adjusted so that the wells are in a natural place, and that they will not be surrounded by vegetation.",long,bert,1,3_7,256,early,low,-46.67329,25
"photoelectrical properties of the water geometries of genesis were important in how the roofs varied significantly with cost and temperature ; that is, compared to rivers or lakes.",long,bert,1,6_14,512,early,low,-62.997833,7
"ethan felt confident that odon knew what uploads were, switching to terms like "" all - the - world "" implying that the world did not take time to change.",long,bert,1,4_28,999,early,low,-59.95464,27
"the home depot division supports the product marketing, innovation, and selling of andersen branded windows and patio doors sold through the retailer's over 2, 000 locations in north america.",long,bert,2,0_0,0,early,low,-92.43299,17
"the home depot division supports the product marketing, innovation, and selling of andersen branded windows and patio doors sold through the company's over 2, 000 locations in north america.",long,bert,2,1_0,1,early,low,-86.98138,30
"the home depot division supports the product marketing, innovation, and selling of andersen branded windows and patio doors sold through the group's over 2, 000 locations in north america.",long,bert,2,4_0,2,early,low,-93.384674,24
"the home depot division supports the product marketing, innovation, and selling of andersen investment windows and patio doors sold through the company's over 2, 000 locations in north america.",long,bert,2,0_0,4,early,low,-93.14985,16
"the home depot division supports the product development, innovation, and selling of andersen employee windows and patio doors sold through the company's over 3, 000 locations in north america.",long,bert,2,9_0,8,early,low,-75.996185,7
"the home requirements division supports the retail design, procurement, and selling of metal shop windows and patio doors, operating the company's over 400, 000 locations in north america.",long,bert,2,1_0,16,early,low,-77.2493,30
"the home windows program managed the actual creation, penetration, and installation of home office windows and office windows, operating the company's over 3, 500 plants in north carolina.",long,bert,2,6_0,32,early,low,-72.38164,18
"the home repository also coordinates the proposed acquisition, repair, and rehabilitation of outdoor investment housing and build communities, at the company's nearly 1, 000 sites across north america.",long,bert,2,0_1,64,early,low,-83.94031,4
"the consumer chemicals division oversee the detailed planning, manufacture, and trade of consumer chemical chemicals and polymer products, serving the company's approximately 180, 000 customers and 900 employees.",long,bert,2,1_3,128,early,low,-53.86725,8
"this home window center provides the central growth, agility and functionality of the company by delivering home window products to the color on s 407 sponsorship 400 000 brand in north america.",long,bert,2,3_7,256,early,low,-128.4944,6
"cloudpoint would then provide integrated cloud creation, implementation, and management of cloud service servers and related hardware, employing the company's nearly 2, 400 employees in north america.",long,bert,2,0_14,512,early,low,-53.860428,28
"lk works is located in the upstate new york founded media "" center for using technology in consumerism "" representing the company's over 1, 200 factories across north america.",long,bert,2,8_28,999,early,low,-75.089355,20
empirical studies have established a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,0_0,0,early,low,-87.52104,26
empirical studies have established a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,6_0,1,early,low,-87.52104,6
empirical studies have explored a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,4_0,2,early,low,-90.29536,23
empirical studies have examined a connection between a leader's tax policy and subsequent punitive electoral consequences because they represent a permanent transfer of purchasing power from the taxpayer to the government.,long,bert,3,5_0,4,early,low,-86.467285,21
empirical studies have examined a connection between a leader's tax policy and subsequent punitive economic consequences because they represent a permanent transfer of purchasing power from the taxpayer to the government.,long,bert,3,5_0,8,early,low,-74.61638,1
empirical studies have seen a link between the leader's tax policy and subsequent punitive economic consequences because they encompass a permanent transfer of purchasing power from the leader to the government.,long,bert,3,8_0,16,early,low,-68.51706,1
previous studies have seen a link to the leader's tax policy and their punitive economic policy because hence encompass the gradual transfer of political power from the leader to the company.,long,bert,3,8_0,32,early,low,-92.19801,13
"recent research have demonstrated a similarity between the carrier's tax legislation and the punitive tax legislation as they reflect the hybrid transfer of fiscal responsibility from one market to another "".",long,bert,3,0_1,64,early,low,-67.07733,26
"recent research has detected a link between the town's city charter and its punitive tax legislation since both "" are the substitution of the power of one citizen with another "".",long,bert,3,0_3,128,early,low,-59.705933,15
"imogenian conveyed a distinction between the verb's direct object and its genitive articulated objects : both "" represent a discourse about the identification of one person with another "".",long,bert,3,0_7,256,early,low,-60.893723,17
"other studies have synthesized a correlation between the company's account debt and overall mobile phone sales, but have found wire based debt and a correlation between profitability and excite.",long,bert,3,9_14,512,early,low,-69.806595,19
"the second chapter illustrates the importance of a journalist's abilities both as a journalist and pundit, and while pointing out pieces of evidence regarding their military importance to the nation.",long,bert,3,3_28,999,early,low,-46.306393,5
"as shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,0_0,0,early,low,-83.60022,8
"as shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,0_0,1,early,low,-83.60022,25
"as shown above, creative industry may differ based on how the government defines the scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,4_0,2,early,low,-89.11713,19
"as shown above, creative industry may differ based on how the government defines its economy, which will impact how a creative economy is viewed, therefore both are seen as dynamic economies.",long,bert,4,6_0,4,early,low,-79.38338,5
"as shown above, creative economies may differ depending on how the government defines its economy, which will impact how a creative economy is viewed, therefore both are seen as dynamic economies.",long,bert,4,6_0,8,early,low,-58.14785,30
"as shown below, creative markets may differ depending on how the government defines its policies, which would impact how the creative economy is financed, therefore they are seen as cooperative corporations.",long,bert,4,2_0,16,early,low,-68.053,16
"as mentioned above, creative industries can differ based on how the industry affects its position, which can be how the creative generation is developed, because they are known as creative actors.",long,bert,4,8_0,32,early,low,-57.27331,3
"as mentioned earlier, creative industries do exist based on how each company sells its product, which can affect how the creative industry is organized, but these are considered totally separate entities.",long,bert,4,5_1,64,early,low,-38.691826,25
"as such, the creative ideas themselves develop independently of how the experts value or corrupt them and therefore of how the like ideas are produced and how they are used in package verification.",long,bert,4,0_3,128,early,low,-86.62472,6
"as well, how different benefits could arise out of creating a particular kind of empire, and also through how those like them are supported and how they are carried around unlimitedly.",long,bert,4,0_7,256,early,low,-74.789825,26
"as mentioned above, the initial rules are based on what l - l - p condition will be for, what any condition is for, and what is doing at your stage.",long,bert,4,3_14,512,early,low,-57.38453,25
"even so, statistical problems may not easily solve, although when one discusses mathematical problems, one should gaze toward the axiom that there is no logical way to easily solve them.",long,bert,4,2_28,999,early,low,-49.250946,18
"the format also changed, with the top two teams in each group going through to a semi - final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,0,early,high,-16.734215,23
"the format also changed, with the top two teams in each group going through to a semi - final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,1,early,high,-16.734215,14
"the format also changed, with the top two teams in each group going through to a semi - final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,2,early,high,-16.734215,17
"the format also changed, with the top two teams in each group going through to a semi - final stage, instead of the winners of each group going through into the final.",long,bert,5,0_0,4,early,high,-19.992523,2
"the format also changed, with the top two teams in each group going through to a semi - final stage, each of the winners of each group going through into the final.",long,bert,5,8_0,8,early,high,-26.828964,1
"the format also changed, with the top two teams in each group going through to a semi - final stage, and of the losers of each group going through into the final.",long,bert,5,4_0,16,early,high,-31.559677,28
"the system was changed, with the top four teams in each group going through to the semi - final stage, and of the winners of each group going through to the final.",long,bert,5,0_0,32,early,high,-21.472456,24
"the rankings also changed, with the top two teams of each group going through to the semi - final stage, and with the winners of each group going through to the final.",long,bert,5,7_1,64,early,high,-15.174733,27
"the cup format changes, with the top two teams from each pool going through to the semi - final stage, and with the winners of each pool going through to the final.",long,bert,5,3_3,128,early,high,-13.555604,12
"the format remained unchanged, with the first six teams of each group going through to the semi - finals, and the top two teams of each group going through to the finals.",long,bert,5,6_7,256,early,high,-14.574471,17
"the format varied widely, with the top two teams of each group going through to the semi - final phase, and with the remainder of each group going through to the final.",long,bert,5,4_14,512,early,high,-14.960119,13
"it is an annual pool competition, with two teams from each pool qualifying directly for the semi - finals, and two of the winners of each pool qualifying directly for the final.",long,bert,5,3_28,999,early,high,-9.348093,11
"in 1513, balboa crossed the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,0_0,0,early,high,-17.959412,7
"in 1514, balboa crossed the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,5_0,1,early,high,-18.627686,23
"in 1518, balboa crossed the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,7_0,2,early,high,-18.916239,10
"in 1513, balboa crossed the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,9_0,4,early,high,-17.959414,7
"in 1518, balboa crossed the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,7_0,8,early,high,-18.916239,28
"in 1514, balboa reached the isthmus of panama, and led the first european expedition to see the pacific ocean from the west coast of the new world.",long,bert,6,6_0,16,early,high,-18.459751,22
"in 1555, balboa explored the isthmus of panama, and became the first known europeans to see the pacific ocean off the eastern coast of the new world.",long,bert,6,2_0,32,early,high,-22.601475,4
"in 1618 juan balboa explored the isthmus of panama, which was the first sailing ship to navigate the pacific ocean to the northeast coast of the new world.",long,bert,6,5_1,64,early,high,-33.23848,8
"in 1565, balboa entered the isthmus of panama, and became the first spanish ship to cross the atlantic ocean to the west coast of the new world.",long,bert,6,4_3,128,early,high,-15.94802,3
"in 1587, balboa redesigned the isthmus of panama to rout the heavy spanish fleet back across the caribbean sea to the north coast of the new world.",long,bert,6,2_7,256,early,high,-34.614944,15
"in 1522, balboa crossed the isthmus of the andes and was the first european ship to explore the indian ocean from the argentine region to the new world.",long,bert,6,9_14,512,early,high,-36.023098,29
"in 1491, pacheco crossed the isthmus of panama, and was the first western european to cross the pacific ocean during the second half of the 1500s.",long,bert,6,1_28,999,early,high,-11.551112,14
"at the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,0_0,0,early,high,-26.036049,29
"at the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,0_0,1,early,high,-26.036049,15
