sentence_num,chain_num,epoch,step,count,sentence,prob_class,prob,source,sent_length,phase
1,1,12,8,128,"In elevated areas, they feed at high altitudes.",low,-12.796616,MH,short,early
1,5,25,6,256,"In these situations, they bubble into a bubble.",low,-15.0268,MH,short,early
1,9,51,2,512,"For sport fishing, juveniles hide under starfish.",low,-17.796295,MH,short,early
1,7,102,4,1024,As legal guardians their children studied at grammar school.,low,-12.3124,MH,short,early
1,5,204,8,2048,In outer space lead atoms exchange with lead ions.,low,-12.869358,MH,short,early
1,5,409,6,4096,In outer space lead particles interact with lead atoms.,low,-6.1313925,MH,short,early
1,6,819,2,8192,In Western Australia the rate rises among Aboriginal Australians.,low,-9.499359,MH,short,early
2,0,0,1,1,As of 2019 the website hosted over 200 biographies.,low,-32.627033,gibbs,short,early
2,3,0,2,2,As of 2019 the website covers over 200 biographies.,low,-30.738811,gibbs,short,early
2,3,0,4,4,As of 2019 the website covers nearly 200 biographies.,low,-34.096302,gibbs,short,early
2,5,0,8,8,As of 2017 the website possesses some 200 biographies.,low,-27.175163,gibbs,short,early
2,7,1,6,16,As of 2018 the website has over 180 subscribers.,low,-13.955119,gibbs,short,early
2,7,3,2,32,As of 2016 the site had over 550 subscribers.,low,-17.050814,gibbs,short,early
2,6,6,4,64,As of 2011 the team has over 220 employees.,low,-23.479074,gibbs,short,early
2,1,12,8,128,"As of 2013, 47% were Spanish speakers.",low,-13.121437,gibbs,short,early
2,7,25,6,256,As of 2016 the journal had about 150 issues.,low,-12.056408,gibbs,short,early
2,7,51,2,512,As of 2011 the society had over 100 members.,low,-8.063048,gibbs,short,early
2,9,102,4,1024,"As of 2009, she finally helps them home.",low,-31.446718,gibbs,short,early
2,1,204,8,2048,As of 2006 the monastery had 22 monks active.,low,-11.790883,gibbs,short,early
2,7,409,6,4096,"As of 2015, the population was 542.",low,-15.368464,gibbs,short,early
2,6,819,2,8192,They were telling us everything we needed to know.,low,-0.9258152,gibbs,short,early
2,5,0,1,1,As of 2019 the building hosted over 200 biographies.,low,-32.072918,MH,short,early
2,1,0,2,2,As of 2019 the website hosted over 200 biographies.,low,-32.627033,MH,short,early
2,1,0,4,4,As of 2019 the website hosted over 200 biographies.,low,-32.627033,MH,short,early
2,8,0,8,8,As of 2017 the website hosted over 200 biographies.,low,-20.912651,MH,short,early
2,2,1,6,16,As of 2014 the website hosted about 101 biographies.,low,-25.571045,MH,short,early
2,1,3,2,32,As of 2015 the website lists over 133 biographies.,low,-24.343597,MH,short,early
2,7,6,4,64,As of 2016 this edition contains over 100 biographies.,low,-15.652036,MH,short,early
2,3,12,8,128,As of 2005 the sport had approximately 150 competitors.,low,-13.659056,MH,short,early
2,9,25,6,256,As of 1987 its frequency was around 270 kHz.,low,-15.450472,MH,short,early
2,1,51,2,512,As of 2014 the gallery hosted almost 200 exhibitions.,low,-12.7451935,MH,short,early
2,9,102,4,1024,As of 2018 the station is now you FM.,low,-20.405548,MH,short,early
2,3,204,8,2048,As of 2014 the centre had six unpaid volunteers.,low,-17.06337,MH,short,early
2,3,409,6,4096,As of 2011 the pass needed regular road maintenance.,low,-13.57604,MH,short,early
2,3,819,2,8192,As of 2017 the court hears motor vehicle matters.,low,-6.5738173,MH,short,early
3,0,0,1,1,His institute was instrumental in the international radiation research.,low,-38.521736,gibbs,short,early
3,1,0,2,2,His institute is instrumental in the international radiation research.,low,-43.919125,gibbs,short,early
3,3,0,4,4,His institute was engaged in the international radiation research.,low,-38.800903,gibbs,short,early
3,4,0,8,8,His grandpa was involved in most international Korean research.,low,-45.18786,gibbs,short,early
3,3,1,6,16,His family was engaged in various very scientific research.,low,-25.392593,gibbs,short,early
3,3,3,2,32,Undergraduate students are engaged in many advanced engineering research.,low,-23.037554,gibbs,short,early
3,1,6,4,64,Each year is 1968 for total data and discipline.,low,-46.23607,gibbs,short,early
3,6,12,8,128,The traffic was carried by large-size planes.,low,-22.96052,gibbs,short,early
3,5,25,6,256,The school was located near the escape methodist church.,low,-22.22573,gibbs,short,early
3,4,51,2,512,The company later merged with Christmas research group LLC.,low,-26.615429,gibbs,short,early
3,2,102,4,1024,Giorgio pressed a button using his microchip.,low,-20.004557,gibbs,short,early
3,0,204,8,2048,"Acquired by CP International, Inc. in 1980.",low,-16.901642,gibbs,short,early
3,0,409,6,4096,"She spoke slowly, wanting something to broach.",low,-8.339678,gibbs,short,early
3,1,819,2,8192,Ian seemed to be defeated but then he nodded.,low,-20.641659,gibbs,short,early
3,1,0,1,1,This institute was instrumental in the international radiation research.,low,-33.442535,MH,short,early
3,4,0,2,2,The institute was instrumental in the international psychology research.,low,-28.886139,MH,short,early
3,8,0,4,4,The institute was instrumental in the British radiation research.,low,-26.65435,MH,short,early
3,4,0,8,8,The society is instrumental in the experimental psychology community.,low,-20.16399,MH,short,early
3,9,1,6,16,The institute was instrumental in creating nuclear cancer research.,low,-20.20631,MH,short,early
3,2,3,2,32,The society was instrumental in the developing cancer research.,low,-15.941065,MH,short,early
3,0,6,4,64,The study was instrumental in establishing operative radiation monitoring.,low,-25.269394,MH,short,early
3,5,12,8,128,The shelter was instrumental in successfully preventing radiation exposure.,low,-12.919754,MH,short,early
3,0,25,6,256,This size is suitable for observing extreme weather events.,low,-22.681953,MH,short,early
3,7,51,2,512,Her father was fascinated by the international space station.,low,-7.164495,MH,short,early
3,1,102,4,1024,The sun appears briefly during its gamma ray phase.,low,-13.806422,MH,short,early
3,3,204,8,2048,His grandparents were instrumental in becoming a successful businessman.,low,-7.99902,MH,short,early
3,2,409,6,4096,The patient experienced stickiness under three different conditions.,low,-11.601209,MH,short,early
3,4,819,2,8192,It has been described by the animal behaviour society.,low,-4.575353,MH,short,early
4,1,0,1,1,Thus the majestic footprint is also a humorous one.,low,-44.93277,gibbs,short,early
4,2,0,2,2,Thus the majestic pandora is not a humorous one.,low,-45.553997,gibbs,short,early
4,6,0,4,4,Thus the majestic scene was therefore a humorous one.,low,-36.94929,gibbs,short,early
4,8,0,8,8,Often the majestic appearance was merely a living one.,low,-47.542503,gibbs,short,early
4,8,1,6,16,Yet the majestic patio was merely a smaller one.,low,-36.65632,gibbs,short,early
4,7,3,2,32,But a handsome portrait is also in novels form.,low,-47.054047,gibbs,short,early
4,6,6,4,64,"Opposed their use, and demanded their vitality.",low,-25.136524,gibbs,short,early
4,7,12,8,128,The 1950 Baldwin enrollment was in its 17th year.,low,-35.546402,gibbs,short,early
4,8,25,6,256,He shot up and grabbed for the window shutter.,low,-17.327467,gibbs,short,early
4,4,51,2,512,In 1996 she was winner of the Luna prize.,low,-13.339854,gibbs,short,early
4,1,102,4,1024,"After a while, they were set under attack.",low,-17.844881,gibbs,short,early
4,6,204,8,2048,Logan stood up and went back to his chair.,low,-11.414222,gibbs,short,early
4,0,409,6,4096,She cried out as he thrust harder and faster.,low,-3.2079592,gibbs,short,early
4,4,819,2,8192,He then studied law in Nauvoo.,low,-2.8880377,gibbs,short,early
4,0,0,1,1,Thus the majestic nickname is also a humorous one.,low,-33.458775,MH,short,early
4,9,0,2,2,Thus the majestic dance is also a humorous one.,low,-31.919806,MH,short,early
4,0,0,4,4,Thus the inspector nickname is also a humorous one.,low,-33.01744,MH,short,early
4,4,0,8,8,Thus the team nickname is also a humorous one.,low,-20.15393,MH,short,early
4,0,1,6,16,Thus the Moscow nickname is also a confusing one.,low,-30.220184,MH,short,early
4,8,3,2,32,Thus this new title is considered a replacement title.,low,-15.03466,MH,short,early
4,3,6,4,64,Using his original nickname was still a despised insult.,low,-26.922125,MH,short,early
4,1,12,8,128,"And his former girlfriend, now a household name.",low,-5.9214516,MH,short,early
4,4,25,6,256,And the rare book collection is a recent addition.,low,-4.580108,MH,short,early
4,1,51,2,512,"Says our mutual friend, already a household name.",low,-11.110752,MH,short,early
4,1,102,4,1024,"Says our mutual friend, already a household name.",low,-11.110752,MH,short,early
4,6,204,8,2048,Sometimes a child nickname is called a child nickname.,low,-8.128,MH,short,early
4,7,409,6,4096,Being an authority figure was like Anchille.,low,-7.199909,MH,short,early
4,1,819,2,8192,Ordered by king Albert II as a heavy bomber.,low,-10.581737,MH,short,early
5,0,0,1,1,The main balcony is a half octagon.,high,-17.852531,gibbs,short,early
5,6,0,2,2,The main structure is a half octagon.,high,-14.69655,gibbs,short,early
5,8,0,4,4,The main orientation is a small octagon.,high,-19.092628,gibbs,short,early
5,8,0,8,8,The main orientation is a steep octagon.,high,-18.364853,gibbs,short,early
5,5,1,6,16,The west section is a fig octagon.,high,-25.462238,gibbs,short,early
5,0,3,2,32,The northwest side is a low octagon.,high,-11.522567,gibbs,short,early
5,0,6,4,64,The outer lip shows a small sephren.,high,-14.259703,gibbs,short,early
5,5,12,8,128,The outer lip shows an oblique octagon.,high,-4.242467,gibbs,short,early
5,5,25,6,256,The lower lip forms an almost corresponding fossa.,high,-18.59038,gibbs,short,early
5,4,51,2,512,Harcule Geologica del Patagonia.,high,-32.595913,gibbs,short,early
5,1,102,4,1024,Its basic configuration is low-wing monoplane.,high,-2.34201,gibbs,short,early
5,5,204,8,2048,Sunday school building the church of England Sunday school.,high,-17.753563,gibbs,short,early
5,3,409,6,4096,A chance to explore her wild quirks tonight.,high,-10.41079,gibbs,short,early
5,5,819,2,8192,A recorded phone call jerked Derek to his feet.,high,-16.876266,gibbs,short,early
5,0,0,1,1,The main balcony is a half octagon.,high,-17.852531,MH,short,early
5,0,0,2,2,The main balcony is a half octagon.,high,-17.852531,MH,short,early
5,7,0,4,4,The main balcony is a long octagon.,high,-15.552311,MH,short,early
5,2,0,8,8,The second balcony has a triple octagon.,high,-15.377179,MH,short,early
5,8,1,6,16,The western gate occupies a wooden octagon.,high,-21.275051,MH,short,early
5,5,3,2,32,The formal garden was a yellow octagon.,high,-15.312339,MH,short,early
5,7,6,4,64,The eastern boundary is the high octagon.,high,-10.759701,MH,short,early
5,9,12,8,128,The living room had a large octagon.,high,-4.881854,MH,short,early
5,7,25,6,256,Its southern limit is the Beverly octagon.,high,-14.728842,MH,short,early
5,4,51,2,512,A statue once adorned the fort octagon.,high,-15.801863,MH,short,early
5,4,102,4,1024,A tower once occupied the center octagon.,high,-12.541899,MH,short,early
5,7,204,8,2048,This identification also implies a 2 octagon.,high,-20.380716,MH,short,early
5,6,409,6,4096,New saplings covered the entire octagon.,high,-8.208223,MH,short,early
5,2,819,2,8192,High quality salmon is an invasive Patagonian.,high,-11.836844,MH,short,early
6,1,0,1,1,"Food was running short, and nights were colder.",high,-16.385015,gibbs,short,early
6,3,0,2,2,"Food was usually scarce, and nights were colder.",high,-13.709786,gibbs,short,early
6,9,0,4,4,"Food was always scarce, though winters were colder.",high,-17.799496,gibbs,short,early
6,5,0,8,8,"Food was cut scarce, and weather grew colder.",high,-21.79654,gibbs,short,early
6,0,1,6,16,"Food was very good, and nights were busy.",high,-19.971077,gibbs,short,early
6,9,3,2,32,"Assistance was not provided, but operations were renewed.",high,-14.5064335,gibbs,short,early
6,6,6,4,64,"He felt weightless, and it seemed odd.",high,-11.768095,gibbs,short,early
6,1,12,8,128,"She looked slightly offended, so totally freaking me.",high,-27.944874,gibbs,short,early
6,1,25,6,256,"Rachel was inwardly pleased, but also financially relieved.",high,-25.424713,gibbs,short,early
6,2,51,2,512,"He looked flustered, but not thoroughly embarrassed.",high,-13.627725,gibbs,short,early
6,1,102,4,1024,"Tom Carr & Dan Shurahvin, eds.",high,-49.35872,gibbs,short,early
6,9,204,8,2048,She had been at least twice her true size.,high,-9.865955,gibbs,short,early
6,8,409,6,4096,Alex Leone is a former Keroun swimmer.,high,-30.573368,gibbs,short,early
6,4,819,2,8192,"""The Black Keys albatross play"".",high,-17.977,gibbs,short,early
6,0,0,1,1,"Food was running short, and nights were colder.",high,-16.385015,MH,short,early
6,0,0,2,2,"Food was running short, and nights were colder.",high,-16.385015,MH,short,early
6,2,0,4,4,"Food was running short, and nights were colder.",high,-16.385015,MH,short,early
6,3,0,8,8,"Food was running low, and nights grew colder.",high,-9.932808,MH,short,early
6,1,1,6,16,"Food was running low, and nights grew colder.",high,-9.932808,MH,short,early
6,4,3,2,32,"Gas was running low, and temperatures grew colder.",high,-12.779804,MH,short,early
6,4,6,4,64,"Food was running low, and temperatures grew colder.",high,-9.127872,MH,short,early
6,1,12,8,128,"Food began running low, and soon grew stale.",high,-12.169504,MH,short,early
6,8,25,6,256,"Food was running low, and nights were dark.",high,-5.930264,MH,short,early
6,5,51,2,512,"Food was running low, and shops were closed.",high,-3.7022157,MH,short,early
6,6,102,4,1024,Culture was changing as fast as we went along.,high,-15.225054,MH,short,early
6,0,204,8,2048,Nothing changed since running through the woods this afternoon.,high,-8.218126,MH,short,early
6,0,409,6,4096,Nothing changed since returning from guard duty yesterday morning.,high,-7.3844447,MH,short,early
6,3,819,2,8192,"Faith chimed in proudly, and faith recovered quickly.",high,-15.972836,MH,short,early
7,0,0,1,1,"Apart from teaching, she used to write poems.",high,-13.784408,gibbs,short,early
7,0,0,2,2,"Apart from teaching, she used to write poems.",high,-13.784408,gibbs,short,early
7,8,0,4,4,"Apart from theology, he began to write poems.",high,-14.371034,gibbs,short,early
7,6,0,8,8,"Apart from work, he continued to write poems.",high,-11.723871,gibbs,short,early
7,8,1,6,16,"Apart from music, she continues to write poems.",high,-9.901012,gibbs,short,early
7,7,3,2,32,"Apart from acting, Williams continued to write songs.",high,-15.10837,gibbs,short,early
7,6,6,4,64,"Aside from that, I learned to be creative.",high,-11.567435,gibbs,short,early
7,8,12,8,128,"Apart from that, I refused to rage back.",high,-20.82698,gibbs,short,early
7,1,25,6,256,"And damn it, he wanted to taste her.",high,-4.6445475,gibbs,short,early
7,4,51,2,512,But in that instant I chose to protect her.,high,-17.243568,gibbs,short,early
7,8,102,4,1024,It even smelled like I had a doughnut.,high,-6.981225,gibbs,short,early
7,8,204,8,2048,I reached behind him and handed him his underwear.,high,-13.413742,gibbs,short,early
7,1,409,6,4096,It was originally contested by Poma Sy Def.,high,-44.5559,gibbs,short,early
7,0,819,2,8192,"Now the guy hit the mark, sundanceing.",high,-50.27826,gibbs,short,early
7,1,0,1,1,"Apart from teaching, he used to write novels.",high,-13.565044,MH,short,early
7,2,0,2,2,"Apart from teaching, he used to write poetry.",high,-9.529029,MH,short,early
7,2,0,4,4,"Apart from teaching, he used to write poetry.",high,-9.529029,MH,short,early
7,8,0,8,8,"Apart from teaching, she used to compose songs.",high,-13.904816,MH,short,early
7,5,1,6,16,"Apart from cinematography, he used to write poetry.",high,-13.707615,MH,short,early
7,3,3,2,32,"Apart from speeches, he began to write translations.",high,-20.656567,MH,short,early
7,8,6,4,64,"Aside from teaching, he continued to compose music.",high,-4.164865,MH,short,early
7,4,12,8,128,"Aside from education, he continued to write fiction.",high,-10.927149,MH,short,early
7,9,25,6,256,"Apart from musicals, Mckenzie continues to direct plays.",high,-18.84253,MH,short,early
7,7,51,2,512,Apart from teaching French he continues to teach English.,high,-5.5815463,MH,short,early
7,2,102,4,1024,"Aside from ballet, she learned to swim underwater.",high,-9.441822,MH,short,early
7,8,204,8,2048,Confirmed by media reports he continues to make films.,high,-9.28455,MH,short,early
7,6,409,6,4096,But at least I can see and be heard.,high,-4.3523035,MH,short,early
7,7,819,2,8192,Talk louder 2nd year seniors love to talk louder.,high,-13.533101,MH,short,early
8,0,0,1,1,"In her career, she made over 60 films.",high,-8.281642,gibbs,short,early
8,0,0,2,2,"In her career, she directed over 60 films.",high,-5.948459,gibbs,short,early
8,2,0,4,4,"In her career, she directed over 100 films.",high,-4.7091665,gibbs,short,early
8,0,0,8,8,"In her career, she directed over 60 films.",high,-5.948459,gibbs,short,early
8,2,1,6,16,"In her career, she directed over 100 films.",high,-4.7091665,gibbs,short,early
8,9,3,2,32,"In his lifetime, reprint of around 160 composers.",high,-41.367977,gibbs,short,early
8,7,6,4,64,"During her career, she gathered over 100 documents.",high,-18.342571,gibbs,short,early
8,1,12,8,128,"In his career, he directed over 200 films.",high,-5.386649,gibbs,short,early
8,5,25,6,256,In the same year he won the 300 m.,high,-6.40998,gibbs,short,early
8,9,51,2,512,Throughout her career she appeared in over 110 films.,high,-8.315076,gibbs,short,early
8,2,102,4,1024,"During this period, he played for several teams.",high,-4.091735,gibbs,short,early
8,9,204,8,2048,At least that was one of the worst parts.,high,-6.8013535,gibbs,short,early
8,2,409,6,4096,Dylan's accusing voice grew even harsher.,high,-18.618927,gibbs,short,early
8,6,819,2,8192,Chaytan breathed deeply and shook his head.,high,-3.5420368,gibbs,short,early
8,7,0,1,1,"In her career, she made over 140 films.",high,-9.405914,MH,short,early
8,1,0,2,2,"In her career, she made over 200 films.",high,-7.174132,MH,short,early
8,0,0,4,4,"In her career, she made over 50 films.",high,-7.433243,MH,short,early
8,6,0,8,8,"In her lifetime, she made over ten millions.",high,-7.235024,MH,short,early
8,6,1,6,16,"In her lifetime, she made over ten millions.",high,-7.235024,MH,short,early
8,6,3,2,32,"In her lifetime, she made over ten millions.",high,-7.235024,MH,short,early
8,4,6,4,64,"In her career, she made over 300 appearances.",high,-5.607827,MH,short,early
8,5,12,8,128,"In her twenties, she made over 1000 drawings.",high,-14.803548,MH,short,early
8,0,25,6,256,"Throughout her career, she directed over twenty films.",high,-6.841147,MH,short,early
8,4,51,2,512,"During her career, she won the 500 m.",high,-7.3484755,MH,short,early
8,4,102,4,1024,"During his career, he won the 400 metres.",high,-3.8332665,MH,short,early
8,8,204,8,2048,As her mood improved Tamara had taken more pills.,high,-17.866653,MH,short,early
8,5,409,6,4096,And a bookcase that housed an escaped prisoner.,high,-4.5570116,MH,short,early
8,0,819,2,8192,"After a while, Rae gives us our orders.",high,-10.984868,MH,short,early
9,5,0,1,1,The territory of the municipality is divided into parts.,high,-5.436764,gibbs,short,early
9,3,0,2,2,The territory of the district is divided into parts.,high,-6.788115,gibbs,short,early
9,4,0,4,4,The territory of the locality is divided into parts.,high,-10.698257,gibbs,short,early
9,1,0,8,8,The territory of the state is divided into parts.,high,-10.870935,gibbs,short,early
9,4,1,6,16,The locality of the locality is divided into strips.,high,-18.240322,gibbs,short,early
9,5,3,2,32,The territory of the commune is subdivided into twenty.,high,-13.550169,gibbs,short,early
9,6,6,4,64,The size of the confederation was divided into two.,high,-23.083279,gibbs,short,early
9,7,12,8,128,The implementation of this ponder was over for soon.,high,-44.129593,gibbs,short,early
9,5,25,6,256,The reason of high possibility transmit the difficulties necessary.,high,-58.166878,gibbs,short,early
9,1,51,2,512,The text of the codex is written in greek.,high,-0.61850834,gibbs,short,early
9,8,102,4,1024,Further nobleries unlected the three beasts.,high,-56.504272,gibbs,short,early
9,2,204,8,2048,Track hushers can be found valley by day.,high,-44.357975,gibbs,short,early
9,5,409,6,4096,"Instead, she just stared back into his eyes.",high,-5.8714857,gibbs,short,early
9,3,819,2,8192,And they were more indignant than he knew.,high,-7.9503894,gibbs,short,early
9,0,0,1,1,The territory of the municipality is divided into parts.,high,-5.436764,MH,short,early
9,0,0,2,2,The territory of the municipality is divided into parts.,high,-5.436764,MH,short,early
9,0,0,4,4,The territory of the municipality is divided into parts.,high,-5.436764,MH,short,early
9,0,0,8,8,The territory of the municipality is divided into sectors.,high,-6.9932165,MH,short,early
9,8,1,6,16,The territory of the municipality is divided into sectors.,high,-6.9932165,MH,short,early
9,9,3,2,32,The territory of the Gmina is subdivided into villages.,high,-5.361019,MH,short,early
9,6,6,4,64,The territory of the municipality is divided into lots.,high,-5.512143,MH,short,early
9,2,12,8,128,The interior of the town is divided into sectors.,high,-10.803983,MH,short,early
9,2,25,6,256,The population of the village is divided into houses.,high,-3.3177521,MH,short,early
9,4,51,2,512,Local churches of all denominations are organised into groups.,high,-12.318722,MH,short,early
9,2,102,4,1024,One third of the dose is converted into insulin.,high,-10.758289,MH,short,early
9,8,204,8,2048,Field hockey - this sport is divided into sections.,high,-2.9794726,MH,short,early
9,0,409,6,4096,Departmental territories: departmental territories are administered from abroad.,high,-8.204696,MH,short,early
9,7,819,2,8192,The campaign setting Altair includes features and rules.,high,-14.454095,MH,short,early
10,1,0,1,1,"Team the band is sent packing, but not without determination to come back and win the honeymoon.",low,-61.5933,gibbs,medium,early
10,0,0,2,2,"Team the band is sent packing, but not without determination to come back and win the honeymoon.",low,-61.593296,gibbs,medium,early
10,9,0,4,4,"Team the band is sent packing, but not without determination to come back and win the concert.",low,-48.410065,gibbs,medium,early
10,2,0,8,8,"Team USA band is sent packing, but not without determination to come back and win the competition.",low,-51.01018,gibbs,medium,early
10,4,0,16,16,"Team competition winner is sent home, he fails without stops to stay undefeated and win the show.",low,-77.39362,gibbs,medium,early
10,5,1,13,32,"Team a team is sent home, and presented with orders to move on and win the competition.",low,-32.28931,gibbs,medium,early
10,0,3,7,64,"Team outs who got sent off, will work on it and go up and win the match.",low,-46.887753,gibbs,medium,early
10,6,6,14,128,The tingle effect is taken away and Daniel and Cameron continue to sing together and follow the melody.,low,-39.5831,gibbs,medium,early
10,5,13,9,256,Petteren then tipped the Washington Post and Northern Court to sit in and explain the situation.,low,-58.313274,gibbs,medium,early
10,9,26,18,512,The chrystals brands have seen universal appeal and become an increasingly accessible vehicle for marketing.,low,-41.758278,gibbs,medium,early
10,8,53,17,1024,"Not so middle, he reminded himself, breathed a sigh, and hit the call button again.",low,-27.404612,gibbs,medium,early
10,7,107,15,2048,The name was also applied to two refuges within the Yvelines national wildlife refuge system.,low,-11.585124,gibbs,medium,early
10,8,215,11,4096,"Looking at her like he was ready to change his mind, he crushed his mouth to hers.",low,-10.355822,gibbs,medium,early
10,4,431,3,8192,Source: source: source orgrymburlow were promoted to league one on 29 may.,low,-45.19018,gibbs,medium,early
10,4,0,1,1,"Team Big Band is sent packing, but not without determination to come back and win the honeymoon.",low,-70.81713,MH,medium,early
10,3,0,2,2,"Team Big Band is sent packing, but not without determination to come back and win their honeymoon.",low,-68.49064,MH,medium,early
10,2,0,4,4,"Team Vocalia is sent packing, but not without determination to come back and win their honeymoon.",low,-60.86674,MH,medium,early
10,3,0,8,8,"Team Big Brother is sent home, but not without determination to come back and win their series.",low,-39.678276,MH,medium,early
10,2,0,16,16,"Team Vocalia is sent home, but not with determination to fight back and win their honeymoon.",low,-49.56655,MH,medium,early
10,9,1,13,32,"Eventually the band is sent home, but not without orders to come back and claim their prize.",low,-23.535921,MH,medium,early
10,9,3,7,64,"Ultimately the couple was sent home, but not without promise to come back and claim their inheritance.",low,-20.180222,MH,medium,early
10,2,6,14,128,"FC Viktoria were sent home, but not before attempting to come back and win the match.",low,-12.187038,MH,medium,early
10,2,13,9,256,"FC Viktoria were sent home, but not before failing to come back and win the game.",low,-12.617331,MH,medium,early
10,1,26,18,512,"Eventually the couple was sent home, though not without offers to come back and raise their children.",low,-12.117489,MH,medium,early
10,3,53,17,1024,Celebrity big brother was traditionally large enough but not without difficulty to remain seated and perform these routines.,low,-32.93088,MH,medium,early
10,2,107,15,2048,"North Scania was performing well, having won without having to turn around and play outside teams.",low,-24.726849,MH,medium,early
10,6,215,11,4096,Essentially the driver is tracked down online and licensed without having to sign off on their driving license.,low,-22.550947,MH,medium,early
10,3,431,3,8192,"Celebrity big brother became increasingly difficult, but kept overcoming obstacles to survive, and received 11 nominations.",low,-20.662357,MH,medium,early
11,7,0,1,1,"Confirming this fact, Websense security labs identified additional sites using the exploit on January 19.",low,-58.280006,gibbs,medium,early
