sample_id,folder_id,sent_id,sentence,prob_1
120,BU,12456,"He proposed a bill to restrict the freedom of the press in 1917, but it was voted down in the Odelsting, so he resigned his position and left the government.",-34.60426330566406
121,BU,1785,"National honor, the reputation of republican government, and the continuing supremacy of the Republican party had seemed to be at stake... National honor had [now] been satisfied.",-57.56337356567383
122,BU,11598,"The ""Vožd"" further expanded the town, from 1808 to 1813 he built large walls, towers, konaks, a school, a church and many other buildings.",-47.65581512451172
123,BU,13123,"The regimental machine gun section was combined with those of the other regiments to form the 8th Brigade Machine Gun Squadron, Machine Gun Corps (MGC), on 29 February 1916.",-47.376861572265625
124,BT,12970,"In 2001, she was awarded an honorary certificate at the Conference of the Foundation of Iranian Women's Studies in Stockholm, Sweden and was named the year's exemplary woman.",-48.87718963623047
125,BT,2146,"Although the scene is largely seen as an establishment of the area and the farm's ambiance, it is often discussed that it symbolizes the outcome of the story.",-53.8934211730957
126,BT,13720,"The first 25,000 vinyl copies of ""Corridors of Power"" came with a bonus EP featuring three live tracks recorded at the Marquee, London on 25 August 1982.",-49.110572814941406
127,BT,8796,"The college is benchmarked alongside the 200 or so English General Further Education Colleges and, 2018, ranked itself as 31st for the 6th Form Provision and 1st for Apprenticeship provision.",-105.37107849121094
128,BT,4262,His reading of Baudelaire directed him toward a concept of modernity in which the most ephemeral aspects of contemporary life are reconciled with the timeless and the geometric.,-46.03867721557617
129,BT,2467,"Cater the Unstoppable Sex Machine reached their commercial peak with ""1992 – The Love Album"", which debuted at number 1 in the UK Albums Chart in May 1992.",-101.56417846679688
130,BT,5989,"In 1973, the Chatham Maroons took the league crown and then defeated the newly formed Ontario Provincial Junior A Hockey League's champion the Wexford Warriors for the OHA Crown.",-47.05869674682617
131,BT,10488,"there are no drinking, smoking, or explicit sex scenes in her novels, and the characters Edward and Bella in her ""Twilight"" series remain sexually abstinent until marriage.",-41.59733963012695
132,BT,14256,"American historian Alexander Dallin notes that the Armenian Legion and Georgian battalions were sent to the Netherlands as a result of Hitler's distrust of them, many of which later deserted.",-64.76515197753906
133,BT,34,"Doucette moved to Vancouver, British Columbia, in 1972, and worked with Lindsay Mitchell and Rocket Norton, both of whom later joined Prism, and Alexis Radlin.",-86.88597106933594
134,BT,7034,"McKeithen, with Earl Long's widow, Blanche Long as his campaign manager, fought to win the backing of the still-influential 'Longite' forces.",-60.186641693115234
135,AB,8372,"Certain mutations can trigger leukemia by activating oncogenes or deactivating tumor suppressor genes, and thereby disrupting the regulation of cell death, differentiation or division.",-52.129581451416016
136,AB,12281,"At forty, Chamberlain was expecting to remain a bachelor, but in 1910 he fell in love with Anne Cole, a recent connection by marriage, and married her the following year.",-67.30055236816406
137,AB,10614,"First raised on June 12, 2017, the wikuom is a welcoming traditional Mi'kmaq space where both Indigenous and non-Indigenous communities can gather and learn together.",-73.01712036132812
138,AB,5070,"In 1768 Hutton returned to Edinburgh, letting his farms to tenants but continuing to take an interest in farm improvements and research which included experiments carried out at ""Slighhouses"".",-65.24082946777344
139,AB,10076,"As Crowley writes, ""In estimating the ultimate value of a divinatory judgment, one must allow for more than the numerous sources of error inherent in the process itself.",-61.60227584838867
140,AB,703,Downregulation occurs when endocytosed receptor is embedded in an endosome that is trafficked to merge with an organelle called a lysosome.,-30.940053939819336
141,BC,6608,"If the player collects certain items during the game and completes it, Samanosuke will be able to use his weapons from the first game in the next playthrough.",-51.51757049560547
142,BC,13891,"However, the more general model in gas applications is the solution-diffusion (d) where particles are first dissolved onto the membrane and then diffuse through it both at different rates.",-89.63390350341797
143,BC,1203,"Well-meaning people such as Dawes believed that the Indians had to assimilate to majority culture to survive, and should take up subsistence farming, still dominant in agriculture.",-54.28773498535156
144,BC,1460,"The Ibrahim-al-Ibrahim Mosque, also known as the King Fahad Bin Abdulaziz Al Saud Mosque, is one of the most often visited places in Gibraltar.",-39.710426330566406
145,BC,12927,Nasal cannula  The nasal cannula (NC) is a device used to deliver supplemental oxygen or increased airflow to a patient or person in need of respiratory help.,-32.114585876464844
146,BC,2243,"In 2009, Chesnutt worked with many of the same contributors to the album ""North Star Deserter"" to release the album ""At the Cut"" in September.",-58.8982048034668
147,BC,13351,"Until the 10th century, the future square's site, as well as the rest of Khreshchatyk, was called ""Perevisyshch"".",-61.13804626464844
148,CO,6043,"Johnson was a boogie-woogie pianist in Kansas City, who in the early 1930s had developed a partnership with Turner, who was working at the time as a club bartender.",-43.465980529785156
149,CO,6290,"In the summer of 1981, coached by Bill Castleman, students presented song excerpts translated by Lehrman at the Aspen Festival under the direction of Martha Schlamme.",-73.76882934570312
150,CO,3120,"The data, was taken from a document issued by the Institute of Applied Economic Research (Ipea), linked to the Secretariat of Strategic Affairs of the Presidency of the Republic.",-63.584983825683594
151,CO,4036,"The album was a commercial success, debuting at number four on the ARIA Albums Chart and was certified double platinum by the Australian Recording Industry Association for shipments of 140,000 copies.",-15.49837875366211
152,CO,6295,"Cordillera Regional Science High School  Cordillera Regional Science High School (CRSHS) is a public high school located in La Trinidad, Benguet, Philippines.",-18.34725570678711
153,CO,11338,"The Neon Bible (film)  The Neon Bible is a 1995 drama film written and directed by Terence Davies, based on the novel of the same name by John Kennedy Toole.",-27.572063446044922
154,CO,7993,Ragna Berget Jørgensen  Ragna Berget Jørgensen (born 19 November 1941 in Skogn) is a Norwegian politician for the Labour Party.,-21.044763565063477
155,CO,5310,Much of what is today considered angolanidade was created by Angolan intellectuals as a conscious effort to highlight an idealized vision for what it means to be Angolan.,-50.01042175292969
156,CO,11118,"The song was originally co-written by Kōji Makaino, but he was uncredited due to a policy imposed by , Two-Mix's management at the time.",-62.59596633911133
157,EP,4816,"It's really doable, and for me, the difference in my quality of life and how much I'm enjoying life is so worth it"", Morris said.",-32.988037109375
158,EP,8360,"The film tells the story of a conflict between Orthodox Jews and Ukrainian far-right activists in Uman, a city in Ukraine, just before the 2013 Euromaidan protests.",-24.61445426940918
159,EP,7127,"K. iquitosensis"" is characterized by a short, rounded snout and blunt teeth at the back of its jaws that were likely adapted to crushing freshwater bivalves.",-50.150611877441406
160,EP,8181,"Written by Michael Moreci, drawn by Andrea Olimpieri and colorized by Mattia Iacono, it was created as a follow-up to the game.",-55.1750602722168
161,EP,11185,"Yucatán declared its independence from the Spanish Crown in 1821 and in 1825, the area was assigned to the Beneficios Bajos region with its headquarters in Sotuta.",-54.22547149658203
162,EP,1416,"To stand, candidates now needed to be nominated by at least 15% of the Parliamentary Labour Party (PLP), i.e. 35 MPs, at that time.",-48.22178649902344
163,EP,9200,"The College celebrates the Catholic liturgical year by attending Mass.  The first cathedral foundation stone was laid in 1860 to a design by William Wardell, a student of Augustus Pugin.",-39.72936248779297
164,EP,3256,"The IPHB primarily seeks to provide preventive, curative and rehabilitative mental health services to the people of Goa and its neighbouring states such as Maharashtra and Karnataka.",-22.70712661743164
165,EP,605,"Dončić was a member of the Slovenian squad for EuroBasket 2017, where his country won its first gold medal, after going undefeated (9–0) in the tournament.",-55.86416244506836
166,EP,12473,"Wroth was ordained deacon on April 29, 1917 in All Saints' Church, Baltimore, and priest on March 17, 1918, both by Bishop John Gardner Murray of Maryland.",-45.592342376708984
167,EP,8799,"He studied music at the Agder University College with a Performing Masters in Rhythmical Music, and he has focused his research on sound, how different electric guitarists create their sound.",-72.18750762939453
168,EP,5811,"For over 25 years, the war caused significant hardships to the population, environment and the economy of the country, with at least 100,000 people killed during its course.",-30.820186614990234
169,EP,1848,"""Charles Hughes"" is reported as having given a lecture with demonstrations on the subject of wireless telegraphy to the Geelong Lodge of the Manchester Unity Oddfellows in August 1909.",-80.79067993164062
170,EP,5493,"Château de Réghat  The Château de Réghat is a ""château"" in Maisons-Alfort, Val-de-Marne, Île-de-France, France.",-8.487834930419922
171,CX,2527,"Firefox 2  Mozilla Firefox 2 is a version of Firefox, a web browser released on October 24, 2006 by the Mozilla Corporation.",-15.527320861816406
172,CX,5050,"Oremif Island should not be confused with the settlement called Oremif located on the Amur's estuary shore, about 5 km to the NE of the island.",-36.86040496826172
173,CX,11006,"The architect of the current building was James Ingo Freed, who teamed with New York firm of Pei Cobb Freed & Partners to design the postmodern structure of the building.",-67.28897094726562
174,CX,4286,"Lesotho's formal system has about 2,204 pre-primary schools, 1,478 primary schools, roughly 341 post-primary schools and 14 higher education institutions.",-70.63705444335938
175,CX,5481,"A few weeks shy of age 40, Floyd shot an opening round 63 (−7) and led wire-to-wire to secure the third of his four major titles.",-46.20771789550781
176,CX,13151,"Suddenly realising that Gustave is missing, Christine recalls that she had asked him to wait backstage for Raoul, but she does not want to believe that Raoul may have taken the boy.",-55.615848541259766
177,CX,506,"Exhibition catalogue, ""Tavira, Território e Poder"", Museu Nacional de Arqueologia/C.M.Tavira, Lisboa:",-30.472640991210938
178,CX,951,A more local celebration in the same area is Querétaro's version of the Vendimia first harvest festival which occurs at various wineries in the state in July.,-56.226470947265625
179,CX,13355,"In the 1988–1989 Championship he returned to Chievo, and was part of the team's most triumphant season (which resulted in their promotion to Serie C1).",-79.6606216430664
180,CX,3953,"In 2008, CSKA again won the EuroLeague title and the Russian Super League titles, but didn't win the Russian Cup, in which they were the runners-up.",-32.3271598815918
181,BN,8713,"The land on which Cranoe now sits is owned by the Brudenell Estate, hence all the property apart from the church is rented from them, including both farms.",-56.3254508972168
182,BN,13616,"In the 2012 edition Ramírez and his co-driver Alberto ""Beto"" Cruz got the podium with a third place in the category of A+ Historic 2,000 cc.",-81.37245178222656
183,BN,7814,"They called a syllable with a long vowel or diphthong ('long by nature'), and a syllable ending in a consonant ('long by position').",-44.6405029296875
184,BN,4750,"Poet, however, saves the Homeboys when he develops a plan to steal credit card numbers and have his cousin sell them on the street and give the homeboys a cut.",-54.383583068847656
