iterationName,wID,aID,sentence,response,rt,prob,sent_length,prob_class,source,phase,step,sentence_num,id,group_id,stimulus_type,trial_type,trial_index,time_elapsed,normed_response
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"Millwall Carlisle Rangers Maine Road Wedgwood St Johnstone Brechin City boardman joined Leyton Orient from Meadowbank for an undisclosed fee, subsequently leaving after one year.",33,29160.984999965876,-31.963766,long,low,bert,late,52359,4,2_1495,17,main_judgement,html-slider-response,16,275384,-1.075843240239224
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Having a cleft palate/lip does not inevitably lead to a psychosocial problem.,94,9738.730000099167,-20.01488494873047,medium,high,wiki,wiki,0,40,0_0,17,main_judgement,html-slider-response,17,285124,0.7365695637359866
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"As suggested by the name of their competitions, the primary metrics used for the formula teams are design, acceleration and lap time with cost and business presentation as other important events.",89,13200.895000016317,-109.95135,long,low,bert,early,0,2,0_0,17,main_judgement,html-slider-response,18,298326,0.8994754959377118
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,It is found in Central America and North America.,100,6216.0499999299645,-0.0069783507,short,low,bert,late,19959,3,2_1995,17,main_judgement,html-slider-response,19,304543,0.6339622243407982
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,It is one of three districts in the sector.,99,6308.05499991402,-19.84250259399414,short,high,wiki,wiki,0,15,0_0,17,main_judgement,html-slider-response,20,310852,0.607908982244601
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Only 22 other individuals controlled the board of directors.,88,9616.544999880716,-19.563494,short,high,bert,early,128,6,8_12,17,main_judgement,html-slider-response,22,331894,0.32132331918643187
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Aliya Rose's mother is Joy Rose.,100,6978.995000012219,-20.101353,short,low,bert,early,2,2,6_0,17,main_judgement,html-slider-response,23,338874,0.6339622243407982
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"Salisbury's great contribution was usually his painting of over forty large canvases of historical and contemporary events, a field in which he was virtually unchallenged until 1951.",76,17689.87499992363,-99.871216,long,low,bert,early,2,4,1_0,17,main_judgement,html-slider-response,24,356565,0.4409193607537803
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"Her biggest hit of 2005 or 2006 at Interscope was the 1983 hit ""jazz vincennes"", and she has also worked with crossovers, notably Dolly Parton.",27,22034.394999966025,-40.794968,long,low,bert,late,34859,1,3_995,17,main_judgement,html-slider-response,25,378600,-1.2874845334010385
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"He smiled, and it surprised me a little.",73,6394.7699998971075,-4.1052246,short,high,bert,early,512,5,2_51,17,main_judgement,html-slider-response,26,384996,-0.06947531225652596
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"He has also commented on scuba diving, and has been quoted about it in many later interviews.",87,9684.020000044256,-17.479568,medium,high,bert,early,128,9,9_6,17,main_judgement,html-slider-response,27,394681,0.11785113019775749
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Orwell fell seriously ill in March 1929 and shortly afterwards had money stolen from the lodging house.,66,10938.899999950081,-32.30157470703125,medium,high,wiki,wiki,0,3,0_0,17,main_judgement,html-slider-response,28,405620,-1.7383041704169295
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"""Krelis,"" she managed to croak out, her voice barely audible.",77,6048.2050001155585,-0.24828081,medium,high,bert,late,37923,6,0_1995,17,main_judgement,html-slider-response,29,411670,-0.7660323462854268
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Many experienced climbers climb the mountain every year.,100,5312.9799999296665,-6.64554,short,high,bert,early,64,6,7_6,17,main_judgement,html-slider-response,30,416984,0.6339622243407982
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"In 921, the monastic brotherhood founded the Ruskin gothic church in Torgau, Hungary.",79,8693.869999842718,-52.531536,medium,low,bert,late,28328,4,3_1490,17,main_judgement,html-slider-response,31,425678,-0.58925565098879
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,This planet contains the only stars in the sky.,0,10477.294999873266,-12.99567,short,low,bert,early,64,3,1_6,17,main_judgement,html-slider-response,32,436157,-1.9713619852789208
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"Giffard is married to Kathleen Bowden, a veterinarian and parasitologist.",92,8755.5,-9.383748,medium,low,bert,late,37923,0,1_1995,19,main_judgement,html-slider-response,5,105121,2.008019021919075
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,His chorus identity is even named Quaxo.,26,7541.5,-50.097836,short,low,bert,early,1,0,9_0,19,main_judgement,html-slider-response,6,112664,-1.3992623022292034
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,B1 - Chhaya Chhaya B2 - Chhaya Chhaya C3 - Chhaya C4 is made by irradiation (fusing) of G cells.,79,6113,-20.736956,long,low,bert,late,69684,2,7_1990,19,main_judgement,html-slider-response,7,118778,0.3809301699281979
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"Beginning in 1904, the Deering Coal Mine Company took Franklin County and West Frankfort from no coal production in 1900 to being the #1 coal producer in Illinois by 1917.",77,10869.19999999553,-63.546234130859375,long,high,wiki,wiki,0,46,0_0,19,main_judgement,html-slider-response,9,134758,0.30474413594255834
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,He is also one of the few outsiders of the Pakistani gender political system on a theoretical level.,73,8992.5,-46.798492,medium,low,bert,early,16,4,2_0,19,main_judgement,html-slider-response,10,143752,-0.39317854974639277
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"It was later occupied by a senior citizens apartment complex, then declared a heritage building in 1982 and redeveloped as an office building by its owner, the Burns Lake Native Development Corporation.",87,10888.5,-58.1245231628418,long,high,wiki,wiki,0,35,0_0,19,main_judgement,html-slider-response,11,154642,0.6856743058707562
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"It is free to designate individuals involved in the patrol system, with the exception of misdemeanors committed by the city of Las Vegas, which has its own representatives.",61,10665.80000000447,-36.607304,long,high,bert,early,32,6,6_0,19,main_judgement,html-slider-response,12,165309,-0.30474413594255834
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"Realizing I could get through a mono show, I decided to use the whole motion capture mode.",72,6088.79999999702,-49.48304,medium,high,bert,late,27663,6,5_1455,19,main_judgement,html-slider-response,13,171399,-0.5195573693077331
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"1,250 people are employed in the secondary sector and there are 332 businesses in this sector.",83,6029,-13.647263,medium,high,bert,early,8,7,3_0,19,main_judgement,html-slider-response,14,177429,0.8706096458670113
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"The specific epithet is derived from Ancient Greek ' ""whole"" and ' ""silken"".",74,12920.69999999553,-24.110557556152344,medium,high,wiki,wiki,0,34,0_0,19,main_judgement,html-slider-response,15,190351,-0.2667997301850524
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"She clutched my wet hair, and we kissed.",81,4177.69999999553,-9.711538,short,high,bert,late,19959,5,6_1995,19,main_judgement,html-slider-response,16,194530,1.00571977972724
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,A delivery girl with a Ted-friendly takeoff.,74,5208.89999999851,-44.164436,short,high,bert,late,14959,8,5_1495,19,main_judgement,html-slider-response,17,199740,0.6996311511146017
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"During a meeting to discuss the screenplay, Ray Bradbury informed John Huston that regarding Melville's novel, he had ""never been able to read the damned thing"".",65,14414.80000000447,-35.39849853515625,long,high,wiki,wiki,0,48,0_0,19,main_judgement,html-slider-response,18,214155,-0.15237206797127917
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,The cover story on the firebombs exclaimed.,29,4487.80000000447,-22.512587,short,high,bert,late,14959,5,7_1495,19,main_judgement,html-slider-response,19,218644,-1.2680814613952156
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,Then Kevin would figure she'd be relaxed and had had more fun than she should have.,65,6170.5,-35.52574,medium,low,bert,late,37828,1,2_1990,19,main_judgement,html-slider-response,20,224816,-1.404209106237116
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"""Couple pricks"" was released as a separate single, ""nothin' but love"".",77,5377.79999999702,-30.670435,medium,low,bert,late,37923,4,9_1995,19,main_judgement,html-slider-response,21,230195,0.11233672849896885
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,I was going to throw on some clothes later.,72,15945.59999999404,-5.3169127,short,low,bert,late,9959,2,4_995,19,main_judgement,html-slider-response,23,250434,0.6121772572252765
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,Hit send again and reached for the stop light.,31,4692.80000000447,-17.081772,short,low,bert,late,14959,1,4_1495,19,main_judgement,html-slider-response,24,255128,-1.1806275675058904
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,This company purchased all the gold-bearing lands in the valley and began drilling artesian wells.,70,9508.90000000596,-16.138569,medium,high,bert,early,0,5,2_0,19,main_judgement,html-slider-response,25,264638,-0.7723150084304139
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"Honored by the Japanese Olympic Committee, Tan came fourth in the 2004 summer olympics in Sendai-Ku, Japan, and has won two Olympic swimming titles in swimming and diving.",85,10918.60000000149,-39.05242,long,low,bert,late,52009,0,1_1485,19,main_judgement,html-slider-response,26,275558,0.6094882718851167
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,But I've never seen Catherine wear that.,81,3057.8000000044703,-26.56792,short,low,bert,late,9959,2,1_995,19,main_judgement,html-slider-response,27,278617,1.00571977972724
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,It is affiliated to Vidyasagar University.,62,3112,-0.3252060711383819,short,high,wiki,wiki,0,7,0_0,19,main_judgement,html-slider-response,28,281730,0.17490778777865043
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"Glutamine and Glutamate, during acid build-up, undergo progressive thermogenetic degeneration mediated by hydrogen sulfide and triphosphate.",89,18030.89999999851,-15.026737,long,low,bert,late,48684,2,5_1390,19,main_judgement,html-slider-response,29,299762,0.7618603398563958
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,"""Hmmm, but I did sleep when I was a kid!"" ""bam bam bam bam!"" her green eyes quizzed him, asking him a million questions.",9,11279.19999999553,-21.113817,long,high,bert,late,59709,9,3_1705,19,main_judgement,html-slider-response,30,311043,-2.2855810195691872
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,Her voice is shaking with a barely audible breath.,66,4937.79999999702,-14.220595,short,low,bert,early,256,4,8_25,19,main_judgement,html-slider-response,31,315982,0.34981557555730086
prolific-pilot0,5eba5a3aa616f80119f6ef40,60b0093eadcf51c681c91fcf,West Bengal continues to be the name of the two halves of West Bengal and Odisha in India.,79,4732.79999999702,-22.742306,medium,high,bert,late,37923,8,6_1995,19,main_judgement,html-slider-response,32,320715,0.36509436762164965
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,It is proposed to increase citizen interaction with more legislative accountability to be added to formal legislative acts.,23,39688.98999999967,-45.73304,medium,low,bert,early,32,3,8_1,26,main_judgement,html-slider-response,5,290716,-1.681345614953415
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"The Rhinos finished their time in ARFU Division 6 with an impressive 88% Win-Loss record (7 wins, 1 loss), thus earning a promotion Division 3.",100,9526.31500000006,-54.83802032470703,long,high,wiki,wiki,0,20,0_0,26,main_judgement,html-slider-response,6,300244,1.1695082240771377
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,With his legal background he was a major influence on the first Danish Nature Conservation Act of 1917.,68,12084.659999999567,-33.8421630859375,medium,high,wiki,wiki,0,13,0_0,26,main_judgement,html-slider-response,7,312330,0.12009611535381534
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,A total of 9 nations were invited to participate.,67,26566.969999999856,-8.687564,short,high,bert,early,16,9,8_1,26,main_judgement,html-slider-response,8,338897,0.10950396198585495
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,It is currently the largest such complex in Russia.,10,4912.20000000071,-13.380422592163086,short,high,wiki,wiki,0,26,0_0,26,main_judgement,html-slider-response,9,343811,-1.6243087694568477
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"After spending the next several months in an Illinois hospital, Ellie was entrusted into the custody of her husband, John, whom she was pleased to discover was still very much alive.",73,28163.469999999506,-47.580086,long,high,bert,early,1,5,0_0,29,main_judgement,html-slider-response,5,159739,0.2544824023090644
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"They are raised as brother and sister, and Ja'far pays for Hamid's education.",39,9670.869999999879,-10.783734321594238,medium,high,wiki,wiki,0,28,0_0,26,main_judgement,html-slider-response,10,353483,-1.0408329997330663
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,Official route numbers generally increase moving north to communicate.,21,13941.330000001471,-50.78547,short,low,bert,early,2,4,3_0,29,main_judgement,html-slider-response,6,173686,-1.3491237894581503
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,He was waived from injured reserve on September 24.,69,13274.26999999443,-13.237730026245115,short,high,wiki,wiki,0,44,0_0,29,main_judgement,html-slider-response,7,186967,0.4699195221708163
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"However, in the tenth and final round, Prescott was knocked down and then hurt by a series of punches from Alvarado, which forced the referee to stop the fight.",88,11289.859999989858,-26.27457,long,high,bert,early,1,8,0_0,29,main_judgement,html-slider-response,8,198263,0.9485253176974218
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,The route numbers generally increase moving north to south.,86,17939.74000000162,-39.42032,short,low,bert,early,0,4,7_0,29,main_judgement,html-slider-response,9,216206,1.1141640283727419
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"This encapsulated ribosome is a recombinational ribosome containing three isoforms, beta-I, beta-II, and beta-V.",80,8526.965000026394,-12.133676,long,high,bert,late,69859,6,9_1995,29,main_judgement,html-slider-response,10,224739,0.5783690961569645
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,There was no time to precipitate.,38,5964.945000014268,-0.45558658,short,low,bert,late,9559,4,6_955,29,main_judgement,html-slider-response,12,238109,-0.7048792832562246
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"If both, and are cosmologically uniquely determined, then we have two mutual reductive components : the (I) component and the (II) component.",70,14007.444999995641,-23.635712,long,high,bert,late,69859,7,3_1995,29,main_judgement,html-slider-response,13,252124,0.1156738192313929
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,The station is currently managed by TfL Rail.,69,5115.95499998657,-3.1483030319213867,short,high,wiki,wiki,0,10,0_0,29,main_judgement,html-slider-response,14,257243,0.4699195221708163
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"""How many bridges?"" ""and too many trains,"" said Dimity from behind.",16,11058.68499999633,-26.934452,medium,high,bert,late,37923,5,7_1995,29,main_judgement,html-slider-response,15,268307,-0.7071067811865476
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"The distribution of ""Praticolella griseola"" includes Cuba and Costa Rica The non-indigenous distribution of ""Praticolella griseola"" includes Martinique.",26,7346.575000003213,-20.54501342773437,long,high,wiki,wiki,0,27,0_0,29,main_judgement,html-slider-response,16,275661,-1.9201853992411222
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,Then I just stepped into the light of that streetlamp and started hearing and seeing things.,100,6422.1099999849685,-13.113554,medium,low,bert,early,512,1,4_26,29,main_judgement,html-slider-response,17,282090,0.7071067811865476
prolific-pilot0,5ff78204dfb1e6464cbf5137,60b00b73563ab42a7d67140d,Mass production of Latvian euros began in July 2013.,72,48281.099999997765,-37.12205,short,low,bert,early,2,3,2_0,30,main_judgement,html-slider-response,5,234728,0.3137224121071752
prolific-pilot0,604def7a76cb955e441a7b40,60b00adb9f89ef0d89ded80f,"The brain waves are generated in the enclosed EEG headset, which allows the user to control the air stream with their concentration, thus lifting or lowering a delicate foam ball.",68,10180.289999989327,-94.53061,long,low,bert,early,4,3,4_0,29,main_judgement,html-slider-response,18,292276,0.02313476384627858
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"Cellar caves of soft-margin-plentiful and heterogeneous newt tativara purpura are found in Burkina Faso, Burkina Faso and Guinea Bissau.",38,146695.72999999946,-71.17881,long,high,bert,late,69859,6,5_1995,26,main_judgement,html-slider-response,11,500180,-1.9660381496648098
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"She was raised in the town Cordoba, Argentina.",100,9591.595000005327,-15.043057441711426,short,high,wiki,wiki,0,32,0_0,2,main_judgement,html-slider-response,5,108016,1.3176460572796205
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,The Hats eagerly caught at the opportunity of recovering the lost lands of their own prestige with money.,68,11709.51500000048,-75.88898,medium,low,bert,early,2,1,0_0,26,main_judgement,html-slider-response,13,515366,0.12009611535381534
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"If person wants to transport a bike in a Prague train, ticket for oversized luggage is needed.",9,19857.68499993719,-68.75542,medium,low,bert,early,0,2,0_0,2,main_judgement,html-slider-response,6,127877,-1.6636377657672807
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,Their goal is to venture over the moratorium.,66,5897.875000024214,-27.738605,short,low,bert,early,512,3,6_51,2,main_judgement,html-slider-response,7,133778,0.31090524947047227
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"The finals were held at the Beilun Sports and Arts Centre in Ningbo, China.",90,6909.959999960847,-21.367834091186523,medium,high,wiki,wiki,0,10,0_0,2,main_judgement,html-slider-response,8,140692,1.065570518326891
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"Lake Buchanan has fewer stored oxygen due to poor water quality than the other two lakes, and is fairly poor in terms of organic biomass and essentially an oligotrophic lake.",86,10245.149999973364,-54.14244,long,high,bert,early,32,7,6_0,2,main_judgement,html-slider-response,9,150941,0.873088229540044
prolific-pilot0,5ff78204dfb1e6464cbf5137,60b00b73563ab42a7d67140d,The sheet music was composed by Francis Peake.,33,74385.40000000224,-11.324283,short,high,bert,early,16,7,6_1,30,main_judgement,html-slider-response,6,309115,-0.8831967906060695
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"About 37% of the population attended lower secondary schools, while the majority attended higher secondary schools.",82,10882.530000060797,-11.455372,medium,high,bert,late,18923,7,0_995,2,main_judgement,html-slider-response,10,161827,0.7960190828608001
prolific-pilot0,5ff78204dfb1e6464cbf5137,60b00b73563ab42a7d67140d,"By the 1940s the AM broadcasting industry had adopted the Wardley-Parsons design for their new type yard CFL, two cross rotating airborne masts which had a different radiation pattern.",98,19694.10000000149,-118.386536,long,low,bert,early,16,0,9_0,30,main_judgement,html-slider-response,7,328811,1.213429904802826
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"""Ultra HD"" was selected by the Consumer Electronics Association after extensive consumer research, as the term has also been established with the introduction of ""Ultra HD Blu-ray"".",36,23008.015000028536,-39.70833587646485,long,high,wiki,wiki,0,13,0_0,2,main_judgement,html-slider-response,11,184837,-0.7071619596727052
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,Ali Popov's name was Princess Anna.,25,11592.960000038147,-32.26495,short,low,bert,early,8,2,9_0,2,main_judgement,html-slider-response,12,196435,-0.9031057246523242
prolific-pilot0,5ff78204dfb1e6464cbf5137,60b00b73563ab42a7d67140d,The length of the forewings is about 28mm.,100,36189,-5.218719,short,high,bert,late,9959,7,2_995,30,main_judgement,html-slider-response,8,365002,1.173049019183351
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"Of these, 37% (over 70) and 10% (over 75) are professionals.",18,14158.070000004955,-21.095201,medium,low,bert,late,37923,1,3_1995,2,main_judgement,html-slider-response,14,218769,-1.3603924008679282
prolific-pilot0,5d532c6854e9bb0017ed6b08,60b00afd926a0068f47bc622,"The flowering time is usually during the rainy season, and slows down as new plants appear.",90,17036.674999999377,-8.349829,medium,high,bert,early,128,6,4_6,1,main_judgement,html-slider-response,5,253687,0.9791890164050194
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,Many Swedish groups of the 1990s began to play a combination of D-beat with crust punk.,56,8466.83499997016,-49.43074035644531,medium,low,wiki,wiki,0,22,0_0,2,main_judgement,html-slider-response,15,227240,-0.08002308240399578
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"Robinson's valuable characteristic lies in his compilation of over 500 engraved canvases of mythological and historic materials, the system by which it was left unchallenged for long.",100,113654.80500000017,-82.11757,long,low,bert,early,64,4,0_1,26,main_judgement,html-slider-response,14,629022,1.1695082240771377
prolific-pilot0,5ff78204dfb1e6464cbf5137,60b00b73563ab42a7d67140d,"By the 1940s the AM conversion industry had abandoned the Blaw-Knox design for a modern type, spherical, shaped cross section survey mast, which had a ring radiation pattern.",33,22575,-122.32341,long,low,bert,early,8,0,0_0,30,main_judgement,html-slider-response,9,387579,-0.46075994026711076
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,"Ultimately, I'm quite trim in fashion.",75,6358.039999962784,-31.977028,short,low,bert,late,19959,4,4_1995,2,main_judgement,html-slider-response,16,233603,0.5773954633023056
prolific-pilot0,5d532c6854e9bb0017ed6b08,60b00afd926a0068f47bc622,"He was buried at Santa María Magdalena de Pazzis Cemetery in San Juan, Puerto Rico.",91,15418.79500000138,-13.01152801513672,medium,high,wiki,wiki,0,48,0_0,1,main_judgement,html-slider-response,6,269108,1.013546525752564
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"Had she lost her grip? Had she fallen into her original startup position? She spotted the hatch at the back of the plane, crouching in it nose to nose.",79,12375.619999999763,-42.924553,long,low,bert,late,69859,2,4_1995,26,main_judgement,html-slider-response,15,641399,0.10746832329357481
prolific-pilot0,5f96f554729eab02d6d69e63,60b00c0e28b1d710ed962eb3,Legislation is introduced to increase government efficiency with 264 new tasks to be attached to the legal system.,67,11686.075000092387,-46.860817,medium,low,bert,early,2,3,5_0,2,main_judgement,html-slider-response,17,245292,0.2906101413618794
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,She'd mentioned him several times that night.,100,7626.360000000219,-10.804977,short,low,bert,late,9959,4,3_995,26,main_judgement,html-slider-response,16,649026,1.1132902801895248
prolific-pilot0,5d532c6854e9bb0017ed6b08,60b00afd926a0068f47bc622,The newly elected president proposes an early recall strategy.,89,15703.099999998813,-30.907711,short,low,bert,early,32,1,9_3,1,main_judgement,html-slider-response,7,284814,0.4675292898558054
prolific-pilot0,5dd6f1d7c5faa268624c5037,60b00a80d8b4be55a2531120,"""You lead a simple life with your work ethic,"" she mercilessly snapped.",86,5945.384999999893,-13.149254000000001,medium,high,bert,late,37923,9,7_1995,26,main_judgement,html-slider-response,17,654973,0.8406728074767075
