sample_id,sent_id,sentence,prob_1,num_tokens_flag,sent_num_flag
61,327651,"Dopff au Moulin is a family winery from 1574 growing grapes on over 70 hectares located in Riquewihr, one of the most beautiful villages in France.",-83.74995422363281,1,1
62,1559274,"In the 1922 census of Palestine conducted by the British Mandate authorities, Ras had a population of 92 Muslims, increasing in the 1931 census to 119 Muslims, living in 26 houses.",-26.55423355102539,1,1
63,1693987,The amount of ash in the waste sorbent will depend on the fraction of the sorbent being removed and the ash and calorific content of the fuel.,-33.542694091796875,1,1
64,1871046,"In 1800 the population was 155,426 and ended the century with almost a million inhabitants (953,243), multiplying the population by about six times.",-49.28306579589844,1,1
65,1259667,"Arsenyev is a town in Primorsky Krai, Russia, located about northeast of Vladivostok, the administrative center of the krai.",-18.1124267578125,1,1
66,681213,"In 2008, ""People"" magazine ranked Madonna's look and attire at the ""Sex"" pre-release party as one of her 50 Looks We Can't Forget.",-60.38528823852539,1,1
67,410247,"Julius J. Lipner asserts that the lives of many Hindus have been leavened by the religious teachings of the ""sants"", which he describes as liberating.",-63.83732986450195,1,1
68,319040,"By the start of the 15th Century, the Wattasids had accumulated power while the Merinids were distracted attempting to repel Portuguese and Spanish invasions with the Granadans.",-60.7327995300293,1,1
69,764511,"He is usually credited under either his full name or as ""Michael A. Noonan"", so as to be distinguished from New Zealand-born Australian writer Michael Noonan.",-18.844642639160156,1,1
70,1675740,"The company hoped that GRNOPC1, a product derived from human embryonic stem cells, would stimulate nerve growth in patients with debilitating damage to the spinal cord.",-48.040313720703125,1,1
71,1867444,The name is descriptive and was given by the United Kingdom Antarctic Place-Names Committee (UK-APC) following surveys by the SGS in the period 1951–57.,-53.7017936706543,1,1
72,701560,"Sanchez believed that Miles fitted the haggard look and bought an Armani Exchange jacket, cut off the sleeves and added a hood, and that this outfit helped Leung to develop Miles.",-108.55294799804688,1,1
73,552496,"After beating Joo-yun unconscious, Kyung-chul kills her with a makeshift guillotine at his home and scatters her body parts into a local stream.",-56.75543975830078,1,1
74,547138,"In 2011–2012, the school became a provisional member of the NCAA, playing full NCAA schedules and required to operate under NCAA Division II regulations but was ineligible for postseason events.",-95.37744903564453,1,1
75,1297393,He refused to pray behind the official Salafi Wahabi Imams in Mecca and Medina appointed by King Saud and he would not obey an order to visit the King.,-57.8217887878418,1,1
76,1335025,"In April 1997, the acting immigration officer at the US Consulate-General, James DeBates, was suspended after his wife was arrested for smuggling of Chinese migrants into the United States.",-56.48481750488281,1,1
77,1146912,"Yamamoto was born in Kagoshima in Satsuma Province (now Kagoshima Prefecture) as the sixth son of ""samurai"" who served the Shimazu clan.",-20.484230041503906,1,1
78,1238525,"She played Emma Peel in the TV series ""The Avengers"" (1965–68) and Olenna Tyrell in ""Game of Thrones"" (2013–17).",-106.74769592285156,1,1
79,1818732,"Given the epistemological nature of Talisse's democratic theory, his work tends to engage questions about public discourse, argumentation, the media, and public ignorance.",-66.4192886352539,1,1
80,404643,Fina (テオ) is a young brown-haired adolescent girl who is saved by Diana from the slave market and who later becomes a slave of the nomads.,-60.74600601196289,1,1
81,476474,"That is, to make the ruling narrower than that in the precedent due to some difference in facts between the current and precedent case while supporting the result reached in the earlier case.",-75.57237243652344,1,1
82,16934,"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",-83.6002197265625,1,1
83,1175114,"""S"" was a Standard Series"" section car; ""A"" was an ""Advanced Series"" section car and ""M"" was the ""Master Series"" section car.",-45.816062927246094,1,1
84,988299,"Reid is currently Senior Vice President of Global Content for BuzzFeed, and has led many thought leadership keynotes on the subject of Creativity and content creation in the digital age.",-55.78412628173828,1,1
85,458851,"At the age of 10 he was recognized as the best striker at the children's tournament, after which Wahyt was invited to Ashgabat's sports boarding school.",-59.02177429199219,1,1
86,1156182,"An award winning feature documentary has been made about her life story called ""ruth weiss, the beat goddess"" directed by Melody C. Miller and produced by Elisabeth P. Montgomery.",-79.9122314453125,1,1
87,607146,"However he criticized the game's lack of originality, particularly what he saw as a striking resemblance to the Sega Genesis installments of the ""Shinobi"" series.",-18.316987991333008,1,1
88,341250,"The station, as well as the former fire equipment maintenance house, which is located behind it at 36 John Street, were listed on the National Register of Historic Places in 1989.",-44.4471435546875,1,1
89,1411242,The Korps Marechaussee te voet was a non-military corps established by the Dutch East Indies Government in 1890 to handle police duties help in military duties.,-80.87474060058594,1,1
90,1539717,The islands were endowed with a deep natural harbour – Blanche Harbour – which the Allies determined would be useful for supporting landing operations at Cape Torokina on Bougainville.,-88.48877716064453,1,1
91,387002,"Babies are being delivered by midwives using only a candle, and students cannot study when the sun goes down for lack of light leading to increased illiteracy and perpetual poverty.",-58.812232971191406,1,1
92,146458,"As such, the term ""detoxification"" may be somewhat of a misnomer since the process need not refer exclusively to the removal of toxic substances from the body.",-31.309057235717773,1,1
93,1457937,"The government and church together built new churches to replace those demolished during the Revolution and the Directory, and refilled the ranks of the clergy, greatly reduced during the Revolution.",-54.0831413269043,1,1
94,770561,"In April 1643, aware of the problems besetting the home-country, Governor Leonard Calvert departed Maryland to consult with his brother, Proprietor Cecil Calvert, 2nd Baron Baltimore.",-68.919189453125,1,1
95,1007745,"Five months after his appointment, Rosenior left the club, after a run of 16 games without a win, which culminated in a 4–0 home defeat to Crewe Alexandra.",-60.507347106933594,1,1
96,1841242,"The number of deaths by COVID is also an underestimate because only confirmed cases are considered, and because many people die at home or in nursing homes without being tested.",-50.76310729980469,1,1
97,1164082,"In September 1945 OND was replaced by a new organization, the ""Ente Nazionale Assistenza Lavoratori"" (ENAL), headquartered in Rome.",-51.680030822753906,1,1
98,1774869,"The store used publicity devices such as a store Santa Claus, themed exhibits, and illuminated window displays to draw in customers giving rise to the notion of ‘window shopping.’.",-105.98157501220703,1,1
99,174009,The 2005 Liga de Fútbol Profesional Boliviano or the Torneo Adecuación was a professional football tournament played by clubs of Bolivia's first division.,-31.857086181640625,1,1
100,773340,"In the long term, the decrease in population caused a shortage of labour, with subsequent rise in wages, resisted by the landowners, which caused deep resentment among the lower classes.",-49.81336975097656,1,1
101,435452,"As the saw is pulled toward the operator, the cutters score the wood to the left and right of the width of the blade, cutting a channel downward into the wood.",-81.25907897949219,1,1
102,951488,Naval crews initially used to operate the installed naval guns and machine guns were replaced with Army personnel who were more aware of the infantry tactics with which the tanks were intended to cooperate.,-70.18653869628906,1,1
103,1095629,"The Third Presbyterian Church of Birmingham, Alabama is a Presbyterian church located on the city's Southside at 617 22nd Street South, at the corner of 7th Avenue South.",-36.20656204223633,1,1
104,1571046,"Her mother, Hanna Sophie Theresia Bull (1810–1854), was a cousin of Marcus Thrane (1817–1890), leader of the first Norwegian labour union.",-124.77381896972656,1,1
105,1639092,"The sections paralleling the rivers gradually move inward, away from their respective rivers, and approach one another in a pincer-like formation at the northeastern half of the peninsula.",-65.0219955444336,1,1
106,1816512,The 7206th Air Base Group remained the primary USAF unit at the airport with the 6916th Security Squadron providing electronic aerial surveillance of the eastern Mediterranean and the Middle East).,-95.48725891113281,1,1
107,50597,"In either 1253 or 1254, Albin was an assessor at a court held by the Justiciar of Scotia, Alexander Comyn, Earl of Buchan.",-27.091297149658203,1,1
108,1269054,"For the Amstrad PCW, introduced in 1985, Locomotive produced the LocoScript word processor and Mallard BASIC, and also wrote the PCW's User Guide.",-64.13963317871094,1,1
109,1911899,"When Weaver left the club in 2019, Patel took over the role, becoming the club's Head of Talent Pathway and working alongside for women's coach Mark Dekker.",-77.95756530761719,1,1
110,1877364,"A soldier, his face darkened from the muck of the trenches, gazes beyond the viewer into No Man's Land with eyes that shine as if from an inward light.",-54.66415023803711,1,1
111,431959,"In 1363 he acquired the County of Tyrol from the last Meinhardiner countess Margraret and the next year added ""Duke of Carniola"" to his titles.",-60.692134857177734,1,1
112,1025619,"It was still assigned to the 2nd Brigade when it fought in the Battle of Pea Ridge (Elkhorn Tavern) in Benton County, Arkansas, March 7–8, 1862.",-84.86437225341797,1,1
113,158713,"Westwood One radio broadcast the game nationally, with Kevin Kugler on play-by-play, Tony Boselli on color commentary, and Laura Okmin on the sidelines.",-60.2913932800293,1,1
114,1740564,"The film debuted at number 2 on the Philippine box office behind another Filipino film, ""This Guy's In Love With You Mare"", which was on its second week.",-48.72172164916992,1,1
115,1761263,"Plocoglottis is a genus of orchids (family Orchidaceae), native to Southeast Asia and to various islands from the Andaman Islands to the Solomons.",-22.175186157226562,1,1
116,993462,"Organised by the World Athletics, the competition was inaugurated as the ""World Indoor Games"" in 1985 in Paris, France and were subsequently renamed to IAAF World Indoor Championships in 1987.",-48.61476135253906,1,1
117,999730,"With the exception of some inland settlements such as Alvastra pile-dwelling, the settlements are located near those of the previous Ertebølle culture on the coast.",-68.17125701904297,1,1
118,1536491,"In modern times, cutting down a tree which houses a kodama is thought to bring misfortune and such trees are often marked with ""shimenawa"" rope.",-56.787567138671875,1,1
119,1107581,There are two general types of meniscus injuries: acute tears that are often the result of trauma or a sports injury and chronic or wear-and-tear type tears.,-38.75812530517578,1,1
120,128897,"Learning that Gallego has quit Havana, Anthony leaves to take control of Gallego & Sons' only remaining asset—a slave trading post on the Pongo River in Africa.",-81.08517456054688,1,1
121,224196,"As a part of Combat Command B, LTC Cairns was later involved in the breakout from Anzio and the advance toward Rome under the command of then Colonel Ham Howze.",-75.53790283203125,1,1
122,165252,"In the week following the draw, the club opted to not appeal the suspension, resulting in the Albanian striker missing the 1–0 home defeat to Newcastle Jets the following week.",-72.8209228515625,1,1
123,123230,"Boston's misfortunes continued into the next season, with Bird again finishing second in MVP voting to Malone and the team losing in the Conference Semifinals to the Milwaukee Bucks.",-36.58625793457031,1,1
124,414924,"The Bukusu tribe, who occupy much of the county, are resilient and flamboyant people who stood up against British rule in the late 19th century.",-29.12552833557129,1,1
125,743390,"At the age of 25 he joined the ensemble of the Dresden Hofoper where he was named Kammersänger, ""Chamber Singer to the Saxon Grand Duke"" in 1884.",-47.54115295410156,1,1
126,518937,"During his time there, he also had loans to Ipswich Town, Rotherham United and Sheffield United, before returning to Scotland by signing for Heart of Midlothian in June 2016.",-29.41925048828125,1,1
127,1095891,The proportion of Armenian was around 40% prior to World War I. Nakhichevan was disputed between Armenia and Azerbaijan from 1918 to 1920 during the countries' brief independence.,-27.491859436035156,1,1
128,41022,"After spending the next several months in an Illinois hospital, Ellie was released into the custody of her husband, John, whom she was pleased to discover was still very much alive.",-35.544578552246094,1,1
129,107783,"Other highland groups included the Tzʼutujil around Lake Atitlán, the Mam in the western highlands and the Poqomam in the eastern highlands.",-64.31484985351562,1,1
130,1239641,"They were replaced by Fred Quimby, who later hired Harman and Ising back, though Bosko did not make any appearances in subsequent MGM subjects produced by them.",-85.3896484375,1,1
131,935002,"After much deliberation, Lynette decides to pay Mrs. Shilling off, but this backfires when Porter disappears, claiming that he wants to be with her.",-32.62221145629883,1,1
132,499693,"Krawno is a village in the administrative district of Gmina Piecki, within Mrągowo County, Warmian-Masurian Voivodeship, in northern Poland.",-11.337320327758789,1,1
133,1159163,"Typically, there would need to be 20–30 tasks for this to be reasonable, and each of the estimates E for the individual tasks would have to be unbiased.",-92.88986206054688,1,1
134,681726,"His parents were George William Domhoff Sr., a loan executive, and Helen S. (Cornett) Domhoff, a secretary at George Sr.'s company.",-53.525245666503906,1,1
135,1797005,He assumed the Emirate after Musa'id's death on 27 Muharram 1184 AH and received his investiture from the Qadi of Mecca.,-39.51476287841797,1,1
136,257953,"Navigating the hostile streets and alleyways, they find evidence of Carmelo's Anti-Purge group gaining the upper hand against the purgers and the NFFA.",-68.55445861816406,1,1
137,1087184,"It was named the Best PlayStation 2 game at the 1st British Academy Games Awards, the Golden Joystick Awards, and from ""Entertainment Weekly"", IGN, and GameSpot.",-22.640544891357422,1,1
138,359017,"He ""expressed his delight and inquired about the number and size of the warships, immediately thereafter he asked if the Prussians maintained colonies or had the intention to acquire them.""",-81.35022735595703,1,1
139,388088,"Once in Arangkhôr Carter accidentally falls into the well-like teleportation device himself, and is duly transported to the jungle moon as Jandar had been.",-118.95948791503906,1,1
140,1882120,"Though the Shawneehaw Creek is similar to many other streams in the North Carolina mountain, it has one unique bridge which actually fords the creek instead of crossing over it.",-61.11341857910156,1,1
141,1292851,"The player uses a deck based on the selected Planeswalker, and as they complete each of the duels, enhance that deck though the pre-selected addition of new cards.",-75.22870635986328,1,1
142,435722,"Sam Walton of Walmart wrote in his book ""Made in America"" that he ""borrowed"" ""as many ideas from Sol Price as from anybody else in the business"".",-44.63904571533203,1,1
143,710023,"The 2007–08 A1 Grand Prix of Nations, South Africa is an A1 Grand Prix race, held on 24 February 2008 at the Durban street circuit in Durban, South Africa.",-60.724884033203125,1,1
144,808494,"Signature menu items included flights of caviar and Siberian Nachos (smoked salmon, wasabi cream, chives, and tobiko topped wonton chips).",-88.43856048583984,1,1
145,494610,The author provides clear and concise detail into the workings of a killer's mind and what society can do as a whole to prevent such future tragedies from happening.,-52.88044738769531,1,1
146,1888842,"More specifically, it is a complex function of the position in the pupil or aperture (often an iris) that indicates the relative change in amplitude and phase of the light wave.",-55.286834716796875,1,1
147,1439993,The Confederate march was held up before the troops could reach Amelia Springs because a bridge was out at Flat Creek which needed to be repaired to allow the passage of wagons and artillery.,-77.02203369140625,1,1
148,1884074,"Italy over the ages has had a vast influence on Western philosophy, beginning with the Greeks and Romans, and going onto Renaissance humanism, the Age of Enlightenment and modern philosophy.",-40.44788360595703,1,1
149,1342627,"Apart from the London painting, he also commissioned at least two miniatures showing himself with family members, a type of subject that was rare in Persia but common among the Mughals.",-59.539119720458984,1,1
150,1532784,"Security contractor Kerry Danes formally agreed to handle all affairs for GML prior to two of their founders fleeing Laos on 28 May 2000 to Bangkok, Thailand (and later Denmark).",-103.3042984008789,1,1
151,1400158,"La Roda is one of four parishes (administrative divisions) in Tapia de Casariego, a municipality within the province and autonomous community of Asturias, in northern Spain.",-24.873462677001953,1,1
152,728107,"Upfront, Ambrose closed the gap to Kenseth, and he overtook him for the lead on lap 49 despite the presence of Ken Schrader's slower car.",-32.74467849731445,1,1
153,332928,"Jesús Eduardo Zavala Castañeda (born 21 July 1987 in Monterrey, Nuevo León) is a Mexican footballer who currently plays as a midfielder for Puebla in Liga MX.",-19.96466064453125,1,1
154,835253,"The Namib-Naukluft Park is a national park in western Namibia, situated between the coast of the Atlantic Ocean and the edge of the Great Escarpment.",-45.1189079284668,1,1
155,456133,"After Gustavo kills some whiny slaves, another organized a breakout, which Gustavo and his men killed, Cardo was spotted by sentries, which a gunfight started.",-85.28767395019531,1,1
156,1396121,"The route excites climbers not so much because of its technical difficulty, but due to its overhanging exposed nature, and the resultant demands on the human psyche.",-43.735939025878906,1,1
157,1906042,"Structure editors also require extensive support for each language, and thus are harder to extend to new languages than text editors, where basic support only requires supporting syntax highlighting or indentation.",-56.98262023925781,1,1
158,1356015,"The opening theme is ""Lucky Girl ni Hanataba wo"" and the ending theme is ""Wasurenaide,"" both performed by Tatsuro Yamashita.",-59.56448745727539,1,1
159,1703846,"Actor Nakamura Shikan II as Satake Shinjūrō is an ""ukiyo-e"" woodblock print by Osaka-based late Edo period print designer (fl.",-88.5850830078125,1,1
160,1372843,"The tough tackling left back - he was sent off a total of 13 times - has since played for Monaghan United Dundalk, Newry Town and Cliftonville.",-34.202789306640625,1,1
161,1745404,State law permits alcohol sales between 5 a.m. and 1 a.m. the following day with additional time allowed for the early morning on New Year's Day.,-46.46958923339844,1,1
162,1296491,"Some studies have suggested that ""R. multiformis"" may have originated as a hybrid between ""R. setosus"" and ""R. flagellaris. """,-12.698945999145508,1,1
163,383403,It was shot in Technicolor by more than a dozen cameramen and was created in cooperation with the National Audubon Society and the Denver Museum of Natural History.,-16.612812042236328,1,1
164,235310,"Most of the stones are constructed of plaster applied to a wire mesh frame; however, two of the central stones are real, large, and probably unmovable without heavy equipment.",-79.87997436523438,1,1
165,1573165,"An Banshenchas (literally ""the woman lore"") is a medieval text which collects brief descriptions of prominent women in Irish legend and history into a poetic narrative.",-90.04574584960938,1,1
166,332081,"Amid the social breakdown, Pierrot falls out with the bride he was about to marry at the start of the play and she becomes engaged instead to a social upstart.",-48.378780364990234,1,1
167,1334681,"""Sunstorm"" opens with the last chapter of ""Time's Eye"" as its initial chapter, and Bisesa Dutt is in London, reunited with her daughter.",-94.59049224853516,1,1
168,1291871,"""Ultra HD"" was selected by the Consumer Electronics Association after extensive consumer research, as the term has also been established with the introduction of ""Ultra HD Blu-ray"".",-39.708335876464844,1,1
169,732173,Chomsky states that the Occupy movement's demands are those of the majority of the U.S. population: to solve the problem of social inequality in the country.,-28.500690460205078,1,1
170,1665467,"An editor-in-chief of the ""Neue Freie Presse"" before WW2, he founded the Austrian daily newspaper ""Die Presse"" in 1946.",-31.580036163330078,1,1
171,1318795,"As a spy at the Hildesheim Congress he was seen as a revolutionist, a reaction which he also encountered at Berlin and on a mission to St. Petersburg.",-56.419986724853516,1,1
172,700478,"In the beginning of the Saint Seiya original series, battles are fought to win back the control of the Sanctuary from Gemini Saga, the impersonator of the former Pope.",-65.17933654785156,1,1
173,1720376,"Given a constant ""R""≥1, an object ""o"" is called ""R""-fat if its ""slimness factor"" is at most ""R"".",-72.812255859375,1,1
174,1494964,"From the bird's-eye view, siheyuan houses resembles the Chinese character hui, which represents the Hui people, a minority Muslim people in northwest China.",-54.83089828491211,1,1
175,1514496,"Pedro Rodríguez y Lazala (1869 – October 25, 1932), also known as Nyoy Endong and the Grand Old Man of Bogo was a Filipino politician.",-118.18050384521484,1,1
176,489675,"Rather than funnel 100 percent of the state's tobacco settlement revenues into the general fund, Huckabee campaigned to put it in the state's health care system.",-57.234466552734375,1,1
177,1161607,"Through his brother Gerhard he was an uncle of Fredrik Herman Gade and John Allyne Gade, and through his wife he was an uncle of Fredrik Barbe Wallem.",-63.83795928955078,1,1
178,608507,"The word Karagöz is a Turkish word literally meaning ""a black eye"", but it is a specific type of theatre in North Macedonia as in many other Balkan countries.",-53.63528823852539,1,1
179,955217,"The link between politics and religion had been reinforced under the mandate of the French colonial powers from 1920 to 1943, and the parliamentary structure favored a leading position for its Christian population.",-73.08283996582031,1,1
180,666722,"Many Spaniards born in the Philippines and those of mixed ancestry were wealthy, and an influx of Hispanic American immigrants opened up government positions traditionally held by Spaniards born in the Iberian Peninsula.",-43.93014144897461,1,1
181,1617527,"""The Idiot Weekly"" (1958–1962) was an Australian radio comedy series written by and starring Milligan with an Australian supporting cast including Ray Barrett and John Bluthal.",-102.68275451660156,1,1
182,128758,These works made the concept of the process of insect ecological succession on a corpse understandable and interesting to an ordinary reader in a way that no other previous scientific work had done.,-66.67088317871094,1,1
