index,initial_sentence,batch_num,iter_num,chain 0,chain 1,chain 2,chain 3,chain 4,chain 5,chain 6,chain 7,chain 8,chain 9
10,[CLS] Nor did he know the difference between hot and cold. [SEP],0,10,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
11,[CLS] Nor did he know the difference between hot and cold. [SEP],0,11,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
12,[CLS] Nor did he know the difference between hot and cold. [SEP],0,12,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
13,[CLS] Nor did he know the difference between hot and cold. [SEP],0,13,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
14,[CLS] Nor did he know the difference between hot and cold. [SEP],0,14,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
15,[CLS] Nor did he know the difference between hot and cold. [SEP],0,15,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
16,[CLS] Nor did he know the difference between hot and cold. [SEP],0,16,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
17,[CLS] Nor did he know the difference between hot and cold. [SEP],0,17,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
18,[CLS] Nor did he know the difference between hot and cold. [SEP],0,18,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
19,[CLS] Nor did he know the difference between hot and cold. [SEP],0,19,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
20,[CLS] Nor did he know the difference between hot and cold. [SEP],0,20,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
21,[CLS] Nor did he know the difference between hot and cold. [SEP],0,21,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
22,[CLS] Nor did he know the difference between hot and cold. [SEP],0,22,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
23,[CLS] Nor did he know the difference between hot and cold. [SEP],0,23,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
24,[CLS] Nor did he know the difference between hot and cold. [SEP],0,24,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
25,[CLS] Nor did he know the difference between hot and cold. [SEP],0,25,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
26,[CLS] Nor did he know the difference between hot and cold. [SEP],0,26,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
27,[CLS] Nor did he know the difference between hot and cold. [SEP],0,27,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
28,[CLS] Nor did he know the difference between hot and cold. [SEP],0,28,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
29,[CLS] Nor did he know the difference between hot and cold. [SEP],0,29,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
30,[CLS] Nor did he know the difference between hot and cold. [SEP],0,30,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
31,[CLS] Nor did he know the difference between hot and cold. [SEP],0,31,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
32,[CLS] Nor did he know the difference between hot and cold. [SEP],0,32,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
33,[CLS] Nor did he know the difference between hot and cold. [SEP],0,33,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
34,[CLS] Nor did he know the difference between hot and cold. [SEP],0,34,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
35,[CLS] Nor did he know the difference between hot and cold. [SEP],0,35,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
36,[CLS] Nor did he know the difference between hot and cold. [SEP],0,36,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
37,[CLS] Nor did he know the difference between hot and cold. [SEP],0,37,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
38,[CLS] Nor did he know the difference between hot and cold. [SEP],0,38,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
39,[CLS] Nor did he know the difference between hot and cold. [SEP],0,39,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
40,[CLS] Nor did he know the difference between hot and cold. [SEP],0,40,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
41,[CLS] Nor did he know the difference between hot and cold. [SEP],0,41,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
42,[CLS] Nor did he know the difference between hot and cold. [SEP],0,42,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
43,[CLS] Nor did he know the difference between hot and cold. [SEP],0,43,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
44,[CLS] Nor did he know the difference between hot and cold. [SEP],0,44,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
45,[CLS] Nor did he know the difference between hot and cold. [SEP],0,45,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
46,[CLS] Nor did he know the difference between hot and cold. [SEP],0,46,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
