index,initial_sentence,batch_num,iter_num,chain 0,chain 1,chain 2,chain 3,chain 4,chain 5,chain 6,chain 7,chain 8,chain 9
16,[CLS] Nor did he know the difference between hot and cold. [SEP],0,16,[CLS] Neither can you tell the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between cold or hot. [SEP],[CLS] Neither do they recognize the distinction between heated and cold. [SEP],[CLS] Nor does it reflect the divide between hot and cold. [SEP],[CLS] Little did Riley know the difference between hot and cold. [SEP],[CLS] Little did Mallory know the difference between hot and cold. [SEP],[CLS] Nor did he recognize the difference between warm and cold. [SEP],[CLS] Nor do we have a choice between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Neither will he know the difference between hot or cold. [SEP]
17,[CLS] Nor did he know the difference between hot and cold. [SEP],0,17,[CLS] Nor could she tell the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between cold and warm ; [SEP],[CLS] nor did he recognize the distinction between hot and cold. [SEP],[CLS] Nor did she cross the lines between warm and cold. [SEP],[CLS] Little did Riley know the difference between hot and cold. [SEP],[CLS] Little did I know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do you have a choice between hot or cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP]
18,[CLS] Nor did he know the difference between hot and cold. [SEP],0,18,[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor did it mean the difference between cold and warm. [SEP],[CLS] Nor would he make the distinction between hot and cold. [SEP],[CLS] Nor does it cross the boundary between warm and cold. [SEP],[CLS] Nor did Riley know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor do you have a choice : hot or cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] nor does he know the difference between hot and cold. [SEP]
19,[CLS] Nor did he know the difference between hot and cold. [SEP],0,19,[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor could it mean the difference between cold and warm. [SEP],[CLS] Nor could I make a choice between hot and cold. [SEP],[CLS] Nor does it cross the boundary between warm and cold. [SEP],[CLS] Nor did Riley recognize the difference between heat and cold ; [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot or cold. [SEP],[CLS] Nor do you have a choice of hot or cold. [SEP],[CLS] Little do you know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
20,[CLS] Nor did he know the difference between hot and cold. [SEP],0,20,[CLS] Nor can they tell the difference between hot and cold. [SEP],[CLS] Nor did it mean the difference between cold or warm. [SEP],[CLS] Nor could she make a choice between hot or cold. [SEP],[CLS] Neither does it determine the boundary between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little do they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you have a choice of hot or cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP]
21,[CLS] Nor did he know the difference between hot and cold. [SEP],0,21,[CLS] Nor can you tell the difference between hot and cold. [SEP],[CLS] Nor did it mean the difference between cold and hot. [SEP],[CLS] Nor did he make any distinction between hot and cold. [SEP],[CLS] nor does it regulate the relation between warm and cold ; [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor do you have the choice of warm or cold. [SEP],[CLS] Little did he understand the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between warm and cold. [SEP]
22,[CLS] Nor did he know the difference between hot and cold. [SEP],0,22,[CLS] Nor can you tell the difference between warm and cold. [SEP],[CLS] Nor does he know the difference between cold and warm. [SEP],[CLS] Nor did he make any distinction between hot and cold. [SEP],[CLS] nor does it express the contrast of warm and cold ; [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you mind the concept of hot or cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP]
23,[CLS] Nor did he know the difference between hot and cold. [SEP],0,23,[CLS] Nor could they tell the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between chill and warmth. [SEP],[CLS] Nor did he make any distinction between hot and cold. [SEP],[CLS] nor does it express the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor do I mind the choice of hot or cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Neither do we know the difference between hot or cold. [SEP]
24,[CLS] Nor did he know the difference between hot and cold. [SEP],0,24,[CLS] Nor could he tell the difference between warm and icy. [SEP],[CLS] Little did he know the difference between chill and shiver. [SEP],[CLS] Nor did I make any distinction between hot and cold. [SEP],[CLS] nor does it express the difference between hot and cold ; [SEP],[CLS] Nor did he recognize the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor do I mind the choice of hot or cold. [SEP],[CLS] Nor did she know the difference between warm and cold. [SEP],[CLS] Nor do we know the difference between hot or cold. [SEP]
25,[CLS] Nor did he know the difference between hot and cold. [SEP],0,25,[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between shake and shiver. [SEP],[CLS] Nor did he make any distinction between hot and cold. [SEP],[CLS] nor does it express the difference between hot and cold ; [SEP],[CLS] Neither did she recognize the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between warm and cold. [SEP],[CLS] Nor do I mind the choice between heat or cold. [SEP],[CLS] Nor did she feel the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warm and cold. [SEP]
26,[CLS] Nor did he know the difference between hot and cold. [SEP],0,26,[CLS] Nor could they tell the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between shiver and shiver. [SEP],[CLS] Nor could he make the distinction between hot and cold. [SEP],[CLS] nor does it express the difference between warm and cold. [SEP],[CLS] Neither did she recognize the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor do I have the choice between hot and cold. [SEP],[CLS] Nor could she tell the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warm and cold. [SEP]
27,[CLS] Nor did he know the difference between hot and cold. [SEP],0,27,[CLS] Nor can one measure the difference between hot and cold. [SEP],[CLS] Little did Ivy know the difference between shiver and shiver. [SEP],[CLS] Nor could he make a decision between hot and cold. [SEP],[CLS] nor does it express the difference between warm and cold. [SEP],[CLS] Neither did he recognize the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Neither would he face the choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warm and cold. [SEP]
28,[CLS] Nor did he know the difference between hot and cold. [SEP],0,28,[CLS] Nor can we tell the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between shiver and shiver. [SEP],[CLS] Nor could she make a distinction between hot and cold. [SEP],[CLS] Nor can it tell the difference between warm and cold. [SEP],[CLS] Neither did I recognize the difference between hot and cold. [SEP],[CLS] Little did she know the difference between warmth and cold. [SEP],[CLS] Little did I know the difference between warm and cold. [SEP],[CLS] Nor did she face the choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warm and cold. [SEP]
29,[CLS] Nor did he know the difference between hot and cold. [SEP],0,29,[CLS] Nor can you tell the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between shiver and shiver. [SEP],[CLS] Nor could he make a choice between warm or cold. [SEP],[CLS] Nor could it tell the difference between hot and cold. [SEP],[CLS] Neither did she understand the distinction between hot and cold. [SEP],[CLS] Nor did he care the difference between hot and cold. [SEP],[CLS] Little did I know the difference between warm and cold. [SEP],[CLS] Nor could she face a choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between heat and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP]
30,[CLS] Nor did he know the difference between hot and cold. [SEP],0,30,[CLS] Nor could they tell the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor could she make a choice between warm or cold. [SEP],[CLS] Nor could they tell the difference between hot or cold. [SEP],[CLS] Neither would she know the difference between heat and cold. [SEP],[CLS] Nor did he feel the difference between hot and cold. [SEP],[CLS] Nor did Julio know the difference between hot and cold. [SEP],[CLS] Nor would she face the choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP]
31,[CLS] Nor did he know the difference between hot and cold. [SEP],0,31,[CLS] Nor can I tell the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between shiver and shiver. [SEP],[CLS] Neither could he make a choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor could she face the choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot or cold. [SEP]
32,[CLS] Nor did he know the difference between hot and cold. [SEP],0,32,[CLS] Nor did I feel the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between shiver and shiver. [SEP],[CLS] Nor could he make a distinction between hot and cold. [SEP],[CLS] Nor did I see the change between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor could she face the choice between hot or cold. [SEP],[CLS] Nor could she tell the difference between warmth and cold. [SEP],[CLS] Nor did they know the difference between hot or cold. [SEP]
33,[CLS] Nor did he know the difference between hot and cold. [SEP],0,33,[CLS] Nor do I know the difference between hot and cool. [SEP],[CLS] Nor do you know the difference between shiver and shiver. [SEP],[CLS] Nor could he make a distinction between hot and cold. [SEP],[CLS] Nor did he recognize the change between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Neither could I make the choice between hot and cold. [SEP],[CLS] Nor could they tell the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between warmth and cold. [SEP]
34,[CLS] Nor did he know the difference between hot and cold. [SEP],0,34,[CLS] Nor do you know the difference between heat and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor could one make a distinction between hot and cold. [SEP],[CLS] Nor did she notice a change between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Neither could he make a choice between hot and cold. [SEP],[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP]
35,[CLS] Nor did he know the difference between hot and cold. [SEP],0,35,[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does man have a choice between hot and cold. [SEP],[CLS] Nor did they know the difference between warm and cold. [SEP],[CLS] Neither does he notice the difference between heat and cold. [SEP],[CLS] Nor do they know the difference between hot or cold. [SEP],[CLS] Nor does he know the difference between heat and cold. [SEP],[CLS] Nor could he make a choice between hot or cold. [SEP],[CLS] Nor could you tell the difference between hot and cold. [SEP],[CLS] Neither did they know the difference between hot and cold. [SEP]
36,[CLS] Nor did he know the difference between hot and cold. [SEP],0,36,[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between shiver and shiver. [SEP],[CLS] Nor does man have a choice between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Neither does he notice the difference between warm and cold. [SEP],[CLS] Neither do I know the difference between hot and cold. [SEP],[CLS] Nor does it tell the difference between warm and cold. [SEP],"[CLS] Nor could he make a choice, hot or cold. [SEP]",[CLS] Nor could he tell the difference between hot and cold. [SEP],[CLS] Nor could they understand the difference between hot and cold. [SEP]
37,[CLS] Nor did he know the difference between hot and cold. [SEP],0,37,[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between shiver and shiver. [SEP],[CLS] Nor does one need a choice between hot or cold. [SEP],[CLS] little did they know the difference between hot and cool. [SEP],[CLS] Nor does he notice the distinction between warm and cold. [SEP],[CLS] Neither do I know the difference between warm and cold. [SEP],[CLS] Nor does gold know the difference between hot and cold. [SEP],"[CLS] Nor could he make a mistake, hot or cold. [SEP]",[CLS] Nor could I tell the difference between warm and cold. [SEP],[CLS] Nor could they understand the differences between warm and cool. [SEP]
38,[CLS] Nor did he know the difference between hot and cold. [SEP],0,38,[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between shiver and shiver. [SEP],[CLS] Nor does one have a choice between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did I sense a difference between warm and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Little does gold know the difference between hot and cold. [SEP],"[CLS] Never would she make a mistake, hot or cold. [SEP]",[CLS] Nor can I tell the difference between warm and cold. [SEP],[CLS] Nor do men desire the differences between hot and cold. [SEP]
39,[CLS] Nor did he know the difference between hot and cold. [SEP],0,39,[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between shiver and shiver. [SEP],[CLS] Nor does one have a choice between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did I sense a difference between warm and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor would he know the difference between hot and cold. [SEP],"[CLS] Never would he make a mistake, hot or cold. [SEP]",[CLS] Nor can you tell a difference between hot and cold. [SEP],[CLS] Nor would men desire the differences between hot and cold. [SEP]
40,[CLS] Nor did he know the difference between hot and cold. [SEP],0,40,[CLS] Nor do people know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does one have a choice between hot or cold. [SEP],[CLS] Nor do you know the difference between warm and cold. [SEP],[CLS] Nor did she sense any difference between warm and cool. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],"[CLS] Never would he make a mistake, hot or cold. [SEP]",[CLS] Nor can you tell the difference between warm and cold. [SEP],[CLS] Nor do men like the change between hot and cold. [SEP]
41,[CLS] Nor did he know the difference between hot and cold. [SEP],0,41,[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does one have any choice between hot and cold. [SEP],[CLS] Nor do you know the difference between heat and cold. [SEP],[CLS] Nor did he sense any energy both warm and cool. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between warm and cold. [SEP],"[CLS] Never would he make a mistake, hot or cold. [SEP]",[CLS] Neither can you tell the difference between hot and cold. [SEP],[CLS] Nor do I like the balance between heat and cold. [SEP]
42,[CLS] Nor did he know the difference between hot and cold. [SEP],0,42,[CLS] Nor do we know the difference between warm and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does man have a choice between hot and cold. [SEP],[CLS] Nor do I know the difference between warm and cold. [SEP],[CLS] Nor did he sense any energy both hot and cool. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],"[CLS] Never would she make another mistake, hot or cold. [SEP]",[CLS] Neither can you tell the difference between warm and cold. [SEP],[CLS] Nor do I like the balance between hot and cold. [SEP]
43,[CLS] Nor did he know the difference between hot and cold. [SEP],0,43,[CLS] Neither do we know the difference between warm and cold ; [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does man have any choice between warm and cold. [SEP],[CLS] Nor do we know the difference between warmth and cold. [SEP],[CLS] Nor did he feel an emotion both hot and cool. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],"[CLS] Never would she make another mistake, hot or cold. [SEP]",[CLS] Neither can you tell the difference between warm and cold. [SEP],[CLS] Nor do I like this balance between hot and cold. [SEP]
44,[CLS] Nor did he know the difference between hot and cold. [SEP],0,44,[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between shiver and shiver. [SEP],[CLS] Nor does man have a choice between hot and cold. [SEP],[CLS] nor do they know the difference between hot and cold ; [SEP],[CLS] Never did she feel an emotion both hot and cool. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],"[CLS] Never would she make a mistake, hot or cold. [SEP]",[CLS] Neither can you tell the difference between hot and cold. [SEP],[CLS] Nor do I like this balance between hot and cold. [SEP]
45,[CLS] Nor did he know the difference between hot and cold. [SEP],0,45,[CLS] Nor do I know the difference between warmth and cold. [SEP],[CLS] Nor do I know the difference between shiver and shiver. [SEP],[CLS] Nor does man have a choice between warm and cold. [SEP],[CLS] nor do they know the difference between heat and cold ; [SEP],[CLS] Never did she feel an emotion both hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],"[CLS] Never would he make a mistake, hot or cold. [SEP]",[CLS] Nor can we tell the difference between hot and cold. [SEP],[CLS] Nor did I like this space between hot and cold. [SEP]
