sentence,sent_length,source,sentence_num,id,step,phase,prob_class,prob,group_id
Kosaryanik served as president of the Eastern Church Byzantine society for about nine years (which in turn supported the Armenian church of Zembart for about twenty years).,long,bert,1,9_1995,69859,late,low,-70.99058,5
""" I let her go! I caught her! "" Mathilda had not walked far from Que Azure to shimmer into lines of colored drapes hanging in front now.",long,bert,2,0_1935,67759,late,low,-71.36348,21
"The majority of Persian and Armenian cities are of Circassian origin with the exception of Fakhruddin (Iran), Tbilisi (Georgia) and Baku (Azerbaijan).",long,bert,2,1_1960,68634,late,low,-10.911466,13
"He signed with first team Parramatta on loan for the following 2008-09 season and in May, the Cobras signed Jason Lawrence / Michael Prevost (Leigh kicking).",long,bert,2,2_1950,68284,late,low,-82.66935,28
"Khanavant Higher Secondary School is a government owned Koulai higher secondary school (Khanavant higher secondary school) for Mangalore City, Mangalore district in Karnataka.",long,bert,2,3_1995,69859,late,low,-35.406845,4
"In 2004, she released an album with pianist Rie Fujii titled ""fukushim"", and in 2005, she released an album titled ""fukushim"".",long,bert,2,4_1490,52184,late,low,-16.247503,5
"Gamespot positioning Top Shot as a ""superb [online multiplayer] game"", and wrote that it aspired to win by yelping and snapping higher definition animations.",long,bert,2,5_315,11059,late,low,-54.976234,10
"Thousands of Buddhists congregated in houses outside the city along the more celebrated Poets Street or congregated along communal lines, giving the city the feel of a paradise.",long,bert,2,6_1495,52359,late,low,-53.465153,12
Relatively but mysteries who made her squirm? She already knew she was in love with Velkan and she wasn't sure why it was so ludicrous.,long,bert,2,7_955,33459,late,low,-43.93692,29
The design of antibacterial allergy which significantly improved (employed prior to decatenexide) was extremely important as opposed to histamine in successful economics.,long,bert,2,8_995,34859,late,low,-72.45323,21
"The singles have yielded three albums of various singles, which have included cover versions of Led Zeppelin songs (""get me down for you"" and ""I love you"").",long,bert,2,9_610,21384,late,low,-41.836754,30
"The phenyl ether is distilled by ""quark reduction"" (or ""illustrative reduction"") by reducing the urethane by a boiling point.",long,bert,3,0_970,33984,late,low,-19.209131,6
"Minutes later, Ibanez and Vasquez agreed a precautionary principle that would minimise the sensitivity of a nanoattegrator far below its safe limits.",long,bert,3,1_995,34859,late,low,-43.13347,18
"The girls then started singing Polish flag song ""henrinia finalkowa (the polish national flag read out)"" with lyrics written by Michal Norbert Vlosko.",long,bert,3,2_1725,60409,late,low,-76.35258,19
"At a restaurant, Schenk was dissected by a man in civilian clothes and the two fled to the restrooms, where Schenk was reportedly shackled.",long,bert,3,3_1865,65309,late,low,-17.031487,1
"In addition to having served in the Prince Edward Island legislature from 1994 to 2008, Hamilton is the only community in the province of Prince Edward Island represented by members of the legislature.",long,bert,3,4_1995,69859,late,low,-16.46455,6
""" If you believe in intoxication, "" Pruitt went on, "" I really think so, "" Pruitt said in an overprotective tone.",long,bert,3,6_1630,57084,late,low,-10.409316,23
Platinum bromide (also chromium bromide) is a metal disinfectant and the reactant of the bio lymphatic bromide and bromine.,long,bert,3,7_1370,47984,late,low,-22.153656,28
"The cyrillic alphabet entered widespread use in much of Europe between the 16th and 18th centuries, and supplanted the international phonetic alphabet with the development of modern Latin alphabets.",long,bert,3,8_1280,44834,late,low,-12.74363,18
"Projects have been driven by elected women at Texas A&M university, and include remodeling and creation of 50 non-fiction incubators and incinerators.",long,bert,3,9_1460,51134,late,low,-42.067165,16
"Many fishermen use the lake for the reason that kinase, mineral water helps prevent further flooding, particularly insofar as it suggests providing mineral water with threatened crayfish families.",long,bert,4,0_1495,52359,late,low,-83.52048,2
"""I'm love him!"" ""the devourer doesn't know that you're in love with him,"" she said in a lackluster tone.",long,bert,4,1_1960,68634,late,low,-25.947826,26
"When Japan formally entered world war II, there is no record of the Japanese occupation of the islands, and in 1943, there is no record of Soviet occupation of the islands.",long,bert,4,2_800,28034,late,low,-14.07799,29
"Without waiting for an answer, Bens profile lowered from the tall one's gaze ""Would you like to come with me?"" The young male fidgeted nervously.",long,bert,4,5_1825,63909,late,low,-53.49475,23
"This protein is not a CAD-7 family member, but a transmembrane member, M22A18 or a ribosomal virion member, V77.",long,bert,4,6_985,34509,late,low,-51.89045,30
Lyttle had diverged from a much lower altitude and lost hope just a microsecond (word more than a century old) when she sensed its full jeopardy.,long,bert,4,7_1495,52359,late,low,-66.23163,28
"When unprotected, they require vaccination with antioxidants such as sucrose, histamine, glutamine or tyrosine.",long,bert,4,8_775,27159,late,low,-2.659476,17
"Cabin arose out of one of the most dangerous and invoked political clashes in Valparaiso between Capol and Chen (Chen's democrat, Cuesta's republican).",long,bert,4,9_1995,69859,late,low,-62.911354,25
The second-place team in the new A group won its tournament and advanced to the semifinals below the second place team in the B division Kaunas advanced to the new semifinals.,long,bert,5,0_1990,69684,late,high,-63.001865,29
"After twelve rounds of play, the top two teams in each pool qualified directly for the semi-finals, while the last two teams in each pool qualified directly for the final.",long,bert,5,1_995,34859,late,high,-10.268843,24
"Teams qualified to final phase : the top four teams in each group advanced directly to the semi-finals, while the last two teams in each group qualified directly to the final.",long,bert,5,2_1995,69859,late,high,-25.073544,12
"Five teams will compete, with the top two teams of each pool qualifying directly for the semi-finals, and the bottom two teams of each pool qualifying directly for the finals.",long,bert,5,3_1495,52359,late,high,-4.323859,6
"It is called the ""Horwich strip"", an informal name given to the passages that lie between Choctaw Village and the Choctaw Horwich River.",long,bert,5,4_1995,69859,late,high,-28.969556999999998,22
"Ties are played on tuesday nights, with the winners of each tie advancing to the semi-final, the losing team in the tie will play the winner of the quarter final.",long,bert,5,5_1995,69859,late,high,-22.44352,11
"The tournament concluded with the two top-placed teams of each pool qualifying directly for the semifinals, and the two second - placed teams in each pool qualifying directly for the semifinals.",long,bert,5,6_1495,52359,late,high,-18.261868,25
Elements of the first and second round : first place from each pool advanced directly to the semi-finals while first and second place teams in each pool advance directly to the final.,long,bert,5,7_1255,43959,late,high,-30.511719,14
"The second representative, jean oliveira, who failed to take part, advanced to the semi-finals against the defending champion minas gerais state on the second tiebreak on polling day.",long,bert,5,8_995,34859,late,high,-38.40541,26
"It was a round robin format, with two teams from each group qualifying directly for the semi-finals, and the top two teams from each group qualifying directly for the final.",long,bert,5,9_995,34859,late,high,-4.910583,2
"When purine reappears in the cell, purine transporters modulate, purine in proximal lysosomal and rasprotein transporters modulate.",long,bert,6,1_1995,69859,late,high,-22.043259,11
"The Tahiti Chamalops (Chamalops Perseus, Emys Peruvianus or Emys Perseus Peruvianus) are Tahitians from Tahiti.",long,bert,6,3_1995,69859,late,high,-2.8888118,6
"He was left unranked in Apertura 2005 (he then became manager of CF UTEG who were relegated to Segunda Division), without ever featuring as a substitute.",long,bert,6,4_1470,51484,late,high,-43.347275,15
Resuming her uneasiness soon she was no longer distancing her leg as she lingered there in his hotel suite making a tourniquet souvenir of wilderness.,long,bert,6,5_1990,69684,late,high,-59.17485,16
"In mathematics, a vermionic manifold is a type of disk, also known as ""vermionic manifold"", and the related concept ""vermionic manifold"".",long,bert,6,6_1995,69859,late,high,-21.743557,21
"The Turkish people settled in Kars, an isthmus that once bordered the Safavid Empire (Rumelia) that passed to the Qing empire in the 19th century.",long,bert,6,7_105,3709,late,high,-22.466164,4
"Sehl river, or Sehl creek (about 1 mile (2 km) long), is a left tributary of the Lackawanna river (Cauliflower).",long,bert,6,8_1995,69859,late,high,-9.1592045,7
My fear is doing what you'll always be? to follow a repelling blade? ''i'm not here to -'' you need to go now.,long,bert,6,9_1895,66359,late,high,-56.272415,9
"Xylococcus is a caterpillar (common name fly eater), native to Australia and New Zealand, in the xylococcus family (cottidae).",long,bert,7,1_1495,52359,late,high,-13.086291,26
"Although Brian Kelly was co-captain as (key) player, Kinnear previously turned out for Downpatrick and following the 1975 championship, he joined Downpatrick.",long,bert,7,2_1975,69159,late,high,-45.4519,3
"Henrique dos Santos is a Brazilian-American mixed martial artist whose titles include the APW world tag team championship, tag team championship, and the SMW tag team championship.",long,bert,7,3_1995,69859,late,high,-13.797964,7
"He pushed away that dark mind for a moment and made the milkshake, made sure it'd turned out to be one of the best dinners he'd had.",long,bert,7,4_1960,68634,late,high,-37.607643,6
"I wished I could open the door of the same large apartment as them, but I was still itchy and dizzy, so I shook my head and peeked out the window.",long,bert,7,5_1845,64609,late,high,-28.505854,27
"Although 2-terpene makes bismuth a heterogeneous terpene, it cannot be protonated after the donor of these compounds in karnel.",long,bert,7,6_1995,69859,late,high,-51.95176,19
Haemophils include endogenous antioxidants (leukocytes) and extra layer heteroapplication to haemophilic g proteins.,long,bert,7,7_1465,51309,late,high,-29.668503,12
"A fading odour is the root determinant of many of the deficiencies in feed stores, what these deficiencies are (and its countermeasures).",long,bert,7,8_1495,52359,late,high,-39.04551,10
This profile reflects more stamen tube length than that of reservation - latiflora as compared to other non-flowering plants and species which do not have stamen tube.,long,bert,7,9_1490,52184,late,high,-46.00801,28
"One JBK out of that would probably mean another JBK of some kind, because someone stalking the road that drew onto the place, was obviously not paying attention.",long,bert,8,0_1295,45359,late,high,-58.904427,22
"Sam Barnett has since described ""Sam Barnett"" both as a ""naturalised citizen"" and a ""genealogist"" in employing services to naturalised citizens like Zimbabweans.",long,bert,8,1_1495,52359,late,high,-37.18624,24
"Three major organisations trialled skydive training (1986-1990), including flying rediffusion training programs (RFZ) and skydiver training (Intellect).",long,bert,8,3_1995,69859,late,high,-64.69165,16
"In 1888 the Irish Cup (Cup of Ireland) was created by the Irish Football Union, where 38 Irish county sides were moulded into it for less than a year.",long,bert,8,4_985,34509,late,high,-53.567287,10
"Relation performed on ""My heart's comin' down"" and ""Fresh air around the world"" at the 2005 Canadian Christian Music Radio Hall Of Fame in Ottawa.",long,bert,8,5_995,34859,late,high,-49.453625,25
"The quarantine centre could be closed to prepare for the attack on Tonga, where at least 40 rescue squadron aircrews & ensure the oasis aeroflot remain operational.",long,bert,8,7_1495,52359,late,high,-79.207825,9
"It had now grown to WDLA call-signs, and in 2016, the WDLA call signs were replaced and the station re-branded as WDLA.",long,bert,8,9_1495,52359,late,high,-33.448746,20
Myrta Azteca (Pulchella) is an endangered species being myrta is the holotype species of the true Azteca (Myrta Pulchella).,long,bert,9,1_1925,67409,late,high,-26.754005,18
Cinnabar cutaneous epithelial thrombosis is autosomal dominant and the absence of rejuvenation of fetal vestibule requires cutaneous clearance.,long,bert,9,2_1995,69859,late,high,-24.605558,23
"Mcfadden proposed a ""skinny dipping"" initiative for children with prenatal kidney benefit fraud in both Sri Lanka and India when a court ruled the initiative to be invalid.",long,bert,9,4_1455,50959,late,high,-44.793743,9
"Various changes were introduced, including installing epaulettes over the county court house (1927) and the county cemetery (1929) and the pulpit replaced by yaakov pillars.",long,bert,9,5_1995,69859,late,high,-46.94999,18
"""Can you wait, what exactly are your powers anyway?"" There was so much to see! We had to turn her into a shapeshifter to begin with.",long,bert,9,6_1865,65309,late,high,-29.537407,27
"""Abuse cognates"" associated with such conditions are CCN-60565, HIV/AIDS anesthesia, homeopathic tomography and achilles arc sheath syndrome.",long,bert,9,7_1995,69859,late,high,-71.65681,28
"""So no snickers, okay? I'd love to find out about my mom and what she was up to."" ""What was she up to?""",long,bert,9,8_1975,69159,late,high,-9.051511,26
Picking 'em back up again -- or obstructing their spirits -- or hearing the word 'sweet' justifies that they want to be 'sweet.',long,bert,9,9_770,26984,late,high,-27.188444,29
"Down by a significant score in the next day's game, Nate Kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10-2 loss.",long,bert,0,0_0,0,early,low,-94.22932,22
"Down by a significant score in the next day's game, Nate Kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10–2 loss.",long,bert,0,0_0,1,early,low,-94.22932,10
"Down by a single score in the next day's game, Nate Kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10–2 loss.",long,bert,0,1_0,2,early,low,-91.36355,3
"Trailing by a vital score in the next day's game, Nate Kellogg, a newly acquired second baseman, moved over to pitch in relief in the 10–2 loss.",long,bert,0,8_0,4,early,low,-95.40213,26
"Trailing by a single score in the next day's game, Nate Kellogg, the newly acquired second baseman, moved over to pitch in relief in the 10–2 loss.",long,bert,0,1_0,8,early,low,-86.689804,13
"Losing by a narrow score in the next day's game, Nate Kellogg, a newly acquired first baseman, moved up to pitch in relief in the 10–game loss.",long,bert,0,7_0,16,early,low,-75.97046,1
"Trailing by a single out in the previous day's game, Kyle Kellogg, a recently drafted third baseman, stepped in to appear in relief of a two-run game.",long,bert,0,9_0,32,early,low,-56.31549,16
"Trailing by a single runs in the first day's game, Larry Jackson, a highly effective second baseman, popped up from the outfield in a ninth-inning run.",long,bert,0,5_1,64,early,low,-45.60995,22
"Popularized by a home run in the championship game's finale, Harold Jackson, the Giants' second baseman, stepped up to play in relief in the three-inning game.",long,bert,0,3_3,128,early,low,-40.202576,24
"Angered by the uncertainty claim of the series game's winner, Albert Stewart, the newly fixed third baseman, stepped forward to answer the question before the extra-inning game.",long,bert,0,2_7,256,early,low,-70.26805,25
"Early in the 1966 season, on new year's eve, Keith Owens, the starting dodgers first baseman, collapsed deep in the outfield during a ninth-inning game.",long,bert,0,5_14,512,early,low,-55.71485,11
"Early in the 2002 season, on new year's day, Watrous, Arizona leading third baseman, rolled around in the outfield with a seventh-inning ball.",long,bert,0,5_28,999,early,low,-38.08071,14
"If the engine has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,0_0,0,early,low,-93.2157,10
"If the engine has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,0_0,1,early,low,-93.2157,20
"If the vehicle has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",long,bert,1,1_0,2,early,low,-98.777374,18
"If the battery has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and the one may always be used for starting.",long,bert,1,2_0,4,early,low,-102.98891,20
"If the battery has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and the one may not be used for starting.",long,bert,1,2_0,8,early,low,-95.60672,19
"Although the mercury has four cylinders, most geometries for these are arranged so that all four are kept at dead centre pitch and it one may easily be used without starting.",long,bert,1,6_0,16,early,low,-110.66914,2
"Where the engine has four cylinders, all geometries requiring heating are tested so that the cylinders are kept at dead levels, and each cylinder will not be heated at all.",long,bert,1,5_0,32,early,low,-51.26629,13
"If an engine has four cylinders, the geometries under pressure are designed so that the cylinders are heated to room temperatures, and the cylinders should not be heated at all.",long,bert,1,5_1,64,early,low,-25.737017,7
"For details riding on various non-compatible geometries the cones are angled so that the surface is smooth overall on surfaces, but the center will commonly be triangular-curved.",long,bert,1,4_3,128,early,low,-110.84776,21
"Because the spoon has two blades, the geometries of one blade dictate which must be attributed to reflected light, while the other should not be viewed at all.",long,bert,1,5_7,256,early,low,-35.826603,8
"Photoelectrical properties of the water geometries of genesis were important in how the roofs varied significantly with cost and temperature ; that is, compared to rivers or lakes.",long,bert,1,6_14,512,early,low,-62.997833,18
Hydroelectrical power over the turbulent geometries of flow is dependent on the hydrostatic stability of the direction of the flow and on the corresponding pump condition of flow.,long,bert,1,6_28,999,early,low,-49.000946,12
"The Home Depot division supports the product marketing, innovation, and selling of Andersen branded windows and patio doors sold through the retailer's over 2,000 locations in North America.",long,bert,2,1_0,0,early,low,-92.43298,23
"The Home Depot division supports the product marketing, innovation, and selling of Andersen branded windows and patio doors sold through the group's over 2,000 locations in North America.",long,bert,2,4_0,1,early,low,-93.384674,12
"The Home Depot division supports the product marketing, innovation, and selling of Andersen branded windows and patio doors sold through the company's over 2,000 locations in North America.",long,bert,2,0_0,2,early,low,-86.981384,30
"The Home Depot division supports the product marketing, innovation, and selling of Andersen brand windows and patio doors sold through the company's over 2,000 locations in North America.",long,bert,2,3_0,4,early,low,-84.658,5
"The Home Depot division supports the product development, innovation, and selling of Andersen employee windows and patio doors sold through the company's over 3,000 locations in North America.",long,bert,2,9_0,8,early,low,-75.996185,15
"The service interaction division supports the product development, conference, and selling of Harris dish windows and patio doors sold at the company's over 89,000 locations in North America.",long,bert,2,2_0,16,early,low,-95.06848,4
"The office solutions division involves the product development, salesman services and provides many business studio extensions and marketplaces willingly to the company's approximately 15,000 customers across North America.",long,bert,2,8_0,32,early,low,-102.92361,30
"Its home retail division performs the worldwide marketing, manufacturing, and distribution of additional coles and taylor goods worldwide at the company's approximately 1,000 stores throughout North America.",long,bert,2,5_1,64,early,low,-60.42041,3
"Winshot and partners specializes in integrated development with nonprofit partners and provides ""community software development and support services"" for the company's over 600,000 clients in North America.",long,bert,2,8_3,128,early,low,-58.3759,29
"The consumer chemicals division manages the global production, distribution, and export of drug consumer products and consumer chemicals together with the company's around 3,300 operations and sales staff.",long,bert,2,1_7,256,early,low,-52.00982,21
"Curescho leather entertainment is a new enterprise, publisher, and manufacturer of downloadable gaming websites and services, focusing on the brand's over 100,000 subscribers in North America.",long,bert,2,4_14,512,early,low,-100.485504,24
"The company actively caters to the development, investment, and management of its initial investments in many countries, including the company's first investments in Africa, and Southeast Asia.",long,bert,2,9_28,999,early,low,-36.242012,27
Empirical studies have established a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,0_0,0,early,low,-87.52104,4
Empirical studies have demonstrated a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,2_0,1,early,low,-86.754196,7
Empirical studies have suggested a connection between a leader's tax policy and subsequent punitive electoral consequences as they represent a permanent transfer of purchasing power by the taxpayer to the government.,long,bert,3,0_0,2,early,low,-86.0678,19
Empirical studies have seen a connection between a leader's tax policy and subsequent punitive electoral consequences because they represent a permanent transfer of purchasing power from the taxpayer to the government.,long,bert,3,8_0,4,early,low,-82.986824,30
Empirical studies have suggested a connection between a leader's tax policy and subsequent punitive tax consequences since they represent a permanent transfer of purchasing power from the taxpayer to the government.,long,bert,3,0_0,8,early,low,-72.18747,15
Empirical studies have demonstrated a relationship between a leader's economic policy and subsequent punitive economic consequences - they involve a permanent transfer of purchasing power from the power to the government.,long,bert,3,2_0,16,early,low,-72.48634,28
Previous studies have seen a link to the leader's tax policy and their punitive economic policy because hence encompass the gradual transfer of political power from the leader to the company.,long,bert,3,8_0,32,early,low,-92.19801,8
"Indian researcher have found a relation between the leader's efforts enjoyed and his punitive economic operations, thus enabling the direct application of economic activity towards the perspective of some people.",long,bert,3,2_1,64,early,low,-92.041405,16
Recent critics have suggested a connection between the palace's political dominance and a punitive military intervention and some argue for a transfer of political influence from the statesman to the government.,long,bert,3,6_3,128,early,low,-58.102036,9
"Imogenian conveyed a distinction between the verb's direct object and its genitive articulated objects : both ""represent a discourse about the identification of one person with another"".",long,bert,3,0_7,256,early,low,-60.893723,26
"Different researchers have noted a link between Pushkin and the iron armour of the jihadi elite, with some researchers envisioning the powerful type of armour compared to scholar armour.",long,bert,3,7_14,512,early,low,-67.64998,23
"Some themes may indicate renunciation for the mother's wallet, particularly among gentiles, while others have a larger number of taboo themes -- the son and the mother.",long,bert,3,5_28,999,early,low,-58.034225,22
"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,0_0,0,early,low,-83.60022,8
"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,0_0,1,early,low,-83.60022,5
"As shown above, creative industry may differ based on how the government defines its scope, which will impact how a creative economy is viewed, therefore both are seen as dynamic concepts.",long,bert,4,0_0,2,early,low,-83.60022,13
"As shown above, creative industry may differ based on how the government defines its policy, which will impact how a creative economy is viewed, therefore both are seen as dynamic tools.",long,bert,4,3_0,4,early,low,-80.34094,14
"As shown above, creative economies may differ depending on how the government defines its economy, which will impact how a creative economy is viewed, therefore both are seen as dynamic economies.",long,bert,4,6_0,8,early,low,-58.14785,1
"As shown before, creative economy may differ depending on how the government defines its stations, which can impact how a creative economy is developed, therefore they are seen as different factors.",long,bert,4,9_0,16,early,low,-76.11981,7
"As discussed above, these policies may differ depending on how the operator is its director, which may affect how the business sector is run, where sectors are analyzed as distinct enterprises.",long,bert,4,7_0,32,early,low,-74.63857,30
"As described, a creative economy can function depending on how a system encounters its use, and can alter how a creative economy is designed and whether they are perceived as useful knowledge.",long,bert,4,0_1,64,early,low,-65.632675,8
"As mentioned above, creative agents can be categorized by how one agent produces their content, how agents choose how a targeted processor is perceived and what actors are known as creative agents.",long,bert,4,8_3,128,early,low,-64.4872,2
"As noted above, the stakes can vary depending on how S & G vendors are give-on service, how that service is delivered, and who are recognized as service managers.",long,bert,4,3_7,256,early,low,-78.80679,18
"Even so, statistical problems may not easily solve, although when one discusses mathematical problems, one should gaze toward the axiom that there is no logical way to easily solve them.",long,bert,4,2_28,999,early,low,-49.250946,8
"The format also changed, with the top two teams in each group going through to a semi-final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,0,early,high,-16.734215,3
"The format also changed, with the top two teams in each group going through to a semi-final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,1,early,high,-16.734215,29
"The format also changed, with the top two teams in each group going through to a semi-final stage, instead of the winners of each group going straight into the final.",long,bert,5,1_0,2,early,high,-16.734215,17
"The format also changed, with the top two teams in each group going through to a semi-final stage, instead of the winners of each group going through into the final.",long,bert,5,0_0,4,early,high,-19.992523,27
"The format also changed, with the top two teams in each group going through to a semi-final match, and of the champions of each group going through into the final.",long,bert,5,7_0,8,early,high,-28.199032,15
"The system also changed, with the top four teams in each group going through to a semi-final stage, and of the winners of each group going through into the final.",long,bert,5,0_0,16,early,high,-31.90651,15
"The format then changed, with the top three teams in each group going through to the semi-final stage and each of the winners of each group going through to the final.",long,bert,5,8_0,32,early,high,-14.548076,12
"The rankings also changed, with the top two teams of each group going through to the semi-final stage, and with the winners of each group going through to the final.",long,bert,5,7_1,64,early,high,-15.174733,24
"The system remained repeated, with the first two teams from each group going through to the semi-final round and the next two teams from each group going through to the final.",long,bert,5,6_3,128,early,high,-30.669975,21
"The final was contested, with the top three winners of each group going through to the semi-final stage and the next three winners of each group going through to the final.",long,bert,5,9_7,256,early,high,-15.659887,10
"The format remained unchanged, with the bottom three teams in each group going through to the semi-finals, and the top two teams in each group going through to the finals.",long,bert,5,7_14,512,early,high,-7.873907,14
"The final was televised live with the top three teams from each group going through to the TFL challenge cup final, and the winners from each group going through to the final.",long,bert,5,0_28,999,early,high,-17.28181,17
"In 1513, Balboa crossed the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,0_0,0,early,high,-17.959412,7
"In 1517, Balboa crossed the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,4_0,1,early,high,-18.46684,16
"In 1516, Balboa explored the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,1_0,2,early,high,-16.582636,23
"In 1516, Balboa explored the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,8_0,4,early,high,-16.582634,1
"In 1517, Balboa explored the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,4_0,8,early,high,-16.601406,19
"In 1518, Balboa crossed the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",long,bert,6,7_0,16,early,high,-18.916239,3
"In 1564, Balboa explored the isthmus of Panama, and led the first scientific expedition to see the Atlantic ocean and the east coast of the new world.",long,bert,6,0_0,32,early,high,-19.574871,24
"In 1598, Balboa crossed the isthmus of Panama, and was the first European explorer to discover the Pacific coast of the southern half of the new world.",long,bert,6,1_1,64,early,high,-19.915192,28
"In 1525, Balboa crossed the isthmus of Panama, to become the third black man onto cross the ocean until reaching the west coast of the Pacific ocean.",long,bert,6,8_7,256,early,high,-38.720184,5
"In 1598, Balbota mapped the isthmus of Asia Minor and inspired the Italian navigators to map the north sea at the very light of the new moon.",long,bert,6,0_14,512,early,high,-57.416008,17
"In 1613, Balboa crossed the isthmus into Brazil, and became the first black Brazilian to give up residence and close a high school in his native city.",long,bert,6,4_28,999,early,high,-33.01326,9
"At the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,0_0,0,early,high,-26.036049,25
"At the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,0_0,1,early,high,-26.036049,14
"At the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,0_0,2,early,high,-26.036049,1
"At the lower border of the piriformis muscle, the nerve shifts backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,6_0,4,early,high,-35.056908,13
"After the lower border of the piriformis muscle, the nerve curves backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",long,bert,7,7_0,8,early,high,-31.826355,11
